P,n,Algorithm Time,Optimal Time,Makespan Ratio
4096,600,19967.016242297792,18779.00655706,1.0632626481932377
256,400,71898.15889889358,43244.960742362484,1.6625788916132052
8192,800,47465.5924468731,46379.37991347244,1.02342016075737
128,1000,201321.61533111046,119404.61005167404,1.6860455826955565
2048,600,121790.16422036795,111680.57587899217,1.0905223514636035
256,900,105960.60595700805,51518.201495127876,2.0567605794047146
256,100,16201.561483561247,12924.548421892341,1.2535495210121317
4096,300,20438.018207995483,17279.41691731119,1.182795594654579
256,200,30392.873555509486,22891.533499154106,1.3276905872921345
2048,400,33320.99057480885,21733.26502109654,1.5331792320419446
8192,1000,60645.6495040588,60202.342442558154,1.0073636181503007
1024,500,81436.85365641827,53664.96732667876,1.5175049517999637
256,600,118804.75833426202,58028.72573355824,2.0473439116991803
8192,900,52575.017380802,52575.017380802,1.0
8192,700,54708.04094618545,35360.41439156067,1.5471549722347826
256,1000,108335.3835958436,58863.710166351215,1.8404443635931789
8192,900,149649.57060028278,149649.57060028278,1.0
2048,700,41834.256308875156,41611.35817859911,1.0053566655844144
1024,600,58877.36550791177,43965.34404781527,1.3391767261932186
4096,1000,34511.41247767297,33915.21825046568,1.0175789588851933
2048,200,14076.204820009665,12441.910416424595,1.1313539761086557
512,800,64343.36276431246,54149.74440156318,1.1882486884361916
128,200,56354.10967016264,38939.521911435,1.4472214065271733
2048,800,88748.8860086083,71810.48771496736,1.2358763856454145
512,100,60626.0495048069,60573.79424177784,1.0008626711217805
1024,100,9986.032359345849,9640.921141579869,1.0357964983530012
512,900,68722.141516835,46304.128599874144,1.484147172073589
256,800,150619.08561848727,86969.02217444926,1.7318705195553854
1024,100,30198.405792167527,20829.72320776272,1.4497747037230593
1024,700,139909.60568836765,101971.47650017287,1.3720464829018189
256,300,61072.43904985968,35896.699653227304,1.7013385531215246
1024,600,88936.08930638288,86765.25402755744,1.0250196383697092
8192,200,21053.7369850466,18018.92824454402,1.1684233767577987
1024,300,19552.232052930238,18573.116360380285,1.0527168232595892
4096,900,61673.34428244976,52757.84825268096,1.1689890002160153
512,900,64950.52699106969,53309.00486140186,1.218378155059068
