P,n,Algorithm Time,Optimal Time,Makespan Ratio
4096,600,49959.53405983905,32086.250269673834,1.5570387203224574
256,400,102204.35907192233,69344.18366491112,1.4738706791300624
8192,800,90936.00407696514,68639.61815064191,1.3248326043625391
128,1000,388153.10312422126,125295.95783362567,3.097890066331036
2048,600,217918.01437529046,191374.78812730435,1.1386976127196509
256,900,204364.47254907555,79309.82918527524,2.5767861896620765
256,100,36386.31476963774,27744.76099020595,1.3114661460764543
4096,300,26753.116963513323,24265.13520631133,1.1025331915956056
256,200,50845.49981663119,32996.77807816611,1.5409231682009443
2048,400,55601.95894790275,49006.50439213838,1.1345832484396177
8192,1000,104237.70636311936,97895.23348711745,1.0647883727335565
1024,500,135131.76502159194,103433.70181766388,1.3064577854885866
256,600,182519.77162271485,107515.86756387605,1.6976077648657615
8192,900,77644.18063032931,76055.59330000391,1.0208871860884599
8192,700,108451.76726231784,80626.46962808013,1.3451136799439731
256,1000,231311.8700148731,66688.81108753479,3.468525922755714
8192,900,308834.58607604826,294265.0674249581,1.049511546778503
2048,700,59947.319126998365,53921.858220267735,1.111744311223789
1024,600,114388.73337685238,87981.12037524463,1.3001509061146044
4096,1000,67612.86243988395,57823.110280004155,1.1693051811373278
2048,200,44457.403820223175,43211.18708703341,1.0288401411115995
512,800,110754.9885115024,76745.1936743743,1.4431521142734984
128,200,98681.02454726471,55080.46923257345,1.791579228030737
2048,800,132184.8390912357,91530.45019922058,1.4441624487100067
512,100,83326.18816978826,81541.92332472774,1.02188156438198
1024,100,27337.831342982747,26126.125239736124,1.0463790972495108
512,900,106493.63322007674,83768.9354752691,1.2712783398270184
256,800,223325.53029438638,140690.70674223357,1.587350973391243
1024,100,35408.036211824365,26128.92828146623,1.3551277660683845
1024,700,277067.4933248223,209079.4040392636,1.3251783196817941
256,300,99160.36797090512,73378.01257741736,1.3513635009708953
1024,600,126330.66748920237,121589.27436436518,1.038995159315029
8192,200,71932.81699436223,66804.37457564907,1.0767680627397498
1024,300,67208.05038427156,60661.299768006524,1.1079230191456904
4096,900,128955.93191416116,83867.31024046338,1.5376185494016703
512,900,104589.12165942311,83934.36071927342,1.2460823048290262
4096,100,82858.08636294829,81541.92332472774,1.0161409368893488
8192,700,49030.007682654,48366.36010081021,1.0137212637142954
1024,400,112032.67916409434,93715.09953214714,1.1954602803965835
256,700,150243.73153530786,54206.33391376397,2.7717006609288193
256,400,99505.55116943867,62094.6152682652,1.6024827714858736
512,500,239972.5303500744,150411.49619722992,1.5954400854799415
256,900,169046.16804962954,65851.69814960258,2.567073785486726
8192,500,155472.06771010885,145171.26830844925,1.0709561852127187
8192,300,62566.28744985481,49207.11959862682,1.2714885154871125
1024,800,121925.55560511311,113583.42103934956,1.0734450018271022
4096,800,132184.8390912357,91530.45019922058,1.4441624487100067
4096,800,121331.97152656177,80495.74766274964,1.5073090821505541
8192,500,132879.5716414089,126547.99516819877,1.0500330049859314
4096,700,277066.8245070061,209079.4040392636,1.3251751208118756
4096,800,79646.43042535774,76289.52886222344,1.0440021273325304
4096,100,31573.199979651876,27021.11397775278,1.1684640391083414
8192,600,83022.3396211465,71516.09563181561,1.16089027075203
8192,800,193092.55720948442,111382.24810651336,1.73360262063334
512,300,77299.88323381565,64288.232254330745,1.2023955321715722
256,100,74332.92079702689,66621.99147149005,1.115741501495593
128,600,241509.44959284543,74899.47399565695,3.2244478727160266
2048,900,263754.2330033181,246837.67939689083,1.0685331090770267
8192,1000,61989.47165363582,55350.7803146872,1.1199385320533062
4096,300,50876.32740028959,44478.45983108848,1.1438419314314765
256,500,152517.847143807,126547.99516819877,1.2052174113156904
256,700,172371.01985046282,88059.66488743904,1.957434428927177
128,500,183880.52629919964,56182.17500713485,3.2729335643528885
2048,700,115081.27761867209,82723.15596316708,1.3911615953084844
128,800,299906.65711413574,133043.65281458962,2.254197406411318
512,300,46982.837153684435,36792.68253707005,1.2769614476016367
4096,200,93572.55433020112,87248.16939999937,1.072487308028285
4096,500,388165.9791809846,374127.1854931126,1.0375241207595443
8192,1000,182780.2977643102,150682.91879743664,1.2130127238245374
128,900,367761.29856526374,109443.21737422631,3.360293194851478
4096,300,37748.5325921351,36076.63280186646,1.0463430109858298
4096,400,116711.57658015363,80803.01007103526,1.4443963965890696
128,900,344164.2983785417,109318.34627419793,3.1482757479269856
1024,400,66836.66879006641,55614.3310578869,1.2017885951104688
8192,600,42599.163158107585,36813.11504024967,1.157173553814496
128,400,172053.06722007957,101350.91774796846,1.6975975259338814
4096,700,97406.30575495977,83298.65199605712,1.1693623296517504
8192,500,74719.00133704446,62291.80850112228,1.1994996314113804
256,900,200516.54267481083,72343.07089417889,2.77174496736695
8192,1000,269482.77548231615,193587.99783544827,1.392042784136748
8192,600,49606.43122722184,32086.250269673834,1.5460339182764251
4096,900,76729.08589358642,74506.27131782444,1.029833925875582
8192,700,276574.7911111286,257665.43434439163,1.073387246585287
128,300,117355.64715518024,39128.1871492468,2.9992610367444352
4096,700,157579.50351879356,120542.04638444567,1.307257577295677
256,100,26085.99504108369,16062.953290333515,1.6239849901563193
2048,500,65715.36679566363,64798.784885890724,1.014145047802779
512,600,83305.55578164231,54759.00301290296,1.5213125001931258
512,500,70954.44097865895,40793.162330552455,1.7393709368179309
512,400,79134.18702384851,74066.52558882261,1.0684204017231593
8192,1000,308475.17960546043,296829.78369162104,1.0392325721799465
128,600,217613.6380638148,72849.63176490327,2.9871618125138473
2048,800,108009.25720316489,80691.6874824957,1.3385425509485736
8192,200,41095.10804137316,41095.10804137316,1.0
512,400,179589.14831669768,161388.29849094016,1.1127767626026448
1024,300,67326.85790460581,42146.23556164081,1.5974583971120548
1024,800,186287.4808396811,164504.5334558055,1.1324154837941147
1024,100,19122.749668493103,18958.590370662885,1.0086588345768703
2048,200,58728.12214577445,57462.271367614376,1.0220292506375497
256,100,61828.783203425555,54998.76131684471,1.1241850129539004
1024,700,148349.2940078604,99618.79371512462,1.4891697487533144
4096,800,77578.3931373851,63505.82912459984,1.2215948395095286
4096,800,215782.16760361512,202353.75339573988,1.0663610829180594
8192,1000,128195.38867571692,97107.11998289233,1.3201440707777299
8192,700,166004.82167649898,143967.24459588702,1.1530735490734088
8192,1000,67432.03999061213,57823.110280004155,1.1661780154003727
4096,900,89234.05735799376,71933.22533163877,1.240512391132078
512,700,192663.89536080917,177200.19832819805,1.0872668156046321
1024,200,55806.96470364312,54881.936751014604,1.0168548707897305
4096,700,175878.3053378851,168001.64809777957,1.0468844045834669
2048,700,214442.06520826148,177106.47023915342,1.2108087576850943
8192,300,43851.26468281606,42831.51684479748,1.0238083521934023
8192,500,155993.3320367275,105591.85204537216,1.4773235719901772
8192,700,90490.01666909437,61680.706160931106,1.4670716712126626
256,1000,223931.49316296252,147856.9083645297,1.514514916076
2048,100,81504.3887059623,80097.32978272869,1.0175668643018485
4096,700,155070.95728609076,124421.16221479316,1.2463390835265278
1024,800,130041.18280715335,124249.35109939276,1.046614583146816
1024,400,471304.5605550993,447124.8921868822,1.0540781083557094
256,100,23791.665331661716,18030.171622542253,1.3195473581580413
128,900,320353.13811517344,106569.95671190214,3.006036109981784
512,900,190508.8870441639,155561.6151421717,1.22465228244161
4096,1000,153081.7916298466,147856.9083645297,1.035337430784332
8192,300,78949.43494692768,59646.42706960382,1.3236238753211218
512,500,223619.74304872917,191297.86620507852,1.1689609899202973
128,800,259848.15478620364,84426.00544789649,3.077821263811527
128,100,54599.18562895167,33864.52550884084,1.6122826116284352
2048,200,46260.32087905677,38158.64128795635,1.2123157250270722
4096,500,101993.03375607888,100808.81710997372,1.0117471534738205
128,400,167075.98776341003,56697.870143421365,2.946777142435496
1024,700,260189.02736779634,203696.4792654518,1.2773368901910422
128,300,132060.9165421031,56263.074324413734,2.3472040610621074
4096,500,189566.23476598904,144967.29718427974,1.3076482658362316
256,500,115247.16640431863,64740.90042417872,1.7801291864837485
512,500,233826.31134264453,225641.9561793339,1.0362714244367122
128,800,341614.4373292965,103240.3095790912,3.3089249608224938
128,400,313692.08170367754,248839.23122737743,1.2606214870397212
2048,600,128290.75860614963,92901.70772451619,1.3809300361471664
4096,100,54930.316349089895,53822.603263146375,1.0205808158428857
256,900,516703.26664577174,471069.48858223285,1.0968727102255802
2048,500,54656.30599447312,46117.50017027101,1.185153267039104
1024,500,108790.19949935643,94363.66759019131,1.1528822721454364
128,200,85211.20495790715,34021.21650844406,2.504648972112968
8192,200,162382.59591726086,148803.6312079928,1.0912542563580847
2048,800,129583.90510572765,124249.35109939276,1.0429342604941858
512,800,105818.61646840101,82757.78660001053,1.2786545026856428
512,800,221011.01323295804,151102.0773920206,1.4626603223962635
1024,600,137265.59590448157,105019.85128070624,1.307044280015081
128,200,106357.78875837752,70374.68498825342,1.511307493257415
2048,600,62555.00894551072,54759.00301290296,1.1423693913998174
8192,500,52469.91741336846,44043.12302968092,1.191330537074055
512,300,73117.37244169987,53292.82538852232,1.37199279468953
512,600,175531.68920131752,123966.35877611427,1.4159622895622133
4096,300,164694.44642906732,151327.6818856169,1.0883299365779875
2048,200,21051.55812546059,20700.962951012414,1.0169361770888552
512,800,131131.85742143542,108006.22245017193,1.2141139135009777
128,500,421412.417925936,375731.15576153254,1.1215796493421382
4096,600,126844.2994068787,110655.08892051583,1.1463033525551787
8192,400,116711.57658015363,80803.01007103526,1.4443963965890696
256,100,70411.78531171636,64601.3564317874,1.0899428309382977
2048,1000,100161.12830224897,60509.32359768595,1.6553007428772417
2048,500,239618.7133796971,150399.0297809245,1.5932198081911335
2048,1000,321832.4530101549,254936.71337053613,1.262401357400374
1024,600,52494.13961010922,32086.250269673834,1.6360322309062023
1024,800,234566.26843960036,220831.60557494673,1.0621951863678873
128,200,111903.95803430014,63311.651754383245,1.767509691082301
512,100,20900.158692945697,19361.98507836203,1.0794429707676332
4096,900,148715.86306006013,138660.26103350002,1.0725197107780629
8192,900,262267.7629439507,227394.75968666168,1.1533588694187247
8192,300,69235.86003926132,49550.41489560321,1.397281136497706
4096,1000,200769.42963068647,182480.7972512204,1.1002222297083029
128,200,90110.34594444891,52625.615790818134,1.7122905754229851
4096,200,58081.32139047065,55080.40807549345,1.054482408896901
8192,600,213710.86115337335,147890.2175992439,1.4450642146764006
4096,800,105364.47999090882,96700.03304942673,1.0896012821118002
2048,500,84319.96871897741,63587.77275587825,1.3260406059934315
128,300,155266.59368073396,45007.6355113429,3.449783396010737
128,100,49391.834695065525,29276.558469929165,1.6870778970075109
128,400,160033.273283252,70067.20077666298,2.283996955913125
4096,1000,77593.39589636777,75618.70934949408,1.026113729840946
2048,800,109845.96732334494,108005.60745631279,1.0170394844339592
2048,100,30491.60770066716,30198.110141443554,1.0097190704268877
128,900,355139.43036259385,107296.26736457921,3.309895479922659
8192,700,78075.74170638037,68714.9288586522,1.1362267705607834
1024,700,128580.46032627899,114978.99996643869,1.1182951701076758
512,700,104510.15503932792,72744.33423628379,1.4366775933348197
