P,n,Algorithm Time,Optimal Time,Makespan Ratio
4096,600,4903.1659852311905,4118.24998149955,1.1905945504177078
256,400,28719.669123250158,23531.7252532983,1.2204659375421143
8192,800,15172.952409427038,14795.02099803586,1.0255444998314873
128,1000,145907.87426914758,119404.61005167401,1.2219618171024043
2048,600,92919.12275138272,91443.0979502153,1.0161414566463072
256,900,60924.73088539672,51518.201495127876,1.1825865250975118
256,100,5764.003113939377,4679.130547151785,1.2318534513742003
4096,300,1141.6762554206605,942.5154884959478,1.211307686033394
256,200,13493.355893293105,11080.525409985707,1.2177541582218627
2048,400,16673.029870258957,16659.391108001237,1.0008186831180865
8192,1000,31810.736712186263,31785.267802615333,1.0008012803204644
1024,500,16510.795376287944,10972.920970408175,1.5046855272916242
256,600,47360.59219298297,34696.429261633115,1.3649990273020323
8192,900,42073.466672041846,42072.74163946224,1.0000172328341665
8192,700,30474.97212153257,28301.923922736623,1.0767809356257299
256,1000,70034.48301219934,58863.7101663512,1.18977350925178
8192,900,26459.08671715221,26446.50237773516,1.000475841350864
2048,700,31799.645851274334,31784.101151865783,1.0004890715434827
1024,600,21848.984111271147,16874.141147700775,1.2948205138279427
4096,1000,25661.733852670346,25339.795717781904,1.0127048433410426
2048,200,5665.411652694106,5118.145442873633,1.1069266623875396
512,800,27008.887359349374,21229.958775728857,1.2722063026437562
128,200,37159.83759250859,28092.671302858154,1.3227591350035817
2048,800,30252.84686356568,26497.37844693629,1.1417298101451847
512,100,53436.41856758029,52844.49103612885,1.0112013101052812
1024,100,6939.22282014428,6901.431727873591,1.0054758336763745
512,900,28983.842587029998,24134.145646769488,1.2009475293321465
256,800,71722.26488135204,46337.580997070676,1.5478206530868779
1024,100,18187.931369867783,16558.912626923186,1.0983771567401093
1024,700,31325.78549918658,15601.0663687365,2.007925917292511
256,300,22518.34297093411,17275.812740351696,1.303460700192545
1024,600,74520.90716323772,70364.7320429823,1.0590661685134624
8192,200,2689.4372680956835,2650.3651611722858,1.0147421598713273
1024,300,4635.7810169076865,3799.3333703103463,1.220156423527798
4096,900,16072.758203318575,12984.521812166118,1.2378398246640758
512,900,47341.12064727597,39234.60108057627,1.2066165920752274
4096,100,52867.5889611364,52844.49103612885,1.0004370923923132
8192,700,31554.79045823144,31347.334171878083,1.0066179881586061
1024,400,18261.781719601488,16121.07512688779,1.1327893193142737
256,700,45285.59009242357,38261.990551516115,1.1835659734286654
256,400,27995.094053263485,22632.15194254064,1.236961210066921
512,500,24074.355294292927,16731.4559896685,1.438867920948338
256,900,61657.150017266526,47728.093563071816,1.2918418779033718
8192,500,17617.146510930837,14826.065726985928,1.1882549851957471
8192,300,4632.381890380113,4160.156593477788,1.1135114234984977
1024,800,42075.97571270069,40846.09768688062,1.030110049563317
4096,800,29808.5252469259,26497.37844693629,1.124961297836332
4096,800,34998.477096981806,29394.111289795015,1.1906628763813827
8192,500,9198.341910975245,9178.81822404002,1.0021270371041984
4096,700,25399.40968865485,15601.0663687365,1.6280559987587502
4096,800,12915.926579530396,12582.997544262242,1.0264586426324123
4096,100,2685.686144954427,2685.399498342895,1.0001067426324124
8192,600,43154.43506712671,43098.54140707002,1.0012968805493616
8192,800,39028.7422348742,34870.55437275946,1.1192463938962516
512,300,40829.27566955918,37353.09082643066,1.0930628434279073
256,100,6474.575482621663,4829.618848163767,1.3405976094952734
128,600,95333.58449613555,70900.57950763027,1.3446093834236688
2048,900,36220.61705269584,35054.15888407378,1.0332758852517216
8192,1000,8610.066269691994,7701.877971338275,1.1179177730072387
4096,300,7702.2606159994975,7534.510577709549,1.0222642249366838
256,500,33701.42775248689,27381.290499521965,1.2308195537049382
256,700,87342.98152618532,52807.571677195476,1.653985948456397
128,500,65669.12308008135,53535.80791606614,1.2266392464467506
2048,700,73994.36011199246,69459.09380371566,1.0652940610065111
128,800,112985.7212163076,89245.39881899078,1.2660117239821786
512,300,10649.054001708872,8874.280036111113,1.1999907551233304
4096,200,6388.103806816811,5846.530584549667,1.092631555490077
4096,500,31309.01856386388,31281.94741052828,1.0008653922014614
8192,1000,18420.314236852966,11706.78763223605,1.573472998359551
128,900,134389.88373570895,103084.41806074536,1.3036876597248284
4096,300,11284.687255214654,11243.031887069747,1.003704994218936
4096,400,18647.721061233628,16058.873985478984,1.1612097509511299
128,900,126023.43325769031,103160.92321660006,1.2216198665951
1024,400,19582.91158154123,19518.106129237913,1.0033202735897742
8192,600,6477.336575628721,6143.604662733954,1.0543218405505692
128,400,56869.00173412264,46532.572763232245,1.2221331930964654
4096,700,8912.241408100052,7645.6808588148915,1.1656569993795793
8192,500,12413.744989332918,12395.199388157413,1.0014961922430408
256,900,60999.06941692333,51088.94408718973,1.1939778851725869
8192,1000,21191.016325819735,16650.77136654941,1.272674752377626
8192,600,4486.160153565949,4118.24998149955,1.0893365321967257
