P,n,Algorithm Time,Optimal Time,Makespan Ratio
4096,600,47538.48594370619,25339.817846041748,1.8760389767810437
256,400,84448.15427438715,48679.56019676214,1.7347764427831482
8192,800,106284.15587315042,62137.90128877687,1.7104561574941233
128,1000,204402.57805128995,125295.95783362567,1.6313581186929116
2048,600,158290.96387494574,95460.11175339336,1.6581895931974844
256,900,148272.14728517132,77030.62312975689,1.9248467850949251
256,100,40729.41730966597,26193.65899088914,1.5549342428193311
4096,300,31301.12528611951,20887.76340872541,1.4985388657286374
256,200,50751.85120653999,25775.82693292296,1.9689708244322375
2048,400,50393.180857883905,34397.99854935305,1.4650032845830123
8192,1000,104742.81138501802,71441.52524391812,1.466133471078641
1024,500,119940.5805177472,69330.81468246617,1.729975063282796
256,600,142719.09897391687,65997.13135384436,2.1625045823389932
8192,900,76488.5127986302,50985.945546331204,1.5001881788997062
8192,700,108261.35387124923,54661.38833726035,1.9805818542931528
256,1000,143309.5483435711,62174.13220982782,2.3049706244378956
8192,900,295903.4888182106,200725.03795784948,1.4741732861465333
2048,700,69665.02180411878,45736.33575987692,1.5231876504027626
1024,600,116609.19196203252,69645.19944005155,1.6743320846170615
4096,1000,78854.25772180545,51207.743830232605,1.5398893179755868
2048,200,48635.13920242815,33208.183834406,1.464552817611144
512,800,97444.77475295667,58281.74602729851,1.6719604575215479
128,200,72772.78222696787,36920.89002320384,1.971046260835858
2048,800,125272.68534371315,69914.3129245496,1.7918031387779698
512,100,51787.34333787276,34744.80913128068,1.4905059095935203
1024,100,26225.617133430427,17424.209760559108,1.5051251961391046
512,900,114500.7598478983,65527.226447374065,1.7473768699771788
256,800,153528.70272070827,88988.07431158595,1.7252727841164144
1024,100,30205.80031613896,17010.884101954263,1.7756749228965016
1024,700,221357.8713294893,122698.14519501191,1.8040849026500871
256,300,100838.53440417042,58817.967607809784,1.7144171841595763
1024,600,86549.54255670708,56839.82740281852,1.522691860820382
8192,200,74315.7169326497,48832.439654252754,1.5218514057218036
1024,300,77072.62578617377,51334.02512144949,1.5013945546609713
4096,900,128983.38447494149,68798.33552250691,1.8748038523801995
512,900,114345.45006812549,70503.79592528375,1.6218339532995194
4096,100,50710.66760697424,34460.69141352587,1.471551078254635
8192,700,36712.98212354011,24919.342184621364,1.4732725226670322
1024,400,120095.8620445239,71121.47502380062,1.6886019588926429
256,700,116240.62980140817,46686.09352875527,2.489834145789309
256,400,119122.39036180248,59315.77823058138,2.0082749297957734
512,500,211887.72711357137,104189.08387589059,2.0336845207888645
256,900,120225.16913082637,57244.69321120439,2.1001976320714206
8192,500,143291.25161705364,87191.89492611904,1.6434010493575084
8192,300,65773.62873973855,37997.38137569971,1.7310042523562545
1024,800,114909.21097141718,76586.05734526525,1.5003933477523657
4096,800,124600.12296747701,69744.6297416748,1.7865192406781707
4096,800,115354.53836174165,49156.66889863417,2.346671183102621
8192,500,138135.9085235778,93303.02350633578,1.48050838367738
4096,700,215068.51807054944,121247.84298185878,1.7737925292636192
4096,800,64160.34616308966,43369.83132383738,1.4793773506752188
4096,100,36520.24384849233,25235.008428580157,1.4472055340045369
8192,600,71095.6374090079,37566.49697046091,1.8925277346171363
8192,800,186953.50728677728,84971.24391877686,2.2001973687178715
512,300,73635.88533143488,47234.241688785194,1.5589513602569007
256,100,89261.63036433105,56270.53628076332,1.5862942894120966
128,600,153217.19718355796,74899.47399565695,2.0456378264077295
2048,900,233185.74896153813,156586.64072292217,1.489180353349281
8192,1000,67763.6189775313,45312.78094590863,1.4954636983861789
4096,300,60555.85452512183,41796.45799396132,1.448827422980934
256,500,146020.36262020923,95166.34282014595,1.5343698023173156
256,700,93220.48194393424,47967.297444383694,1.9434174304278855
128,500,105303.6703106725,56182.17500713485,1.8743252694880443
2048,700,72782.18436985834,48971.50074361899,1.486215110108544
128,800,177259.51417098937,93497.3020055607,1.8958783875971839
512,300,49420.28233103071,28600.5958497807,1.7279458998197634
4096,200,85960.75620581328,50831.013653404065,1.6911084400548175
4096,500,351574.18824896455,237564.50729901434,1.479910413580637
8192,1000,177363.75525243944,112393.23827909636,1.5780642854333233
128,900,195720.3161505147,109443.21737422631,1.7883275075994476
4096,300,41403.054757053345,27866.80417099782,1.4857482222573366
4096,400,113107.46363248423,56915.493482307924,1.9872877614184874
128,900,187816.9059652093,109318.34627419793,1.718073062449346
1024,400,66841.91159424515,44207.66491546582,1.5119982410756296
8192,600,48275.266536475094,32734.27780938007,1.4747619244143435
128,400,139224.30950653585,81480.70461614145,1.7086782712843074
4096,700,101436.22637018851,53915.74341202593,1.8813841737284311
8192,500,85833.16132480631,54509.002824173345,1.5746602740408508
256,900,131845.95264560048,64837.41435415292,2.033485665011803
8192,1000,222616.59990571457,124535.58998606945,1.787574137887944
8192,600,47435.60183722606,25325.579367516788,1.8730312601680548
4096,900,68328.57255698765,44998.63267930536,1.5184588617158497
8192,700,274195.7452607748,185768.68163866145,1.476006304410949
128,300,74641.82620337662,38152.527144095155,1.9564058213357145
4096,700,153428.5306239124,86344.15596057125,1.7769416924287844
256,100,23664.442265565875,14891.07425106187,1.589169583509288
2048,500,56260.90734748903,38078.8838745444,1.4774830988441667
512,600,85027.94534593794,50523.437090590436,1.6829406359167454
512,500,60457.616319100365,33156.78306802833,1.8233860683968786
512,400,87338.87757442401,57470.31142497088,1.519721668612278
8192,1000,222444.83677363265,150569.03775101455,1.4773610836344326
128,600,121990.81933500225,72849.63176490327,1.6745564305484066
2048,800,123857.01450465212,41519.7534269463,2.983086465640448
8192,200,39626.59673555584,26972.824218293383,1.469130426048618
512,400,174468.67758709966,109009.50865491609,1.6004904502358888
1024,300,65356.08719036789,35788.66352580134,1.8261673041590483
1024,800,172909.9263133166,105506.57662913551,1.638854485072618
1024,100,15358.291003230665,10211.848879179503,1.5039677128932079
2048,200,59021.39254491018,40359.96560634527,1.4623746987443176
256,100,67568.90434894366,37681.884279448226,1.7931402752541192
1024,700,147793.31994655533,66874.51640802078,2.210009550496418
4096,800,82001.67870037003,46857.31231092819,1.7500294971302777
4096,800,187920.38577570414,127268.05412448723,1.4765715329621512
8192,1000,129892.63920042926,61631.005637657836,2.1075859116123548
8192,700,176920.03590147273,116555.24523591898,1.5179071138614966
8192,1000,77745.29384897562,51177.51428416821,1.519129933065666
4096,900,92960.679623553,60367.665223331875,1.539908480469509
512,700,184521.02374795446,123260.96281991307,1.4969948272880496
1024,200,46580.8632271331,30960.64519433914,1.504518492258358
4096,700,111165.8338282716,65060.34510421777,1.708657303464947
2048,700,176070.40823100635,89844.51474818445,1.9597235148355492
8192,300,40393.13288778921,27325.43722463806,1.4782245771851228
8192,500,135541.2908940667,68815.17228508745,1.9696425423821704
8192,700,93057.44860614161,46993.19158217273,1.980232571423043
256,1000,192858.7863999122,111749.61276708746,1.7258116750871915
2048,100,71119.01528854524,47958.62701914873,1.482924339350856
4096,700,145082.40696342246,86817.79328982205,1.6711137367785525
1024,800,102981.95024138936,53472.408401124616,1.9258895067689428
1024,400,390521.068582646,257567.86842644215,1.516187057680968
256,100,23674.243361994264,13011.59979464646,1.8194721429823626
128,900,180619.3982519966,102373.53702350879,1.7643172591616096
512,900,194149.0843868091,114159.9168451615,1.7006764699219192
4096,1000,161850.5866234038,109849.57632880178,1.4733838038569451
8192,300,71788.00140042386,34770.69707161906,2.064612085646666
512,500,220239.47604649048,134723.51647863665,1.634751540065496
128,800,147769.29806396278,84426.00544789649,1.7502817678038622
128,100,43699.66849415432,26068.19735827815,1.6763594311317873
2048,200,50328.00172628357,20752.375075557742,2.425168277994366
4096,500,52665.944731977,35418.499695506645,1.4869614801515278
128,400,104372.99613383046,51327.80354104017,2.0334592352150223
1024,700,266158.98929060396,145939.20363147225,1.8237662168056803
128,300,87563.95817137718,46426.00783958498,1.8860970875190364
4096,500,196662.65766307188,110169.6014202929,1.7850900350706655
256,500,87668.44425386204,40888.66155932382,2.144077133135483
512,500,174217.32450996002,114576.28797187006,1.520535597668626
128,800,199342.0556082688,103240.3095790912,1.9308548804336465
128,400,304755.9674804186,142772.5734921948,2.1345553983243097
2048,600,110766.16461507426,51881.5556249558,2.1349815609961027
4096,100,46188.83743359705,31218.56877485844,1.479530908886341
256,900,512158.0136173669,303266.1858379448,1.688806855278771
2048,500,49400.28804379409,24114.557614326197,2.0485670454284395
1024,500,110134.18837839844,69563.61906013438,1.5832153339117212
128,200,55780.72852320891,25374.187301930957,2.198325718158628
8192,200,148136.49964861714,99756.89480744647,1.4849750479358277
2048,800,102411.03898281789,53333.70966416959,1.920193431652837
512,800,60912.22422647382,36819.879889469856,1.6543297916594821
512,800,229566.1871657736,117323.0806231038,1.9567009828462207
1024,600,142176.3241231095,74481.33456651334,1.9088852925445792
128,200,91062.19393627637,60040.30731987671,1.5166843409232462
2048,600,74307.17837079465,50265.19690701414,1.4783027411243588
8192,500,62687.918423934105,34006.78819154014,1.843394267957624
512,300,53241.680992934635,24111.71881778852,2.2081246631681593
512,600,180719.06969490217,94447.6501421378,1.913431085081855
4096,300,166556.2114404751,112569.83265804852,1.4795812297813402
2048,200,18959.967315206104,12653.47289062971,1.4984002794400066
512,800,102418.61317558221,66646.61187663602,1.5367414830503427
128,500,432811.6391240102,253115.47456998134,1.7099374894376382
4096,600,119941.86876027193,71456.619906994,1.6785270408309967
8192,400,112996.1636316022,56844.504840111076,1.987811556269709
256,100,85150.05301957787,47410.329663996534,1.796023221585842
2048,1000,88301.29161758536,41036.23401408571,2.1517883826102535
2048,500,200840.29081013263,102237.81420332319,1.9644423384357177
2048,1000,301332.7420306908,186143.3911687721,1.6188205239985074
1024,600,49438.348109262675,25425.24871719152,1.9444587802924607
1024,800,243458.37882936897,163828.9339260643,1.4860523901061415
128,200,119237.56827768746,50493.626094343745,2.3614380170459643
512,100,24224.446678529737,16101.63022849706,1.5044716798710678
4096,900,143039.3573533003,97276.29608484646,1.4704441175323772
8192,900,277705.7567527829,174543.99859779057,1.5910358361430261
8192,300,51495.09776046964,29182.503094384378,1.7645881024640035
4096,1000,191334.4836885385,111109.49416957432,1.7220354130721314
128,200,66480.9551508622,31673.672766490905,2.098934204472668
4096,200,50715.06566212002,34702.92658399461,1.4614060154082333
8192,600,190723.93012538637,88619.85145344147,2.152158088705302
4096,800,115004.87948636815,73651.67654654282,1.561469947173476
2048,500,66116.42656222229,34737.72064133729,1.9033035369495395
128,300,82424.98330304974,45007.6355113429,1.8313555548208449
128,100,44523.62313737561,21221.25277948328,2.0980676117491552
128,400,100309.60203203297,50394.41325747465,1.9904905236128483
4096,1000,74413.08643513957,48747.66573635519,1.5264953780062445
2048,800,97354.72168616574,65485.35111688879,1.4866641168708306
2048,100,32743.445041673192,22142.388512887606,1.4787675242269107
128,900,178012.2201499783,107296.26736457921,1.6590718812716494
8192,700,81035.91146648863,55097.75917161366,1.4707660109022782
1024,700,132635.0685453053,77611.39331459909,1.7089638889443306
512,700,61342.60264121572,30043.338927871162,2.041803768498856
8192,1000,878746.5012087963,594123.6410518169,1.4790633472404708
8192,1000,135249.22158723825,92756.94828493604,1.458103399130511
1024,100,30797.997288752456,20880.261588422458,1.4749813913169132
8192,1000,318296.4910627905,217060.7610016852,1.466393509328567
4096,900,117069.38295753188,79036.30171917535,1.481210284528396
8192,600,218582.3677927525,147931.95047990262,1.4775872763365487
8192,1000,60539.81464005507,40918.42390527257,1.479524597042316
2048,100,57228.856376854164,36009.56108391144,1.5892683680174933
512,800,78876.3007270573,41133.52440023117,1.917567285496548
2048,200,34901.44550776002,22527.539467295755,1.549279074992989
2048,600,112508.88385819964,52514.09455749124,2.1424511801308403
1024,100,36698.10641461101,21207.98779051644,1.7303907743204792
256,700,128733.30418055334,61572.56259002922,2.090757616143133
