P,n,Algorithm Time,Optimal Time,Makespan Ratio
4096,600,26318.433342864744,18779.00655706,1.4014816632017353
256,400,67606.1723579683,43244.960742362484,1.5633306447135176
8192,800,63688.88342576532,46379.37991347244,1.3732155010391753
128,1000,165722.85619075192,119404.61005167404,1.3879100322762496
2048,600,135835.11043713512,111680.57587899217,1.216282324549569
256,900,78661.74636582175,51518.201495127876,1.5268729125425866
256,100,16942.06550849713,12924.548421892341,1.310843903822565
4096,300,27321.76964327617,17279.41691731119,1.58117428232802
256,200,33398.91316224777,22891.533499154106,1.4590072422837874
2048,400,44346.732391734964,21733.26502109654,2.040500235408139
8192,1000,74986.27110207835,60202.342442558154,1.2455706548898198
1024,500,106025.8401573739,53664.96732667876,1.9756993330854913
256,600,109615.23975580964,58028.72573355824,1.8889823681311464
8192,900,58633.5599332251,52575.017380802,1.1152361493015008
8192,700,66254.04998543378,35360.41439156067,1.873678550589791
256,1000,84022.02569635405,58863.710166351215,1.427399419080184
8192,900,197907.04034927528,149649.57060028278,1.3224698176908856
2048,700,46654.91638661552,41611.35817859911,1.1212062866674304
1024,600,78885.33397622358,43965.34404781527,1.7942617232889269
4096,1000,39816.748574306126,33915.21825046568,1.174008325119931
2048,200,18633.76253182242,12441.910416424595,1.4976608823050155
512,800,75124.37068808268,54149.74440156318,1.3873448807251252
128,200,47342.67213117964,38939.521911435,1.215800035728661
2048,800,116291.53577161103,71810.48771496736,1.619422726011824
512,100,64316.93535500334,60573.79424177784,1.061794727572866
1024,100,12504.265281730371,9640.921141579869,1.2969990209546807
512,900,62340.24814421873,46304.128599874144,1.3463215922475684
256,800,137271.1747678498,86969.02217444926,1.578391608134912
1024,100,35386.51077771498,20829.72320776272,1.698846903761415
1024,700,179981.19651843447,101971.47650017287,1.7650151071229154
256,300,53043.624921331924,35896.699653227304,1.477674143688667
1024,600,94566.87893530072,86765.25402755744,1.0899164647782327
8192,200,28171.90420878504,18018.92824454402,1.5634617012982033
1024,300,25931.41462441953,18573.116360380285,1.3961800551541144
4096,900,83322.49196925854,52757.84825268096,1.5793383302933397
512,900,62592.23927468082,53309.00486140186,1.1741400807877478
4096,100,64316.93535500334,60573.79424177784,1.061794727572866
8192,700,44608.18125777997,41694.171098573366,1.06989010891516
1024,400,95774.77287689029,63377.543120814065,1.5111783789775297
256,700,56295.08214737961,38261.990551516115,1.4713056308867063
256,400,41423.560395112225,22632.151942540644,1.8302970261192977
512,500,143561.90186245885,62904.27191045394,2.28222817787039
256,900,76091.23887124109,47728.093563071816,1.5942652050555484
8192,500,111081.4665724097,84889.56492633495,1.308540886842846
8192,300,44933.09739227682,23136.448596413335,1.942091380404962
1024,800,82373.88501913518,66116.18200423285,1.2458959746626248
4096,800,116291.53577161103,71810.48771496736,1.619422726011824
4096,800,86472.77921701131,64362.85987349461,1.343519840277045
8192,500,87236.05098029424,66624.56129320196,1.3093677359672968
4096,700,179981.19651843447,101971.47650017287,1.7650151071229154
4096,800,59909.93839829212,43948.578664085064,1.3631826152150568
4096,100,10872.921501722207,8321.239576006265,1.306646852600368
8192,600,68290.09244366261,60947.46333963169,1.1204747285890124
8192,800,107699.72354132429,62102.16000225037,1.7342347438063606
512,300,57556.91239270393,51521.92639179481,1.117134323647305
256,100,25039.4623332945,17954.53769414384,1.394603568181069
128,600,94645.70282361459,70900.57950763027,1.3349073234786308
2048,900,170032.26092062626,129752.604791726,1.310434277551157
