P,n,Algorithm Time,Optimal Time,Makespan Ratio
4096,600,55263.255929607636,32086.250269673834,1.722334503568946
256,400,94039.7976728579,69344.18366491112,1.3561310077177102
8192,800,93960.9413785944,68639.61815064191,1.3689024489090298
128,1000,322714.60351881897,125295.95783362567,2.5756186320658148
2048,600,227628.0015701968,191374.78812730435,1.189435681667621
256,900,169742.67809799933,79309.82918527524,2.1402476823076295
256,100,33150.22658189688,27744.76099020595,1.19482833510799
4096,300,28460.23067923891,24265.13520631133,1.172885724198909
256,200,46983.068737283575,32996.77807816611,1.4238683736328837
2048,400,63531.99967840824,49006.50439213838,1.2963993344646725
8192,1000,116305.15148596518,97895.23348711745,1.1880573480757914
1024,500,154657.76727401945,103433.70181766388,1.4952357360916555
256,600,172074.71246782385,107515.86756387605,1.6004587635922007
8192,900,83245.98875880853,76055.59330000391,1.0945413104653836
8192,700,118912.22919671808,80626.46962808013,1.4748534785814806
256,1000,188457.17002524974,66688.81108753479,2.8259188753250304
8192,900,344911.70315699483,294265.0674249581,1.172112293773886
2048,700,62893.27364324453,53921.858220267735,1.1663780833800101
1024,600,130082.60605884645,87981.12037524463,1.4785286377808842
4096,1000,72993.74951330938,57823.110280004155,1.2623629057628085
2048,200,50505.854575200385,43211.18708703341,1.1688143274905753
512,800,109056.06161852287,76745.1936743743,1.4210148726869052
128,200,80321.8587907888,55080.46923257345,1.4582638802809638
2048,800,147781.63650593863,91530.45019922058,1.6145625437685989
512,100,87092.33016269497,81541.92332472774,1.068068137366145
1024,100,30745.51976855672,26126.125239736124,1.1768113138260088
512,900,99301.80635330628,83768.9354752691,1.1854251912109222
256,800,205045.83641701017,140690.70674223357,1.457422747848476
1024,100,39100.024041974,26128.92828146623,1.496426628018587
1024,700,312978.00704571255,209079.4040392636,1.4969337055645018
256,300,97875.25097321332,73378.01257741736,1.3338498486852608
1024,600,130433.86331447035,121589.27436436518,1.072741522608324
8192,200,81714.28978444537,66804.37457564907,1.2231877074444033
1024,300,72765.09336810156,60661.299768006524,1.1995307328788678
4096,900,140013.78004915267,83867.31024046338,1.6694678730927077
512,900,95216.58778045201,83934.36071927342,1.1344172632578104
4096,100,87087.91808758794,81541.92332472774,1.0680140293082634
8192,700,51279.17114335454,48366.36010081021,1.0602239043102095
1024,400,127785.24944099746,93715.09953214714,1.3635502718231998
256,700,131967.04821438433,54206.33391376397,2.434531883752343
256,400,105341.12680042909,62094.6152682652,1.6964615425238967
