P,n,Algorithm Time,Optimal Time,Makespan Ratio
4096,600,5279.858151224382,4118.24998149955,1.2820635403249279
256,400,28863.351262904784,23531.7252532983,1.226571828126337
8192,800,15280.72965027358,14795.02099803586,1.032829196545392
128,1000,138582.48898676215,119404.61005167401,1.1606125502758113
2048,600,92947.16121350668,91443.0979502153,1.0164480786085162
256,900,64758.39845166601,51518.201495127876,1.2570003721459546
256,100,5302.670815596934,4679.130547151785,1.1332598571810955
4096,300,1074.7393606730418,942.5154884959478,1.140288275143462
256,200,14155.469418393788,11080.525409985707,1.27750886303974
2048,400,17343.652141771276,16659.391108001237,1.0410735920259053
8192,1000,31790.596916239974,31785.267802615333,1.000167659862353
1024,500,16737.91043478064,10972.920970408175,1.5253833031258963
256,600,45288.32014358869,34696.429261633115,1.305273225728388
8192,900,42072.74163946224,42072.74163946224,1.0
8192,700,30446.184972079114,28301.923922736623,1.0757637910128037
256,1000,67120.29776654448,58863.7101663512,1.1402661771889646
8192,900,26446.83657081726,26446.50237773516,1.0000126365701343
2048,700,31786.70570985295,31784.101151865783,1.0000819453089054
1024,600,24131.60513674937,16874.141147700775,1.4300938296961845
