P,n,Algorithm Time,Optimal Time,Makespan Ratio
4096,600,139548.6107263235,25339.817846041748,5.507088155652308
256,400,122104.52079097577,48679.56019676214,2.5083324561156863
8192,800,258686.50247780906,62137.90128877687,4.163103309131751
128,1000,400854.44429701584,125295.95783362567,3.1992607840493203
2048,600,163651.21293025115,95460.11175339336,1.714341308891604
256,900,334508.0701003513,77030.62312975689,4.3425336120788955
256,100,32994.15993934129,26193.65899088914,1.259623939932086
4096,300,67198.38077116686,20887.76340872541,3.2171170965626796
256,200,72273.41177106368,25775.82693292296,2.803922138333039
2048,400,121083.45584326604,34397.99854935305,3.520072706251782
8192,1000,277725.3093676345,71441.52524391812,3.8874493289360093
1024,500,157000.5427609166,69330.81468246617,2.2645131674851386
256,600,207369.00998961544,65997.13135384436,3.1420912657219016
8192,900,204103.59377768487,50985.945546331204,4.003134424411426
8192,700,195910.02170847633,54661.38833726035,3.5840659680964007
256,1000,352478.69424222136,62174.13220982782,5.669217755266158
8192,900,271916.4475848422,200725.03795784948,1.3546712973692017
2048,700,185957.16655754743,45736.33575987692,4.065851876150558
1024,600,173968.68777895038,69645.19944005155,2.497927914309403
4096,1000,239917.79027148066,51207.743830232605,4.685185722434334
2048,200,80739.35618210479,33208.183834406,2.4313089985503265
512,800,204530.6317959584,58281.74602729851,3.5093429030104653
128,200,85741.93268536843,36920.89002320384,2.3223148908783564
2048,800,185531.40959089625,69914.3129245496,2.653697101924162
512,100,47094.652058352374,34744.80913128068,1.3554442587498101
1024,100,35294.407814824066,17424.209760559108,2.0255958978820017
512,900,246024.47787200726,65527.226447374065,3.754538246321067
256,800,262258.4343273658,88988.07431158595,2.9471188848191603
1024,100,38634.22660549348,17010.884101954263,2.271147482631726
1024,700,228835.50148237305,122698.14519501191,1.8650282049387978
256,300,114576.60058680405,58817.967607809784,1.9479863933889259
1024,600,201781.6164540723,56839.82740281852,3.550004031927559
8192,200,71728.47072179252,48832.439654252754,1.4688692850418703
1024,300,118376.3492393183,51334.02512144949,2.306001700806737
4096,900,229658.8997119394,68798.33552250691,3.3381461625159234
512,900,259927.3273429587,70503.79592528375,3.686713941167312
4096,100,39208.00347401506,34460.69141352587,1.137760209263412
8192,700,185927.7639800111,24919.342184621364,7.46118266696277
1024,400,129088.22722022858,71121.47502380062,1.8150386669712564
256,700,268769.82572082605,46686.09352875527,5.7569568453030495
256,400,159039.348183599,59315.77823058138,2.681231755324138
512,500,217567.73579642404,104189.08387589059,2.088200871941531
256,900,275290.7418908143,57244.69321120439,4.809017682654506
8192,500,142140.8140946524,87191.89492611904,1.6302067321176312
8192,300,87381.07857029844,37997.38137569971,2.2996605399281767
1024,800,184723.0430358721,76586.05734526525,2.4119670007701757
4096,800,177737.3200280682,69744.6297416748,2.5484015140145493
4096,800,185876.3762361576,49156.66889863417,3.781305373223169
8192,500,142335.36175477787,93303.02350633578,1.5255171419510594
4096,700,229557.55791976716,121247.84298185878,1.8932918910080223
4096,800,200322.1794959841,43369.83132383738,4.618929181444174
4096,100,41645.36123433722,25235.008428580157,1.6503010629935577
8192,600,176473.06500122914,37566.49697046091,4.697618336359456
8192,800,271366.0246259614,84971.24391877686,3.1936218903110016
512,300,110670.43585413668,47234.241688785194,2.3430128630690628
256,100,61723.55385470302,56270.53628076332,1.0969071548693214
128,600,257092.09436693887,74899.47399565695,3.4324953254257347
2048,900,234567.78011939477,156586.64072292217,1.4980063371718864
