P,n,Algorithm Time,Optimal Time,Makespan Ratio
4096,600,19860.463881479434,18779.00655706,1.0575886334100488
256,400,53234.033616273955,43244.960742362484,1.230988136014799
8192,800,47464.83444430773,46379.37991347244,1.0234038172321485
128,1000,157028.44016328716,119404.61005167404,1.315095288995382
2048,600,121796.96709288632,111680.57587899217,1.0905832651226246
256,900,84731.9846381541,51518.201495127876,1.6446999735844288
256,100,13913.469168074698,12924.548421892341,1.0765149167229136
4096,300,20427.414199512354,17279.41691731119,1.182181916048763
256,200,26459.767972054313,22891.533499154106,1.1558757290345822
2048,400,33309.07176599434,21733.26502109654,1.5326308188696514
8192,1000,60237.58417036137,60202.342442558154,1.0005853879828155
1024,500,80554.32897378008,53664.96732667876,1.5010598717672874
256,600,88996.81514376958,58028.72573355824,1.5336682654794602
8192,900,52575.017380802,52575.017380802,1.0
8192,700,54692.88188405695,35360.41439156067,1.54672627075067
256,1000,88758.41230156088,58863.710166351215,1.5078630288632169
8192,900,149649.57060028278,149649.57060028278,1.0
2048,700,41612.474079141655,41611.35817859911,1.0000268172102855
1024,600,60461.98769026995,43965.34404781527,1.375219255068571
4096,1000,34429.00462332173,33915.21825046568,1.0151491395119945
2048,200,13856.523859667745,12441.910416424595,1.1136974464448575
512,800,57496.25553116035,54149.74440156318,1.0618010512622211
128,200,45151.45451732571,38939.521911435,1.1595277060673543
2048,800,88776.61986222258,71810.48771496736,1.2362625946031418
512,100,61186.01760976711,60573.79424177784,1.0101070665236125
1024,100,9656.868156984976,9640.921141579869,1.0016540966543466
512,900,51160.67235347853,46304.128599874144,1.1048836011054441
256,800,115013.71806444951,86969.02217444926,1.3224676463965066
1024,100,30358.8796513167,20829.72320776272,1.4574787839716805
1024,700,137962.4979576378,101971.47650017287,1.3529518517602706
256,300,42389.34988502029,35896.699653227304,1.180870394618834
1024,600,87955.55073038985,86765.25402755744,1.0137185871945278
8192,200,21053.7369850466,18018.92824454402,1.1684233767577987
1024,300,18930.51021544922,18573.116360380285,1.019242535723909
4096,900,61678.67511439542,52757.84825268096,1.169090043608083
512,900,65027.138618498364,53309.00486140186,1.2198152786299894
4096,100,60573.79424177784,60573.79424177784,1.0
8192,700,41697.28633996089,41694.171098573366,1.0000747164724815
1024,400,71329.83447303924,63377.543120814065,1.1254749073668893
256,700,55428.16231141488,38261.990551516115,1.4486481626403143
256,400,35521.82651483536,22632.151942540644,1.5695293406044422
512,500,110340.91441630044,62904.27191045394,1.754108442322867
256,900,77092.17681196841,47728.093563071816,1.6152368774187993
8192,500,84889.56492633495,84889.56492633495,1.0
8192,300,33351.02811527207,23136.448596413335,1.4414929748743817
1024,800,66189.38815339426,66116.18200423285,1.001107234975497
4096,800,88746.20712661993,71810.48771496736,1.2358390807603816
4096,800,68753.9375513519,64362.85987349461,1.0682237813311586
8192,500,66624.56129320196,66624.56129320196,1.0
4096,700,137021.11352670754,101971.47650017287,1.3437200110216632
4096,800,43949.06052639459,43948.578664085064,1.000010964229656
4096,100,8322.431058808823,8321.239576006265,1.0001431857347305
8192,600,60971.172733939646,60947.46333963169,1.0003890136358233
8192,800,87137.91878214308,62102.16000225037,1.4031382930800715
512,300,51902.287672138846,51521.92639179481,1.0073825127859468
256,100,24466.281607639765,17954.53769414384,1.3626795645994179
128,600,94138.06420895991,70900.57950763027,1.3277474579573618
2048,900,129856.00972147932,129752.604791726,1.0007969391436826
8192,1000,30108.102820097476,28498.849543516073,1.0564673066582624
4096,300,18481.458954016285,18481.458954016285,1.0
256,500,72297.79097073946,66627.75825410518,1.0851001574300292
256,700,90932.53305260335,61827.216222082076,1.4707525036543063
128,500,69562.72368684289,53535.80791606614,1.299368149928808
2048,700,88664.48171443987,69714.60276884174,1.2718207978381768
128,800,125465.2373734227,89245.39881899078,1.4058454445129847
512,300,25027.267791393715,25000.830378077444,1.00105746140894
4096,200,53640.79281597229,53640.79281597229,1.0
4096,500,173166.4048789518,173165.7012270452,1.0000040634600365
8192,1000,80580.04440710397,71753.33995595953,1.1230145447802438
128,900,145515.96893304598,103084.41806074536,1.4116194442432284
4096,300,19028.628183265115,19028.50780282153,1.0000063263207413
4096,400,48786.97978211953,45126.38541333707,1.0811187143675056
128,900,136092.54969518955,103160.92321660006,1.3192257829008098
1024,400,26999.34371983196,26611.894241008282,1.0145592596797046
8192,600,26773.905052427,18661.250273283804,1.4347326497602144
128,400,64122.3473010855,46532.57276323225,1.378009929245774
4096,700,41663.861109039266,36793.786558940206,1.1323613306909213
8192,500,29587.00133662399,27177.07231873392,1.0886750783758572
256,900,79597.5708799537,51088.94408718974,1.5580194952573376
8192,1000,132590.20560675484,94799.79607328854,1.3986338694679366
8192,600,19860.463881479434,18779.00655706,1.0575886334100488
4096,900,43625.364263559044,40761.55353335776,1.070257644323042
8192,700,103650.17673083996,103650.17673083996,1.0
128,300,46879.28754758041,32755.432020731212,1.4311912454065658
4096,700,92388.85545586015,80356.03512507299,1.1497438283516384
256,100,15323.044909127364,14135.174116163842,1.0840365165084997
2048,500,36287.24872501166,36276.16196639806,1.0003056210473387
512,600,33826.96239181736,30580.976963775065,1.1061439414406986
512,500,35496.811911768345,35496.811911768345,1.0
512,400,36365.15743940913,34415.68964887445,1.0566447399550638
8192,1000,146820.54879419197,146820.54879419197,1.0
128,600,92123.74520433958,69365.62215019029,1.3280893668750415
2048,800,44819.81116607639,42695.059714644456,1.0497657449277005
8192,200,16319.454371522042,16319.454371522042,1.0
512,400,75067.73012668204,68462.06472805722,1.0964865057001076
1024,300,24921.601137211306,16760.521743464207,1.4869227532806086
1024,800,77545.52499277971,75591.86163784155,1.0258448900795447
1024,100,17363.297431523704,17347.873752067557,1.0008890818365743
2048,200,27820.77334839244,27814.232772578187,1.0002351521204174
256,100,22262.88421501716,18702.315368100946,1.1903811788453311
1024,700,57688.11948693581,42452.09110493904,1.358899361266662
4096,800,52820.97255329019,44366.085532812314,1.1905709489340637
4096,800,78734.09605999557,78733.61137126268,1.0000061560586953
8192,1000,58676.89014369309,45809.33523320091,1.2808937271188832
8192,700,64966.29240789171,57793.63501321383,1.1241080854844645
8192,1000,34363.77027208787,33915.21825046568,1.013225685835474
4096,900,33034.536784259624,32655.352187910106,1.0116117135766156
512,700,85622.82579786009,85438.48061711625,1.0021576364585645
1024,200,39825.973307699605,39819.40708715139,1.0001649000080248
4096,700,144777.21954565286,132452.11299022113,1.0930533026403413
2048,700,99743.71174767292,91119.24221630921,1.0946503649678074
8192,300,19674.24141386905,19674.24141386905,1.0
8192,500,75288.1433121715,53378.57096652857,1.4104563301138482
8192,700,57385.630059631025,49777.7756414471,1.1528363676389208
256,1000,95192.76917604258,90498.72860811553,1.051868580256564
2048,100,34300.968848800694,34300.968848800694,1.0
4096,700,91526.83913463607,82072.46511123,1.1151954435704212
1024,800,102385.69231804647,101845.3758611526,1.0053052625347516
1024,400,196526.04316687633,193515.84305327947,1.015555316123487
256,100,17819.628801354494,17587.547381984677,1.0131957807606276
128,900,136648.34886300963,96720.06020199122,1.4128232403663907
512,900,76036.8608040544,72227.30001714897,1.0527440564163542
4096,1000,90500.18933798393,90498.72860811553,1.000016140888285
8192,300,32671.02721643224,25922.78608210399,1.26032082789847
512,500,91079.6745909179,86843.01321389293,1.048785287615368
128,800,103701.96114287662,79920.49096406845,1.2975641151841786
128,100,28762.234562900445,22982.09428187623,1.2515062469995373
2048,200,24337.522142430917,21228.428234486382,1.146458978196685
4096,500,97935.06095418494,97935.06095418494,1.0
128,400,70725.49245678338,48772.78954290394,1.4501014422102783
1024,700,112391.85582866105,107260.20847207752,1.0478429739200015
128,300,53387.30690329167,36726.85726982461,1.4536312353400178
4096,500,97714.78989013619,71401.30747796739,1.3685294197208988
