P,n,Algorithm Time,Optimal Time,Makespan Ratio
4096,600,4533.413841481225,4118.24998149955,1.1008107477318567
256,400,29707.631281282967,23531.7252532983,1.262450201228617
8192,800,15169.767173311637,14795.02099803586,1.025329208747019
128,1000,128531.50229241983,119404.61005167401,1.0764366822754667
2048,600,92894.45327715005,91443.0979502153,1.0158716771354894
256,900,60393.84351291063,51518.201495127876,1.172281674441258
256,100,5079.845681224853,4679.130547151785,1.0856388019173746
4096,300,1123.3335431396536,942.5154884959478,1.1918462421580494
256,200,13293.022436001203,11080.525409985707,1.1996743786194115
2048,400,16680.684982535393,16659.391108001237,1.0012781904450234
8192,1000,31809.230793722538,31785.267802615333,1.0007539024448688
1024,500,18374.567566957776,10972.920970408175,1.6745374924790215
256,600,49123.06588994441,34696.429261633115,1.4157960036615092
8192,900,42073.466672041846,42072.74163946224,1.0000172328341665
8192,700,30464.605359727622,28301.923922736623,1.07641464385584
256,1000,65169.71076050924,58863.7101663512,1.1071288333055636
8192,900,26454.81071313114,26446.50237773516,1.0003141563023084
2048,700,31799.645851274334,31784.101151865783,1.0004890715434827
1024,600,21036.17204033753,16874.141147700775,1.2466514210238109
4096,1000,25818.025021358335,25339.795717781904,1.0188726582054028
2048,200,5665.194550328479,5118.145442873633,1.10688424421712
512,800,31088.842274417024,21229.958775728857,1.4643854282919915
128,200,46943.33527741039,28092.671302858154,1.6710171407812815
2048,800,30081.227188767774,26497.37844693629,1.1352529552690847
512,100,53455.69395856112,52844.49103612885,1.0115660669721354
1024,100,7325.80812225278,6901.431727873591,1.061491066073321
512,900,28707.695353025156,24134.145646769488,1.189505349524062
256,800,74659.4446739499,46337.580997070676,1.611207211672738
1024,100,18217.059054137368,16558.912626923186,1.1001361903750972
1024,700,29448.478487785946,15601.0663687365,1.8875939497827368
256,300,20240.97410234851,17275.812740351696,1.1716365769044828
1024,600,74377.2908253019,70364.7320429823,1.057025141229395
8192,200,2688.4361358938577,2650.3651611722858,1.0143644261852327
1024,300,4744.549486712417,3799.3333703103463,1.2487847272862138
4096,900,16072.758203318575,12984.521812166118,1.2378398246640758
512,900,49375.91861680131,39234.60108057627,1.2584789256655822
4096,100,52866.31208985447,52844.49103612885,1.0004129295844804
8192,700,31801.15069388567,31347.334171878083,1.0144770371706666
1024,400,18414.72702040187,16121.07512688779,1.1422766084433524
256,700,47230.15383868632,38261.990551516115,1.2343883095965806
256,400,24076.30222001301,22632.15194254064,1.0638096757718327
512,500,26483.60708357925,16731.4559896685,1.5828632666477205
256,900,57329.13034973339,47728.093563071816,1.2011611206295927
8192,500,17617.146510930837,14826.065726985928,1.1882549851957471
8192,300,4632.381890380113,4160.156593477788,1.1135114234984977
1024,800,42614.657921386795,40846.09768688062,1.0432981443677598
4096,800,29658.462545722872,26497.37844693629,1.1192979941437216
4096,800,35084.322959143334,29394.111289795015,1.1935833886334857
8192,500,9198.341910975245,9178.81822404002,1.0021270371041984
4096,700,25399.33882821785,15601.0663687365,1.628051456733524
4096,800,12915.926579530396,12582.997544262242,1.0264586426324123
4096,100,2685.686144954427,2685.399498342895,1.0001067426324124
8192,600,43282.642580683714,43098.54140707002,1.0042716335078452
8192,800,39024.93016916831,34870.55437275946,1.119137073417284
512,300,43090.866806739985,37353.09082643066,1.1536091352378617
256,100,6228.751247051651,4829.618848163767,1.2896983059894753
128,600,82096.75820897697,70900.57950763027,1.157913782638995
2048,900,36192.15502077257,35054.15888407378,1.0324639407398764
8192,1000,8641.689545482985,7701.877971338275,1.122023690539128
4096,300,7704.321680497846,7534.510577709549,1.0225377748211906
256,500,32517.567352399914,27381.290499521965,1.1875834469148787
256,700,87966.34327592028,52807.571677195476,1.6657903494151358
128,500,73142.38135992641,53535.80791606614,1.3662328861198774
2048,700,73865.26709038964,69459.09380371566,1.0634355135574527
128,800,95033.23354506916,89245.39881899078,1.0648530322310215
512,300,9744.254111009855,8874.280036111113,1.0980332005930233
4096,200,5915.303442514056,5846.530584549667,1.0117630203023535
4096,500,31303.466310916774,31281.94741052828,1.0006879015588797
8192,1000,18420.480156486163,11706.78763223605,1.5734871713024974
128,900,121678.67679545935,103084.41806074536,1.1803789465422099
4096,300,11284.687255214654,11243.031887069747,1.003704994218936
4096,400,16083.79057137357,16058.873985478984,1.001551577396841
128,900,123513.67687986977,103160.92321660006,1.1972913098163769
1024,400,22371.477051316015,19518.106129237913,1.14619097279135
8192,600,6147.751394264601,6143.604662733954,1.0006749671826705
128,400,51163.58857092318,46532.572763232245,1.0995220236640373
4096,700,8912.252981389334,7645.6808588148915,1.1656585130824786
8192,500,12411.155402262848,12395.199388157413,1.0012872736940948
256,900,53792.98274934086,51088.94408718973,1.0529280592986292
8192,1000,21190.926534383023,16650.77136654941,1.2726693597483758
8192,600,4236.504387128943,4118.24998149955,1.0287147225546356
4096,900,22842.508053732905,21576.530603346437,1.0586738189591112
8192,700,12303.529098815054,12303.529098815054,1.0
128,300,46548.356917340876,32755.432020731212,1.421088169067042
4096,700,37288.580864737014,37261.21500737222,1.0007344327703587
256,100,6269.825258257634,5731.651529726247,1.0938950537624696
2048,500,31436.49367420893,28634.316507153108,1.097860801613889
512,600,29561.425675416656,17725.14487690757,1.6677677886813478
512,500,31795.696261602436,24995.547779787677,1.272054389114593
512,400,13121.255345384445,10699.281702643733,1.226367873101449
8192,1000,37945.93275199021,37945.93275199021,1.0
128,600,74185.78795082739,69365.62215019029,1.0694892606917081
2048,800,14380.121702427583,9344.456009563955,1.5388934024313106
8192,200,2246.914344120791,2246.1903057130307,1.000322340634237
512,400,14578.81902102631,9893.49469570031,1.4735762710179883
1024,300,5275.486476298898,3874.652043565825,1.3615381244515292
1024,800,56634.64380617632,54042.00044115176,1.047974600197263
1024,100,8550.511554448256,8256.468069310878,1.0356137131118246
2048,200,7798.709625987674,7479.733511501313,1.042645384891839
256,100,6279.922393270775,5741.098881538105,1.0938537243219042
1024,700,12784.198524205958,9298.972325300192,1.3747969213139104
4096,800,10859.169288551157,8113.94962465907,1.3383333383718703
4096,800,17541.9189445836,17329.60230789093,1.0122516739230645
8192,1000,25405.097236080936,24653.74296094643,1.0304762760090713
8192,700,17717.768090425776,16443.27112892882,1.077508723872753
8192,1000,25345.74534815368,25339.795717781904,1.0002347939359117
4096,900,15381.984333656841,15123.145179145105,1.017115431442705
512,700,33541.469539835474,23042.05276203695,1.4556632556235134
1024,200,9822.66307486717,7925.6844354705545,1.2393457189522825
4096,700,120854.04897780184,119281.29786603454,1.013185228027395
2048,700,8866.676729230556,8384.147776288468,1.0575525343561747
8192,300,1152.7932031244393,1134.6245423979938,1.0160129276668444
8192,500,29540.462615440894,28805.068012604806,1.025530042231259
8192,700,40903.80468294902,38693.833645176644,1.0571142952140091
256,1000,90045.69991136777,55694.48421872097,1.616779492161992
2048,100,6556.462413957754,6527.528362389177,1.004432619815992
4096,700,53100.55533266096,51410.44753159222,1.0328747926193436
1024,800,89337.38468339237,83688.43623733887,1.0674997490696707
1024,400,42550.720828503334,40694.6858930326,1.0456087790024817
256,100,5597.457125881779,5063.0781886625155,1.105544279054562
128,900,118504.3377892742,96720.06020199122,1.2252301905291256
512,900,37676.307257961984,27287.43887670948,1.3807198040164799
4096,1000,55552.47701509799,55420.91730641427,1.0023738277004033
8192,300,3306.6504114343606,3203.678826598781,1.0321416691275824
512,500,16088.011245515172,13699.604154479855,1.1743413214063045
128,800,81212.7062471078,79920.49096406845,1.016168760570056
128,100,11506.951716729982,9931.189861419074,1.1586679821148587
2048,200,3947.741556570207,3631.3880687245173,1.0871164088934195
4096,500,88539.28781296423,88189.90415189893,1.0039617194782695
128,400,61340.3815480203,48772.789542903934,1.257676301128133
1024,700,16703.35323921193,10218.636013742087,1.6345971435668278
128,300,42149.19588959998,36726.85726982461,1.14763960280997
