P,n,Algorithm Time,Optimal Time,Makespan Ratio
4096,600,41924.355931987215,25339.817846041748,1.6544852921480682
256,400,75497.31434354604,48679.56019676214,1.550903788743918
8192,800,95325.07953141484,62137.90128877687,1.5340891397088772
128,1000,245014.75695793703,125295.95783362567,1.9554881194434066
2048,600,141642.52698799042,95460.11175339336,1.4837875672501022
256,900,151046.5874621576,77030.62312975689,1.96086415149105
256,100,34655.90109506963,26193.65899088914,1.3230645289809984
4096,300,27397.338593502944,20887.76340872541,1.311645390528423
256,200,43666.09910825273,25775.82693292296,1.6940717060944757
2048,400,45015.909536199004,34397.99854935305,1.308678162527734
8192,1000,94284.94222604652,71441.52524391812,1.319749850022597
1024,500,106098.27109552152,69330.81468246617,1.5303191168522916
256,600,132459.69622352693,65997.13135384436,2.007052329492062
8192,900,67196.28392384734,50985.945546331204,1.317937388506127
8192,700,96786.77854118934,54661.38833726035,1.7706608171752911
256,1000,155544.63632249346,62174.13220982782,2.501758059084042
8192,900,265956.46213491424,200725.03795784948,1.3249790102954808
2048,700,60395.80063801356,45736.33575987692,1.320521192495638
1024,600,102504.99525759227,69645.19944005155,1.4718170969676871
4096,1000,69628.63894361371,51207.743830232605,1.3597286999101408
2048,200,43335.36659238935,33208.183834406,1.3049604521729634
512,800,91125.81477105638,58281.74602729851,1.563539546814093
128,200,65857.69443511382,36920.89002320384,1.7837515399472745
2048,800,111765.82089199794,69914.3129245496,1.5986114461657346
512,100,45081.20649811839,34744.80913128068,1.297494722960843
1024,100,22999.613389173646,17424.209760559108,1.3199802863504804
512,900,95300.79867393075,65527.226447374065,1.454369486406819
256,800,143935.9473104871,88988.07431158595,1.6174745708790679
1024,100,27169.41721614303,17010.884101954263,1.5971784331316279
1024,700,196670.45704818342,122698.14519501191,1.602880440740181
256,300,88085.80601389782,58817.967607809784,1.4976003013440042
1024,600,76232.24577688087,56839.82740281852,1.3411765879693847
8192,200,66690.54942878001,48832.439654252754,1.3657017732672714
1024,300,68274.0703793275,51334.02512144949,1.3299964344857063
4096,900,115075.70732190486,68798.33552250691,1.6726524914873648
512,900,93044.07172788796,70503.79592528375,1.3197030104094143
4096,100,44975.50145201983,34460.69141352587,1.3051247554007834
8192,700,33140.961697991996,24919.342184621364,1.3299292353890664
1024,400,106274.74886951479,71121.47502380062,1.4942708771710684
256,700,105276.92773662068,46686.09352875527,2.2549954339567453
256,400,104070.44366180703,59315.77823058138,1.7545153543674072
512,500,186715.60031370312,104189.08387589059,1.7920840971796779
256,900,136152.35752946703,57244.69321120439,2.3784275867656883
8192,500,128260.23765112761,87191.89492611904,1.471011012661295
8192,300,58926.194085146955,37997.38137569971,1.550796185203219
1024,800,100460.64659620757,76586.05734526525,1.3117354526204543
4096,800,111390.19709503555,69744.6297416748,1.597115039646932
4096,800,103718.05013537829,49156.66889863417,2.1099487100978096
8192,500,122807.28736759907,93303.02350633578,1.3162198045946474
4096,700,192915.1358104611,121247.84298185878,1.5910809715544816
4096,800,57249.929298820054,43369.83132383738,1.3200403956229765
4096,100,32940.330184444996,25235.008428580157,1.3053425473453815
8192,600,62284.429951646,37566.49697046091,1.6579781181253384
8192,800,165392.71548707457,84971.24391877686,1.9464551518766957
512,300,62308.05004698087,47234.241688785194,1.3191288315267828
256,100,76928.29394245708,56270.53628076332,1.3671149952902766
128,600,146361.11395545388,74899.47399565695,1.9541006918678845
2048,900,208594.1113012797,156586.64072292217,1.3321322325982077
