P,n,Algorithm Time,Optimal Time,Makespan Ratio
4096,600,19862.698736034552,18779.00655706,1.057707641545454
256,400,64506.435902387595,43244.960742362484,1.4916520860475082
8192,800,47464.83444430773,46379.37991347244,1.0234038172321485
128,1000,228639.17014290614,119404.61005167404,1.914826990716349
2048,600,121752.6593684584,111680.57587899217,1.0901865289482344
256,900,109293.19387384848,51518.201495127876,2.1214481620478236
256,100,14689.310619496722,12924.548421892341,1.136543431924873
4096,300,20430.15466150559,17279.41691731119,1.1823405129508662
256,200,34332.039242771956,22891.533499154106,1.4997701767791398
2048,400,33308.596290948444,21733.26502109654,1.5326089411147243
8192,1000,60238.31304553576,60202.342442558154,1.0005974950727528
1024,500,80894.22648334052,53664.96732667876,1.5073935662889173
256,600,91419.84839657087,58028.72573355824,1.5754240204468666
8192,900,52575.017380802,52575.017380802,1.0
8192,700,54693.65156701185,35360.41439156067,1.546748037547472
256,1000,120101.82563188695,58863.710166351215,2.040337336747452
8192,900,149649.57060028278,149649.57060028278,1.0
2048,700,41614.72900929749,41611.35817859911,1.0000810074663726
1024,600,59432.11823664857,43965.34404781527,1.3517946811018273
4096,1000,34368.617917147516,33915.21825046568,1.013368620049367
2048,200,13858.973565746343,12441.910416424595,1.113894337918643
512,800,62419.30973142803,54149.74440156318,1.1527166087533025
128,200,57727.730007468504,38939.521911435,1.4824971436158325
2048,800,88746.2064745657,71810.48771496736,1.2358390716801726
512,100,60594.751162206325,60573.79424177784,1.0003459733815723
1024,100,9640.921141579869,9640.921141579869,1.0
512,900,63283.06332500931,46304.128599874144,1.366682955462881
256,800,123150.65974357352,86969.02217444926,1.4160290257897612
1024,100,30381.769878749266,20829.72320776272,1.458577705316158
1024,700,137120.67916544632,101971.47650017287,1.3446964177792784
256,300,45198.82692108924,35896.699653227304,1.2591360029674936
1024,600,88285.50264825861,86765.25402755744,1.0175213988334353
8192,200,21053.7369850466,18018.92824454402,1.1684233767577987
1024,300,19102.847480395532,18573.116360380285,1.0285213913344804
4096,900,61672.66649060858,52757.84825268096,1.1689761529930214
512,900,62866.875211011175,53309.00486140186,1.1792918546211626
4096,100,60573.79424177784,60573.79424177784,1.0
8192,700,41705.295920301054,41694.171098573366,1.0002668195921531
1024,400,71235.39140022706,63377.543120814065,1.1239847411635049
256,700,75590.13661727046,38261.990551516115,1.9755934160167532
256,400,54428.324009925185,22632.151942540644,2.40491156776032
512,500,108429.98911163012,62904.27191045394,1.7237301349896132
256,900,106008.15317938008,47728.093563071816,2.2210850102213326
8192,500,84889.56492633495,84889.56492633495,1.0
8192,300,33351.02811527207,23136.448596413335,1.4414929748743817
1024,800,67705.31665186782,66116.18200423285,1.0240354872205601
4096,800,88746.2064745657,71810.48771496736,1.2358390716801726
4096,800,68753.9375513519,64362.85987349461,1.0682237813311586
8192,500,66624.56129320196,66624.56129320196,1.0
4096,700,137018.5543906216,101971.47650017287,1.3436949144341293
4096,800,43948.578664085064,43948.578664085064,1.0
4096,100,8323.94549268049,8321.239576006265,1.0003251819214565
8192,600,60961.40814316143,60947.46333963169,1.0002288003924302
8192,800,87137.91878214308,62102.16000225037,1.4031382930800715
512,300,51846.97501232113,51521.92639179481,1.0063089376366579
256,100,18785.820168854723,17954.53769414384,1.046299297084214
128,600,142545.5551086136,70900.57950763027,2.010499153864785
2048,900,129752.604791726,129752.604791726,1.0
8192,1000,30116.919286560653,28498.849543516073,1.0567766688467155
4096,300,18481.458954016285,18481.458954016285,1.0
256,500,81686.47296736532,66627.75825410518,1.2260126275872762
256,700,117228.91135824581,61827.216222082076,1.8960729355363826
128,500,106212.08305814497,53535.80791606614,1.9839447127549679
2048,700,88656.04345035662,69714.60276884174,1.2716997577153315
128,800,179217.17017781266,89245.39881899078,2.0081390474964915
512,300,25237.852461855342,25000.830378077444,1.0094805684528678
4096,200,53640.79281597229,53640.79281597229,1.0
4096,500,173165.7012270452,173165.7012270452,1.0
8192,1000,80580.04440710397,71753.33995595953,1.1230145447802438
128,900,204352.70387275703,103084.41806074536,1.9823820875851141
4096,300,19028.50780282153,19028.50780282153,1.0
4096,400,48786.97977664097,45126.38541333707,1.0811187142461007
128,900,207777.77126709756,103160.92321660006,2.0141131427337124
