P,n,Algorithm Time,Optimal Time,Makespan Ratio
4096,600,54877.5056192798,32086.250269673834,1.7103122103098165
256,400,89463.7491253608,69344.18366491112,1.290140634687872
8192,800,110477.36608452743,68639.61815064191,1.6095276905833757
128,1000,216333.66471684113,125295.95783362567,1.7265813555142773
2048,600,238538.10663737945,191374.78812730435,1.2464447849771183
256,900,146232.05479266413,79309.82918527524,1.8438074611288375
256,100,38784.64335898981,27744.76099020595,1.397908721314305
4096,300,30856.23362535455,24265.13520631133,1.2716283409510483
256,200,49730.93228071361,32996.77807816611,1.5071450964971773
2048,400,59876.839553692946,49006.50439213838,1.2218141305197519
8192,1000,118295.53600410512,97895.23348711745,1.2083891297901879
1024,500,145947.09173019129,103433.70181766388,1.4110206747455614
256,600,172876.55334581548,107515.86756387605,1.60791664768094
8192,900,83457.02665642087,76055.59330000391,1.097316095178191
8192,700,125825.06063593783,80626.46962808013,1.560592460718585
256,1000,146139.83226095318,66688.81108753479,2.19136958475886
8192,900,345842.3250470648,294265.0674249581,1.175274823047964
2048,700,67807.15881673222,53921.858220267735,1.2575078280823302
1024,600,122841.38257699332,87981.12037524463,1.3962243496453288
4096,1000,80790.94442022742,57823.110280004155,1.3972085560427867
2048,200,51318.93340352304,43211.18708703341,1.187630723964132
512,800,99333.88678598734,76745.1936743743,1.2943336517913506
128,200,71726.75277711346,55080.46923257345,1.3022175333011823
2048,800,145132.38565667678,91530.45019922058,1.5856186147974682
512,100,88122.21525336143,81541.92332472774,1.0806982673492838
1024,100,29574.523784432655,26126.125239736124,1.1319904315337104
512,900,109838.09707162458,83768.9354752691,1.3112032097393886
256,800,200460.6245932949,140690.70674223357,1.4248320250503024
1024,100,39637.5734160478,26128.92828146623,1.5169995871649862
1024,700,306170.3138647675,209079.4040392636,1.4643733813554916
256,300,106539.62566875387,73378.01257741736,1.4519284718477403
1024,600,132168.07223759874,121589.27436436518,1.0870043671905814
8192,200,82070.17189931308,66804.37457564907,1.2285149351466058
1024,300,79474.0444877353,60661.299768006524,1.3101276232404575
4096,900,148457.96898411313,83867.31024046338,1.7701529780608936
512,900,106601.99467737146,83934.36071927342,1.270063818486831
4096,100,88122.21525336143,81541.92332472774,1.0806982673492838
8192,700,48470.94793429354,48366.36010081021,1.002162408609317
1024,400,125510.01152687214,93715.09953214714,1.3392720293042892
256,700,106365.76190847892,54206.33391376397,1.962238621001276
256,400,118177.1679488131,62094.6152682652,1.90317900253116
512,500,271930.3387157122,150411.49619722992,1.8079092728333637
256,900,122070.37037688895,65851.69814960258,1.8537163627818405
8192,500,175154.50127238283,145171.26830844925,1.2065369636382002
8192,300,69619.90937305614,49207.11959862682,1.4148340715923344
1024,800,129509.52058802696,113583.42103934956,1.1402150014759638
4096,800,145120.04171977946,91530.45019922058,1.5854837532637331
4096,800,132408.86808590297,80495.74766274964,1.6449175506841929
8192,500,151177.71419644268,126547.99516819877,1.1946274928773688
4096,700,304527.6720395742,209079.4040392636,1.45651683597867
4096,800,88447.16064376978,76289.52886222344,1.1593617363072546
4096,100,37241.64778444038,27021.11397775278,1.378242503810259
8192,600,90838.12873765218,71516.09563181561,1.2701774046126857
8192,800,214828.4366728725,111382.24810651336,1.928749332366096
512,300,73982.58432565277,64288.232254330745,1.150795125816653
256,100,91048.5351085615,66621.99147149005,1.3666438528413616
128,600,135464.18138207524,74899.47399565695,1.8086132539452833
2048,900,296558.1515818432,246837.67939689083,1.201429831565572
8192,1000,72047.15966460682,55350.7803146872,1.301646684202016
4096,300,60581.486005857834,44478.45983108848,1.362041002227196
256,500,152071.88054745836,126547.99516819877,1.201693320746291
256,700,126049.29373028835,88059.66488743904,1.4314078289011092
128,500,113475.98703973148,56182.17500713485,2.019786293879164
2048,700,120689.28442006993,82723.15596316708,1.4589540620743178
128,800,196993.86039508527,133043.65281458962,1.4806708642434603
512,300,46439.00928820055,36792.68253707005,1.2621805773855017
4096,200,103407.90406852284,87248.16939999937,1.185215744693018
4096,500,428314.6439031947,374127.1854931126,1.1448369979814783
