P,n,Algorithm Time,Optimal Time,Makespan Ratio
4096,600,5097.891285036671,4118.24998149955,1.2378780569266006
256,400,29841.311501467815,23531.7252532983,1.2681310520266735
8192,800,15162.557656882454,14795.02099803586,1.0248419153237693
128,1000,141008.10488646204,119404.61005167401,1.1809268069753656
2048,600,93196.12880754977,91443.0979502153,1.019170729083226
256,900,60849.97484010247,51518.201495127876,1.1811354642466916
256,100,5504.306810836527,4679.130547151785,1.1763524773180418
4096,300,1159.4236927527213,942.5154884959478,1.2301375488300064
256,200,12941.943960620622,11080.525409985707,1.1679900981010716
2048,400,16901.12975452906,16659.391108001237,1.0145106531781778
8192,1000,31803.308587388794,31785.267802615333,1.000567583223948
1024,500,16591.235884101494,10972.920970408175,1.5120163472283101
256,600,45187.948487346504,34696.429261633115,1.302380373109886
8192,900,42072.74163946224,42072.74163946224,1.0
8192,700,30445.3577634223,28301.923922736623,1.0757345630119417
256,1000,67096.24614821206,58863.7101663512,1.1398575787797844
8192,900,26450.778381756234,26446.50237773516,1.0001616850485557
2048,700,31784.101151865783,31784.101151865783,1.0
1024,600,23634.901491966404,16874.141147700775,1.4006580415019718
4096,1000,26050.38607346666,25339.795717781904,1.0280424658351175
2048,200,5801.481514430959,5118.145442873633,1.1335124371091845
512,800,27115.29618228817,21229.958775728857,1.277218503753654
128,200,36763.30914509527,28092.671302858154,1.3086441210507085
2048,800,30291.663964755895,26497.37844693629,1.1431947513380634
512,100,53913.710159640934,52844.49103612885,1.0202333129252976
1024,100,6973.491403625406,6901.431727873591,1.0104412647394279
512,900,28968.499825476178,24134.145646769488,1.2003118009422389
256,800,72456.78268931613,46337.580997070676,1.5636721022164846
1024,100,17977.967529250152,16558.912626923186,1.0856973482678882
1024,700,30171.66662659457,15601.0663687365,1.9339489951184738
256,300,21738.557923011525,17275.812740351696,1.258323313046572
1024,600,74782.26332714959,70364.7320429823,1.0627804747621128
8192,200,2689.4372680956835,2650.3651611722858,1.0147421598713273
1024,300,5368.255932532828,3799.3333703103463,1.4129468012685409
4096,900,16029.950293384423,12984.521812166118,1.2345429831974888
512,900,51054.74180755298,39234.60108057627,1.3012682785458078
4096,100,52845.76790741077,52844.49103612885,1.0000241628078328
8192,700,31625.936929964257,31347.334171878083,1.0088876060898382
1024,400,18862.04409905018,16121.07512688779,1.170023956255301
256,700,44574.99930270609,38261.990551516115,1.1649942582754578
256,400,26505.721642534016,22632.15194254064,1.1711533976012418
512,500,25209.51822245286,16731.4559896685,1.50671395472214
256,900,62054.21729457133,47728.093563071816,1.3001612396809397
8192,500,17616.634811177104,14826.065726985928,1.1882204716732014
8192,300,4631.559922907227,4160.156593477788,1.1133138426011404
1024,800,43026.699683550374,40846.09768688062,1.0533858096649988
4096,800,29662.707575013206,26497.37844693629,1.11945819977685
4096,800,35233.26103341592,29394.111289795015,1.1986503244154256
8192,500,9180.298412310322,9178.81822404002,1.0001612613120963
4096,700,25394.65213087495,15601.0663687365,1.6277510479517059
4096,800,12996.591513255558,12582.997544262242,1.0328692720107788
4096,100,2685.399498342895,2685.399498342895,1.0
8192,600,43100.898304438364,43098.54140707002,1.0000546862443924
8192,800,39028.7422348742,34870.55437275946,1.1192463938962516
512,300,40789.032795222316,37353.09082643066,1.0919854794549
256,100,6077.273018538505,4829.618848163767,1.258333878842033
128,600,77495.12081368806,70900.57950763027,1.093011105859129
2048,900,37418.00630795617,35054.15888407378,1.0674341504441678
8192,1000,8610.451380771901,7701.877971338275,1.1179677752380377
4096,300,8098.524442736646,7534.510577709549,1.0748573990586332
256,500,31874.218514801585,27381.290499521965,1.164087518641901
256,700,82012.56365752833,52807.571677195476,1.5530455397354466
128,500,59834.9235393581,53535.80791606614,1.1176617271409777
2048,700,73727.73607111578,69459.09380371566,1.0614554845685558
128,800,101559.99040465814,89245.39881899078,1.1379857309018702
512,300,9962.227433232083,8874.280036111113,1.1225955674932397
4096,200,6388.103806816811,5846.530584549667,1.092631555490077
4096,500,31295.881306505733,31281.94741052828,1.0004454293012706
8192,1000,18419.785556597486,11706.78763223605,1.5734278382121145
128,900,116432.62023579364,103084.41806074536,1.1294880683827742
4096,300,11364.559768657917,11243.031887069747,1.010809173433719
4096,400,18626.998970441913,16058.873985478984,1.1599193683993736
128,900,119856.0124135309,103160.92321660006,1.1618353992613781
1024,400,19518.106129237913,19518.106129237913,1.0
8192,600,6542.320530390134,6143.604662733954,1.0648993367159059
128,400,53686.69890760726,46532.572763232245,1.1537444787499016
4096,700,8807.25726977353,7645.6808588148915,1.1519258300743
8192,500,12395.438814399968,12395.199388157413,1.0000193160460802
256,900,58748.06032544512,51088.94408718973,1.149917293753109
8192,1000,21191.016325819735,16650.77136654941,1.272674752377626
8192,600,4483.806175198381,4118.24998149955,1.0887649354315603
4096,900,23256.588834972583,21576.530603346437,1.077865077686103
8192,700,12378.625714957921,12303.529098815054,1.006103664691629
128,300,52141.47257044542,32755.432020731212,1.5918420046313113
4096,700,37352.28872843744,37261.21500737222,1.0024441962251418
256,100,6651.178248109404,5731.651529726247,1.1604296272399302
2048,500,31568.065441389896,28634.316507153108,1.1024556997371986
512,600,29713.112375115867,17725.14487690757,1.6763255015097958
512,500,25144.37132126744,24995.547779787677,1.0059540020003126
512,400,12564.432834124684,10699.281702643733,1.1743248923916156
8192,1000,37946.05174834697,37945.93275199021,1.000003135944965
128,600,77831.16681887886,69365.62215019029,1.1220423663231764
2048,800,14068.46047207011,9344.456009563955,1.5055408744683676
8192,200,2246.1903057130307,2246.1903057130307,1.0
512,400,15164.963105188483,9893.49469570031,1.5328216744058234
1024,300,5531.366570268545,3874.652043565825,1.4275776271197897
1024,800,56901.150375212135,54042.00044115176,1.052906071402257
1024,100,9220.7194163629,8256.468069310878,1.1167873888637834
2048,200,7922.761753333004,7479.733511501313,1.0592304847693388
256,100,6719.927697728344,5741.098881538105,1.170495028284202
1024,700,12678.008837685753,9298.972325300192,1.3633774135655876
4096,800,10860.425954787082,8113.94962465907,1.3384882156257427
4096,800,17641.284503318973,17329.60230789093,1.0179855365339872
8192,1000,25412.538602616554,24653.74296094643,1.030778111172495
8192,700,17755.16506963425,16443.27112892882,1.0797830267724164
8192,1000,25810.797878335747,25339.795717781904,1.0185874489991773
4096,900,15341.559965489962,15123.145179145105,1.0144424181450067
512,700,33088.8144702845,23042.05276203695,1.4360185184889491
1024,200,9091.597715984157,7925.6844354705545,1.1471056903673431
4096,700,120870.09941790174,119281.29786603454,1.013319787596976
2048,700,8920.09659313084,8384.147776288468,1.0639240661237044
8192,300,1223.1603000226455,1134.6245423979938,1.0780308853865739
8192,500,29540.59515664878,28805.068012604806,1.0255346435468269
8192,700,40693.286771595005,38693.833645176644,1.0516736890108485
256,1000,88429.61113032635,55694.48421872097,1.5877624574643585
2048,100,6586.811658244565,6527.528362389177,1.0090820433959307
4096,700,53178.39933219068,51410.44753159222,1.03438895954975
1024,800,87505.26988494114,83688.43623733887,1.0456076588260987
1024,400,42494.22972515318,40694.6858930326,1.044220609955087
256,100,6496.643031191821,5063.0781886625155,1.2831409646683736
128,900,119539.71541190436,96720.06020199122,1.2359350807087621
512,900,33879.756049627875,27287.43887670948,1.2415879776297036
4096,1000,64649.336071973405,55420.91730641427,1.1665150851714803
8192,300,3306.6504114343606,3203.678826598781,1.0321416691275824
512,500,16723.006739988985,13699.604154479855,1.2206926967682097
128,800,88035.41647503195,79920.49096406845,1.101537483229575
128,100,12164.16333502573,9931.189861419074,1.2248445055190582
2048,200,4115.140320451191,3631.3880687245173,1.133214143619904
4096,500,88479.29948569596,88189.90415189893,1.0032815018519419
128,400,57808.03178579135,48772.789542903934,1.1852517013598205
1024,700,17030.97523405403,10218.636013742087,1.6666583691943488
128,300,42750.05120016582,36726.85726982461,1.1639997096971857
4096,500,27627.055627479105,25343.09726656832,1.090121516596304
256,500,53838.378921343545,40962.13789004808,1.3143449462002763
512,500,88144.84169734869,81134.30977008452,1.0864065023432177
128,800,113886.80524552058,97370.5352483193,1.169622873645304
128,400,96010.51748466762,56129.50996388722,1.7105176500995496
2048,600,8295.08457707558,7161.983183316524,1.158210563297406
4096,100,1668.691618991154,1609.8572306473563,1.0365463391558885
256,900,74881.95682643524,54102.139652541075,1.3840849420623271
2048,500,28656.657796896943,26754.332671641892,1.0711034413977893
1024,500,31182.846057438925,29622.079368073526,1.0526893021239954
128,200,24751.233645871478,22418.17440326771,1.1040699925264075
8192,200,13392.711084435161,13392.711084435161,1.0
2048,800,85750.33000176334,83688.43623733887,1.0246377379854128
512,800,51444.29710708048,41317.49187667394,1.2450972885922849
512,800,46205.37528194667,29827.20615276463,1.5491016840564524
1024,600,21035.140923497678,17584.595758729552,1.1962254470965115
128,200,28489.415541228725,24735.736732623263,1.1517512435218815
2048,600,16834.058999158417,14204.411019232688,1.1851289698928875
8192,500,13646.371720439842,13172.843391400284,1.035947313345325
512,300,11091.34912652521,7439.888445540946,1.490795084860815
512,600,22860.33864596408,15899.34500755958,1.4378163776617712
4096,300,8967.610523608557,8964.445714442161,1.0003530401395924
2048,200,4426.92592929528,3331.151264730722,1.3289477353269146
512,800,47564.83571497141,23329.424969424435,2.038834466657876
128,500,84936.4447864515,58552.39607217396,1.4506057904403356
4096,600,20865.811676465644,19273.016075016418,1.082643816372569
8192,400,18623.074422639787,16058.873985478984,1.1596749834066478
256,100,10196.45010151913,6271.106141717587,1.6259412408424705
2048,1000,25609.73931253149,19519.021354171116,1.3120401298735613
2048,500,11351.20088064438,8999.368116979864,1.2613330995125218
2048,1000,16744.078967503352,11945.840872571735,1.401665997907993
1024,600,10155.430393080893,7574.492106364061,1.340740771852985
1024,800,33364.51543741118,30245.172080792294,1.1031352490998019
128,200,25230.04791885458,20554.7935583826,1.2274532384474048
512,100,2793.951563457538,1647.1095834763269,1.6962754582246617
4096,900,17928.477803114103,17795.006342265573,1.007500500886674
8192,900,31713.15575074248,29139.288958476114,1.0883297734524051
8192,300,5064.4622378839895,4437.796551663437,1.141210999405923
4096,1000,65814.29516623223,64026.0449036331,1.0279300441764077
128,200,29075.01369572134,22869.25446081218,1.271358178533677
4096,200,27366.490666336336,27366.490666336336,1.0
8192,600,11581.241097809581,6739.31208828464,1.718460422383757
4096,800,26281.724264230124,25954.7004250599,1.0125997924774535
2048,500,35730.3091037324,29096.494408489692,1.2279936064499615
128,300,49560.11398098285,42868.394179046576,1.1560991478707427
128,100,19945.208474161547,14368.875755705378,1.3880841349917026
128,400,54750.44376414159,47063.4505065966,1.1633325473334675
4096,1000,13916.614935388667,11369.665935842593,1.2240126503204354
2048,800,35546.8474709646,23176.40263872809,1.5337517226062223
