eval_id,P1,P2,value,global_best_value,global_best_P1,global_best_P2
1,0.4,3.5,5.908005211699433,5.908005211699433,0.4,3.5
2,0.9,1.5,2.9758895191941335,2.9758895191941335,0.9,1.5
3,0.3,3.0,5.310206935808596,2.9758895191941335,0.9,1.5
4,0.1,2.5,4.476490273966856,2.9758895191941335,0.9,1.5
5,0.2,3.5,5.908005211699433,2.9758895191941335,0.9,1.5
6,0.9,4.0,6.0468940454183215,2.9758895191941335,0.9,1.5
7,0.1,1.0,3.362104238200601,2.9758895191941335,0.9,1.5
8,0.1,1.5,3.4237534279266493,2.9758895191941335,0.9,1.5
9,0.9,1.0,22.24222844798669,2.9758895191941335,0.9,1.5
10,0.5,1.5,2.9758895191941335,2.9758895191941335,0.9,1.5
