P,n,Algorithm Time,Optimal Time,Makespan Ratio
4096,600,59255.97157182866,25339.817846041748,2.3384529412110533
256,400,108852.16961281095,48679.56019676214,2.236095995379414
8192,800,136403.4412828866,62137.90128877687,2.195172969376153
128,1000,198955.4157970137,125295.95783362567,1.587883753290723
2048,600,204413.10081334395,95460.11175339336,2.1413457103571596
256,900,158106.84859157095,77030.62312975689,2.0525194029034712
256,100,50173.116177168056,26193.65899088914,1.9154680220361584
4096,300,39879.95534211685,20887.76340872541,1.909249667461183
256,200,61006.03833812998,25775.82693292296,2.366792673495498
2048,400,63462.74032290608,34397.99854935305,1.8449544450050475
8192,1000,136736.94442513282,71441.52524391812,1.9139701169352255
1024,500,152140.19897591433,69330.81468246617,2.194409508567202
256,600,171038.43782912154,65997.13135384436,2.591604124611069
8192,900,99346.4000717303,50985.945546331204,1.9485055932022226
8192,700,140782.41989112066,54661.38833726035,2.5755368492013813
256,1000,142157.22460598793,62174.13220982782,2.2864368114737794
8192,900,381016.05978088756,200725.03795784948,1.898198967389896
2048,700,88246.68847105306,45736.33575987692,1.9294656426864252
1024,600,144530.62024863716,69645.19944005155,2.0752416736640216
4096,1000,101153.43849962734,51207.743830232605,1.9753543299032683
2048,200,61178.78399223591,33208.183834406,1.8422803335860365
512,800,118692.64897984065,58281.74602729851,2.0365321403419583
128,200,75473.68233326923,36920.89002320384,2.044199971502202
2048,800,160723.8164432845,69914.3129245496,2.2988685681104393
512,100,65552.90250807645,34744.80913128068,1.8866962906714981
1024,100,34527.63361041479,17424.209760559108,1.9815896436560616
512,900,134650.77019402507,65527.226447374065,2.054882794439121
256,800,182828.05609839718,88988.07431158595,2.054523120235602
1024,100,39477.647984297335,17010.884101954263,2.320728760932656
1024,700,282721.6867729322,122698.14519501191,2.3042050580600444
256,300,121592.20596510424,58817.967607809784,2.067262962499224
1024,600,107982.66876602633,56839.82740281852,1.8997712290849036
8192,200,96208.54168513184,48832.439654252754,1.9701768407705014
