P,n,Algorithm Time,Optimal Time,Makespan Ratio
4096,600,19891.046752701957,18779.00655706,1.0592172004553608
256,400,59757.38879547536,43244.960742362484,1.3818347333343144
8192,800,47464.83444430773,46379.37991347244,1.0234038172321485
128,1000,193963.33321765257,119404.61005167404,1.6244208086581597
2048,600,121758.74989796954,111680.57587899217,1.09024106421064
256,900,96576.52808778286,51518.201495127876,1.874609852149365
256,100,13725.580010413614,12924.548421892341,1.061977530074818
4096,300,20448.129846400763,17279.41691731119,1.1833807786601314
256,200,27186.14665921732,22891.533499154106,1.1876070539451589
2048,400,33309.41485216904,21733.26502109654,1.532646605092953
8192,1000,60208.45608603415,60202.342442558154,1.0001015515879939
1024,500,81000.70962887903,53664.96732667876,1.5093777871101155
256,600,91185.5608586374,58028.72573355824,1.5713865797660354
8192,900,52575.017380802,52575.017380802,1.0
8192,700,54692.88188405695,35360.41439156067,1.54672627075067
256,1000,105223.65216659194,58863.710166351215,1.7875810387966655
8192,900,149649.57060028278,149649.57060028278,1.0
2048,700,41616.63412057676,41611.35817859911,1.0001267909101885
1024,600,59100.42035770341,43965.34404781527,1.3442501506056164
4096,1000,34403.09163364997,33915.21825046568,1.0143850875315417
2048,200,13856.523859667745,12441.910416424595,1.1136974464448575
512,800,60206.51255868949,54149.74440156318,1.1118522021491104
128,200,47898.71881021153,38939.521911435,1.2300797867820144
2048,800,88746.2064745657,71810.48771496736,1.2358390716801726
512,100,60573.79424177784,60573.79424177784,1.0
1024,100,9657.607995733428,9640.921141579869,1.0017308360797177
512,900,61131.79031236273,46304.128599874144,1.3202233183269296
256,800,123192.8809145193,86969.02217444926,1.416514499466366
1024,100,30221.170685019904,20829.72320776272,1.4508676079650078
1024,700,137082.08201413314,101971.47650017287,1.3443179084878774
256,300,41653.131840380964,35896.699653227304,1.160361042735474
1024,600,86862.33281737022,86765.25402755744,1.0011188671191114
8192,200,21053.7369850466,18018.92824454402,1.1684233767577987
1024,300,18912.015721379215,18573.116360380285,1.018246768847142
4096,900,61672.66649060858,52757.84825268096,1.1689761529930214
512,900,63182.91521306213,53309.00486140186,1.1852203089765314
4096,100,60573.79424177784,60573.79424177784,1.0
8192,700,41707.27660304636,41694.171098573366,1.0003143246196695
1024,400,71129.11421647867,63377.543120814065,1.1223078509194984
256,700,68018.71682129333,38261.990551516115,1.7777098326787946
256,400,44868.391391951234,22632.151942540644,1.98250663506788
512,500,107731.52312493448,62904.27191045394,1.7126265013971298
256,900,94759.08364758326,47728.093563071816,1.985394273550039
8192,500,84889.56492633495,84889.56492633495,1.0
8192,300,33351.02811527207,23136.448596413335,1.4414929748743817
1024,800,68439.9541189643,66116.18200423285,1.0351467983221216
4096,800,88746.2064745657,71810.48771496736,1.2358390716801726
4096,800,68753.9375513519,64362.85987349461,1.0682237813311586
8192,500,66624.56129320196,66624.56129320196,1.0
4096,700,137018.5543906216,101971.47650017287,1.3436949144341293
4096,800,43948.578664085064,43948.578664085064,1.0
4096,100,8321.239576006265,8321.239576006265,1.0
8192,600,60968.78107539237,60947.46333963169,1.000349772321809
8192,800,87137.91878214308,62102.16000225037,1.4031382930800715
512,300,51819.07382166294,51521.92639179481,1.0057673975077812
256,100,18835.632035539176,17954.53769414384,1.0490736300986863
128,600,115403.62792212794,70900.57950763027,1.627682435370056
2048,900,129755.97879402488,129752.604791726,1.000026003349253
8192,1000,30202.40939784632,28498.849543516073,1.0597764429658472
4096,300,18481.458954016285,18481.458954016285,1.0
256,500,77391.1634189776,66627.75825410518,1.1615453595755525
256,700,94564.08279862309,61827.216222082076,1.529489577194465
128,500,89499.20441702261,53535.80791606614,1.6717634028674822
2048,700,88656.04345035662,69714.60276884174,1.2716997577153315
128,800,154486.92903823766,89245.39881899078,1.7310352251500494
512,300,25261.737604197384,25000.830378077444,1.0104359424136857
4096,200,53640.79281597229,53640.79281597229,1.0
4096,500,173165.7012270452,173165.7012270452,1.0
8192,1000,80580.04440710397,71753.33995595953,1.1230145447802438
128,900,172800.54477471748,103084.41806074536,1.6763013074671476
4096,300,19028.50780282153,19028.50780282153,1.0
4096,400,48786.97977664097,45126.38541333707,1.0811187142461007
128,900,169744.51383764093,103160.92321660006,1.645434225915561
1024,400,26627.17181975426,26611.894241008282,1.0005740883609269
8192,600,26765.49781642046,18661.250273283804,1.4342821313928265
128,400,80011.6816834868,46532.57276323225,1.7194768509921738
4096,700,41663.71125395748,36793.786558940206,1.1323572578542878
8192,500,29587.00133662399,27177.07231873392,1.0886750783758572
256,900,97068.80387766121,51088.94408718974,1.8999962831880226
8192,1000,132590.20560675484,94799.79607328854,1.3986338694679366
8192,600,19860.463881479434,18779.00655706,1.0575886334100488
4096,900,43639.52239450961,40761.55353335776,1.0706049846406522
8192,700,103650.17673083996,103650.17673083996,1.0
128,300,58344.59206440239,32755.432020731212,1.7812188228039725
4096,700,92388.85545586015,80356.03512507299,1.1497438283516384
256,100,14696.721338959442,14135.174116163842,1.0397269406220797
2048,500,36276.16196639806,36276.16196639806,1.0
512,600,40332.244972611945,30580.976963775065,1.3188671186138958
512,500,35540.2941089044,35496.811911768345,1.0012249606315107
512,400,36990.66528450709,34415.68964887445,1.0748198179930082
8192,1000,146820.54879419197,146820.54879419197,1.0
128,600,110952.3939779312,69365.62215019029,1.5995300054787562
2048,800,44815.360516514986,42695.059714644456,1.0496615021981868
8192,200,16319.454371522042,16319.454371522042,1.0
512,400,70551.95394801405,68462.06472805722,1.0305262370958024
1024,300,24863.14159690011,16760.521743464207,1.4834348224628229
