P,n,Algorithm Time,Optimal Time,Makespan Ratio
4096,600,55263.255929607636,32086.250269673834,1.722334503568946
256,400,88862.44157680722,69344.18366491112,1.2814692866847106
8192,800,93960.9413785944,68639.61815064191,1.3689024489090298
128,1000,264917.5636232132,125295.95783362567,2.114334478171947
2048,600,227628.0015701968,191374.78812730435,1.189435681667621
256,900,139771.66145075494,79309.82918527524,1.7623497980841083
256,100,33777.75157749998,27744.76099020595,1.2174461185455412
4096,300,28460.23067923891,24265.13520631133,1.172885724198909
256,200,46399.82863891521,32996.77807816611,1.4061927055119925
2048,400,63531.99967840824,49006.50439213838,1.2963993344646725
8192,1000,116305.15148596518,97895.23348711745,1.1880573480757914
1024,500,154692.93724809118,103433.70181766388,1.4955757604111344
256,600,171894.93205708032,107515.86756387605,1.5987866344933332
8192,900,83245.98875880853,76055.59330000391,1.0945413104653836
8192,700,118912.22919671808,80626.46962808013,1.4748534785814806
256,1000,158084.30359673745,66688.81108753479,2.3704771612922926
8192,900,344911.70315699483,294265.0674249581,1.172112293773886
2048,700,64336.98166473885,53921.858220267735,1.193152161075865
1024,600,129942.47003345129,87981.12037524463,1.4769358412263796
4096,1000,72993.74951330938,57823.110280004155,1.2623629057628085
2048,200,50505.854575200385,43211.18708703341,1.1688143274905753
512,800,108872.33716599301,76745.1936743743,1.418620918828252
128,200,82380.19536079433,55080.46923257345,1.4956335069142146
2048,800,147781.63650593863,91530.45019922058,1.6145625437685989
512,100,87110.44389211625,81541.92332472774,1.068290277446765
1024,100,30745.51976855672,26126.125239736124,1.1768113138260088
512,900,100404.94928416073,83768.9354752691,1.1985940696811532
256,800,200245.6179522588,140690.70674223357,1.4233038029948826
1024,100,39135.88563951916,26128.92828146623,1.497799114373896
1024,700,313100.79270018806,209079.4040392636,1.497520973617229
256,300,95420.76619336088,73378.01257741736,1.3003999814343206
1024,600,130424.55519854913,121589.27436436518,1.0726649688500267
8192,200,81714.28978444537,66804.37457564907,1.2231877074444033
1024,300,72755.69998833358,60661.299768006524,1.1993758832497978
4096,900,140013.78004915267,83867.31024046338,1.6694678730927077
512,900,95183.02903908357,83934.36071927342,1.1340174420036677
4096,100,87087.91808758794,81541.92332472774,1.0680140293082634
8192,700,51279.17114335454,48366.36010081021,1.0602239043102095
1024,400,127784.74974897955,93715.09953214714,1.3635449397900439
256,700,121968.46552880891,54206.33391376397,2.2500777441036077
256,400,109561.88446317863,62094.6152682652,1.764434548629414
512,500,269201.94682787807,150411.49619722992,1.7897697558628227
256,900,125505.03086959489,65851.69814960258,1.9058738710803058
8192,500,175202.56970444234,145171.26830844925,1.2068680789657689
8192,300,69830.16542146963,49207.11959862682,1.4191069501946283
1024,800,130000.89010116039,113583.42103934956,1.144541068683987
4096,800,147781.63650593863,91530.45019922058,1.6145625437685989
4096,800,135069.08703645229,80495.74766274964,1.677965494554405
8192,500,148053.14188238123,126547.99516819877,1.1699366843828645
4096,700,312978.00704571255,209079.4040392636,1.4969337055645018
4096,800,90593.5611922292,76289.52886222344,1.1874966662310684
4096,100,32241.509959059542,27021.11397775278,1.1931969194758165
8192,600,84748.51496859308,71516.09563181561,1.1850271497608256
8192,800,211548.25164145732,111382.24810651336,1.8992995314581596
512,300,70591.23284252064,64288.232254330745,1.0980428356352152
256,100,81156.68652440995,66621.99147149005,1.2181666253423213
128,600,157946.6387596131,74899.47399565695,2.108781682081928
2048,900,289728.00428865105,246837.67939689083,1.1737592291280488
8192,1000,65457.86738343827,55350.7803146872,1.1826006248021976
4096,300,53075.13620424543,44478.45983108848,1.19327729435335
256,500,151801.2627665354,126547.99516819877,1.1995548611004998
256,700,122607.46826386766,88059.66488743904,1.392322676001423
128,500,116197.48457987637,56182.17500713485,2.0682268809479143
2048,700,119064.1096555879,82723.15596316708,1.4393081147508664
128,800,199223.6284087905,133043.65281458962,1.4974305364753453
512,300,43455.60221289704,36792.68253707005,1.1810936092826023
4096,200,105738.01085096295,87248.16939999937,1.2119223999554047
4096,500,436728.91892491543,374127.1854931126,1.1673274112633423
8192,1000,202302.7201496926,150682.91879743664,1.3425723483737966
128,900,249755.9591477667,109443.21737422631,2.2820597305154133
4096,300,42541.77140966624,36076.63280186646,1.1792057103362845
4096,400,133314.14444537743,80803.01007103526,1.6498660672192629
128,900,233469.80420889545,109318.34627419793,2.135687303787915
1024,400,65692.81541161601,55614.3310578869,1.1812209939779514
8192,600,49667.544519524585,36813.11504024967,1.3491807054420824
128,400,126567.90872881949,101350.91774796846,1.2488087088028021
4096,700,110521.95049691392,83298.65199605712,1.32681559483274
8192,500,83080.36380567116,62291.80850112228,1.3337285560456051
256,900,152624.6195063484,72343.07089417889,2.1097337674482017
8192,1000,305517.779765876,193587.99783544827,1.5781855444652575
8192,600,55263.255929607636,32086.250269673834,1.722334503568946
4096,900,86472.19509598774,74506.27131782444,1.1606029071985065
8192,700,303365.60100892786,257665.43434439163,1.1773624265156735
128,300,80165.61874860083,39128.1871492468,2.048794605352525
4096,700,174754.9893606742,120542.04638444567,1.4497430116901018
256,100,20678.68381016419,16062.953290333515,1.2873525457244757
2048,500,67974.27929112647,64798.784885890724,1.0490054622293878
512,600,69111.99882567911,54759.00301290296,1.262112073322338
512,500,48586.81125391055,40793.162330552455,1.1910528254761206
512,400,87086.84942682071,74066.52558882261,1.1757922858469143
8192,1000,350142.24113393883,296829.78369162104,1.1796061593930365
128,600,138855.92804823496,72849.63176490327,1.906062181567972
2048,800,113390.04817653913,80691.6874824957,1.4052258877488046
8192,200,46467.747410883836,41095.10804137316,1.1307367135791853
512,400,193630.29125350443,161388.29849094016,1.199778999246183
1024,300,73526.83737910348,42146.23556164081,1.744564761224454
1024,800,211127.6039307353,164504.5334558055,1.283415110182694
1024,100,22190.963803862924,18958.590370662885,1.1704965068606532
2048,200,67258.96086005529,57462.271367614376,1.1704890749926449
256,100,66940.95494094133,54998.76131684471,1.2171356833892735
1024,700,165779.81332921766,99618.79371512462,1.6641419469833247
4096,800,85276.8059885482,63505.82912459984,1.3428185595566862
4096,800,237891.87794594732,202353.75339573988,1.1756237477874014
8192,1000,143905.34547493985,97107.11998289233,1.481923730209403
8192,700,180604.96933148502,143967.24459588702,1.2544865315609763
8192,1000,72993.74951330938,57823.110280004155,1.2623629057628085
4096,900,96619.81705827807,71933.22533163877,1.343187610632291
512,700,209159.25222122876,177200.19832819805,1.1803556327506946
1024,200,64443.31600245547,54881.936751014604,1.174217234621628
4096,700,182622.08769977943,168001.64809777957,1.0870255724723041
2048,700,240429.41811650695,177106.47023915342,1.3575416967649245
8192,300,49977.09499866526,42831.51684479748,1.1668299112487706
8192,500,174987.2406561659,105591.85204537216,1.6572040102201728
8192,700,95714.25306781827,61680.706160931106,1.5517697352246624
256,1000,185427.06371148728,147856.9083645297,1.2540980719976322
2048,100,92829.76955104509,80097.32978272869,1.1589621002704373
4096,700,166274.8122445884,124421.16221479316,1.3363869078601085
1024,800,135449.84573861933,124249.35109939276,1.0901452968576615
1024,400,523134.3537992358,447124.8921868822,1.1699960412416144
256,100,21033.96025967311,18030.171622542253,1.1665978949071878
128,900,212647.3314180675,106569.95671190214,1.9953778529997117
512,900,204424.5895814472,155561.6151421717,1.3141068855232596
4096,1000,170414.17071065542,147856.9083645297,1.152561436564821
8192,300,86614.09837708573,59646.42706960382,1.4521255108208282
512,500,249832.9917907435,191297.86620507852,1.305989432850825
128,800,186769.27649464854,84426.00544789649,2.2122244858536297
128,100,44739.84692314085,33864.52550884084,1.3211419989174469
2048,200,51077.0540771089,38158.64128795635,1.338544884018967
4096,500,102805.62119274565,100808.81710997372,1.0198078316958483
128,400,124236.42481428338,56697.870143421365,2.1912009128388483
1024,700,283957.12248210196,203696.4792654518,1.3940207680863086
128,300,81715.61586489828,56263.074324413734,1.4523844785609263
4096,500,203465.52668402702,144967.29718427974,1.4035270756644198
256,500,90637.6411018699,64740.90042417872,1.4000058773977069
512,500,253754.56577583775,225641.9561793339,1.124589460544123
128,800,237017.33634301598,103240.3095790912,2.295782890513707
128,400,313756.112980522,248839.23122737743,1.2608788069025443
2048,600,142958.09974977022,92901.70772451619,1.5388102463486195
4096,100,62010.24834701329,53822.603263146375,1.1521227994832646
256,900,569786.1112107552,471069.48858223285,1.2095585152959651
2048,500,54865.30666688073,46117.50017027101,1.1896851838090061
1024,500,118007.0647816076,94363.66759019131,1.2505561493656263
128,200,59463.299791385434,34021.21650844406,1.7478299100982078
8192,200,174597.09820165302,148803.6312079928,1.1733389621225505
2048,800,135451.61302017118,124249.35109939276,1.0901595205259238
512,800,104035.49587166963,82757.78660001053,1.2571082449860542
512,800,236704.37581972088,151102.0773920206,1.56651966607721
1024,600,150897.77576086682,105019.85128070624,1.4368500233116315
128,200,85768.060778681,70374.68498825342,1.2187345604885758
2048,600,65170.20187473831,54759.00301290296,1.1901276190032557
8192,500,55368.742672103086,44043.12302968092,1.2571484232575825
512,300,82672.07958708981,53292.82538852232,1.5512797263868638
512,600,195003.16941364924,123966.35877611427,1.5730329690963085
4096,300,179390.13966429976,151327.6818856169,1.1854416682328766
2048,200,24591.27147941577,20700.962951012414,1.1879288677347781
512,800,127555.28471079782,108006.22245017193,1.180999407415112
128,500,454900.36378246295,375731.15576153254,1.2107070622356833
4096,600,141138.20362616278,110655.08892051583,1.2754786517549423
8192,400,133314.14444537743,80803.01007103526,1.6498660672192629
256,100,81037.52093572302,64601.3564317874,1.2544244488316678
2048,1000,111386.14968976253,60509.32359768595,1.8408096978631945
2048,500,268607.8531274367,150399.0297809245,1.7859679914072488
2048,1000,347355.02685852797,254936.71337053613,1.362514728718837
1024,600,55302.195995928196,32086.250269673834,1.723548109583774
1024,800,260000.03541357146,220831.60557494673,1.177367862433675
128,200,112439.59117540366,63311.651754383245,1.7759699527602224
512,100,23223.981272683402,19361.98507836203,1.1994628225717074
4096,900,162674.08528185432,138660.26103350002,1.1731846173472342
8192,900,290228.17132076604,227394.75968666168,1.2763186439330685
8192,300,78458.629588007,49550.41489560321,1.5834101440585298
4096,1000,226471.52629096832,182480.7972512204,1.2410704561926376
128,200,77871.62353726305,52625.615790818134,1.4797285004092953
4096,200,60050.337238861204,55080.40807549345,1.090230434686612
8192,600,241754.41824702435,147890.2175992439,1.6346883666243275
4096,800,115957.03885961883,96700.03304942673,1.1991416673079023
2048,500,87838.66359322052,63587.77275587825,1.381376635574965
128,300,103236.55448123372,45007.6355113429,2.293756455062294
128,100,46488.539739850225,29276.558469929165,1.5879099924808444
128,400,107663.76281485625,70067.20077666298,1.5365786219722284
4096,1000,91230.74299231723,75618.70934949408,1.2064572878474764
2048,800,127141.38097106472,108005.60745631279,1.177173889073233
2048,100,35842.26498675043,30198.110141443554,1.1869042406584542
128,900,232699.8242492227,107296.26736457921,2.1687597338175615
8192,700,85297.06319800334,68714.9288586522,1.2413177837011353
1024,700,142632.4433378736,114978.99996643869,1.2405086440089643
512,700,90209.14320394557,72744.33423628379,1.2400848004317921
8192,1000,1333784.5390290052,1137530.3818757026,1.1725265190980605
8192,1000,135480.20148967387,114821.68959577374,1.1799182015752232
1024,100,46469.72733579062,43929.616859217924,1.057822277046327
8192,1000,328854.90393162245,270407.67287867976,1.2161448690813055
4096,900,106695.26710752414,89987.30710479997,1.1856701854992275
8192,600,249570.34483487008,212721.5108913956,1.1732257061782885
8192,1000,104795.27905192022,88788.38772271542,1.180281360431885
2048,100,62605.771179463925,49628.83987756196,1.2614796423595036
512,800,79283.0438521173,49694.143521465914,1.5954202695508808
2048,200,39948.88256084733,38263.86021787016,1.0440369145554795
2048,600,130511.02184806834,64352.41237737711,2.0280672787015686
1024,100,49663.04821274447,38902.58936820653,1.2766000674837346
256,700,150722.19435322366,99443.58346047232,1.5156553003053637
128,1000,268865.6523316989,118514.74706755942,2.2686261329016872
1024,800,112435.41711146795,81513.14058911963,1.3793532711273773
1024,800,95090.69488622091,79873.37446696083,1.190518060878405
1024,1000,124860.57797507713,107712.89842023634,1.1591980144099363
8192,600,171849.7280155888,131761.85730909472,1.3042448818283852
4096,200,44295.58406166782,37222.327856175216,1.1900272393715736
1024,700,182623.89989630645,168001.64809777957,1.087036359250574
8192,800,252614.24146559442,178752.13959328766,1.4132096099121623
128,1000,230016.1000315264,114759.30901984677,2.0043350033742957
2048,1000,151530.29307087857,93395.93902427712,1.6224505546380357
1024,1000,207332.21141093632,129220.21608915825,1.6044874222148262
2048,900,160810.1822553507,109810.59666555177,1.4644322782902954
512,600,100686.80526959553,55246.19014466643,1.8225112900263227
1024,700,63881.87698001176,52978.919429421854,1.205798035671806
1024,100,58780.227571525014,50440.03416874034,1.1653486866183254
4096,100,78697.3871937684,66433.41435496167,1.1846054874325571
128,700,177161.98783662918,95764.45131334884,1.8499765352065891
128,300,74665.30242627527,36061.13127075538,2.070520247012518
2048,1000,93171.97406351885,87656.17777952272,1.0629253570452244
256,500,94319.67886756102,63587.77275587825,1.4832989862637045
128,500,127996.82753741788,59540.26409032341,2.1497524321229897
2048,400,77723.39402512873,64845.882043045916,1.1985864264061437
128,900,230733.37818039677,142091.52385562783,1.6238363268933167
128,300,67211.06973345697,49018.24004301976,1.3711440817636595
4096,200,60669.0398177469,52396.80681940171,1.1578766627298005
128,500,185172.71982052937,133237.7915469743,1.3897912722100687
256,200,68583.92312833859,52126.77261513772,1.315713973598697
1024,300,77693.71278859118,66019.7704373757,1.1768249461316898
2048,200,116065.10108806506,99057.8538518329,1.1716900434938857
4096,500,257576.30830771785,218673.40978607017,1.1779041107910955
8192,100,36834.702271992785,29457.384252428696,1.2504403634873265
4096,700,165779.81332921766,99618.79371512462,1.6641419469833247
1024,500,65395.06696469284,54675.27307489169,1.196062923638583
2048,1000,120730.77519288199,117209.69503034814,1.0300408610535345
8192,1000,363564.2937651308,310306.1045740466,1.1716311358559672
2048,1000,108860.42543428513,92929.47364766299,1.1714305608468576
8192,400,103216.31187581224,86617.18216219664,1.191637840198179
128,700,170495.01664665644,80058.73659126465,2.12962412231296
128,1000,875039.031138785,667487.6807548334,1.3109440913564736
2048,900,103997.47509130622,81400.98392035367,1.2775948162133022
4096,200,57019.38730188338,38046.299123850666,1.4986841983308374
2048,300,160738.31459645357,122166.32017680924,1.315733455536843
