P,n,Algorithm Time,Optimal Time,Makespan Ratio
4096,600,9805.77029846811,4118.24998149955,2.381052714749871
256,400,35338.11569523993,23531.7252532983,1.5017222628114273
8192,800,39289.33455616228,14795.02099803586,2.655578154392495
128,1000,157755.591106929,119404.61005167401,1.321185095271096
2048,600,114640.33510150346,91443.0979502153,1.2536794757753889
256,900,65687.59372981986,51518.201495127876,1.2750366244060751
256,100,6775.477240632485,4679.130547151785,1.4480205611610384
4096,300,2051.4386108126237,942.5154884959478,2.1765569222488628
256,200,21440.853893311843,11080.525409985707,1.935003359496786
2048,400,56026.87430430784,16659.391108001237,3.363080555651223
8192,1000,67251.24997224027,31785.267802615333,2.115799381961059
1024,500,47319.43152678846,10972.920970408175,4.312382423458597
256,600,70968.200276389,34696.429261633115,2.04540356995366
8192,900,64749.87867886005,42072.74163946224,1.5389983194755181
8192,700,86064.8210907775,28301.923922736623,3.040953022336284
256,1000,67579.9456579688,58863.7101663512,1.1480748574458723
8192,900,74203.53826872093,26446.50237773516,2.8057978030089745
2048,700,69329.36275011115,31784.101151865783,2.1812591905258705
1024,600,39400.290250276885,16874.141147700775,2.334950852040577
4096,1000,54006.88299717979,25339.795717781904,2.131306960745587
2048,200,16763.190723510874,5118.145442873633,3.2752470422370443
512,800,49098.35633254703,21229.958775728857,2.312692024097508
128,200,84937.39391866223,28092.671302858154,3.0234716023613135
2048,800,66590.49125520547,26497.37844693629,2.5130973386125626
512,100,60278.78509919935,52844.49103612885,1.1406824801848845
1024,100,11650.739924824884,6901.431727873591,1.6881627442273646
512,900,59054.70405038812,24134.145646769488,2.446935761253806
256,800,120827.79039140628,46337.580997070676,2.6075549865031724
1024,100,51911.03733151539,16558.912626923186,3.1349303242963598
1024,700,76563.57557431952,15601.0663687365,4.9075860434609675
256,300,24403.98210228576,17275.812740351696,1.4126097839255087
1024,600,78083.91885309955,70364.7320429823,1.1097024970606295
8192,200,8436.775788508208,2650.3651611722858,3.1832503355034025
1024,300,8609.18958834489,3799.3333703103463,2.265973724659401
4096,900,28278.272294874278,12984.521812166118,2.177844721888669
512,900,88850.92282729932,39234.60108057627,2.2646062501011746
4096,100,60202.960688601306,52844.49103612885,1.1392476208625342
8192,700,32141.775010001173,31347.334171878083,1.0253431706111644
1024,400,57424.646557592234,16121.07512688779,3.5620854133863333
256,700,63013.518599093644,38261.990551516115,1.646895984521557
256,400,30133.995042608145,22632.15194254064,1.3314683958959566
512,500,36994.04034718881,16731.4559896685,2.2110472854264596
256,900,76821.97389549586,47728.093563071816,1.609575580344038
8192,500,42699.89068623327,14826.065726985928,2.880055401920437
8192,300,14127.381406212044,4160.156593477788,3.395877315858897
1024,800,48161.507164477654,40846.09768688062,1.1790969001170135
4096,800,66520.91508868008,26497.37844693629,2.510471563135765
4096,800,82398.99682761534,29394.111289795015,2.8032484471208505
8192,500,29342.902353672845,9178.81822404002,3.1968061287913474
4096,700,76058.39261923487,15601.0663687365,4.875204734187327
4096,800,23674.375663993957,12582.997544262242,1.8814575446523316
4096,100,4449.703085277198,2685.399498342895,1.656998553855029
8192,600,49596.67520297795,43098.54140707002,1.1507738680651025
8192,800,61899.26193422632,34870.55437275946,1.7751155107124257
512,300,85920.66460969379,37353.09082643066,2.3002290495569166
256,100,10572.652452330833,4829.618848163767,2.1891277106371616
128,600,91096.35606298357,70900.57950763027,1.2848464243254858
2048,900,97620.27493692264,35054.15888407378,2.78484145803523
8192,1000,25843.23804003621,7701.877971338275,3.35544631273166
4096,300,22627.9264187505,7534.510577709549,3.0032377266406693
256,500,42108.823461055945,27381.290499521965,1.5378684748913167
256,700,154186.14730779445,52807.571677195476,2.91977347965005
128,500,97920.3086231247,53535.80791606614,1.8290619388175655
2048,700,78477.09620770432,69459.09380371566,1.1298318464889943
128,800,105518.27235527223,89245.39881899078,1.1823385155047197
512,300,16728.78251652998,8874.280036111113,1.8850861645629189
4096,200,16526.02954452765,5846.530584549667,2.826638688626749
4096,500,70423.64657727529,31281.94741052828,2.2512551937087344
8192,1000,55258.05091481908,11706.78763223605,4.72017197635493
128,900,155719.53981080026,103084.41806074536,1.5106021136874264
4096,300,12224.485806532537,11243.031887069747,1.0872944174952959
4096,400,25533.7341766416,16058.873985478984,1.5900077551969165
128,900,133760.86594996892,103160.92321660006,1.296623389741484
1024,400,58558.61620417246,19518.106129237913,3.000220196387409
8192,600,11224.4468141843,6143.604662733954,1.827013199965463
128,400,56773.94901542484,46532.572763232245,1.2200904795078262
4096,700,26345.29456531261,7645.6808588148915,3.4457748174171408
8192,500,36031.28314452842,12395.199388157413,2.9068740256774994
256,900,59508.52230203526,51088.94408718973,1.164802353332581
8192,1000,61399.824689167624,16650.77136654941,3.6875063225309126
8192,600,9662.203158261587,4118.24998149955,2.3461915137903686
4096,900,45313.15036144133,21576.530603346437,2.1001129048250897
8192,700,29443.7352808508,12303.529098815054,2.393112987694442
128,300,81751.96232838061,32755.432020731212,2.495829158248899
4096,700,107396.02860759223,37261.21500737222,2.8822470922202528
256,100,7828.422365794129,5731.651529726247,1.3658231532732465
2048,500,88430.48199870157,28634.316507153108,3.0882693490033484
512,600,43570.72004276812,17725.14487690757,2.4581305453549396
512,500,73787.90663399459,24995.547779787677,2.952041991000582
512,400,15397.046462341925,10699.281702643733,1.4390729107111369
8192,1000,64454.480139825355,37945.93275199021,1.6985873179371198
128,600,79281.366667088,69365.62215019029,1.1429489739950456
2048,800,41673.44796187206,9344.456009563955,4.459697591729225
8192,200,5575.7722021234085,2246.1903057130307,2.48232404348902
512,400,26118.953875259383,9893.49469570031,2.640012925524751
1024,300,6644.637082381805,3874.652043565825,1.7148990432355766
1024,800,110971.51758582523,54042.00044115176,2.053430973686217
1024,100,25460.61650021196,8256.468069310878,3.0837176727962583
2048,200,21189.25066017906,7479.733511501313,2.832888448177615
256,100,7809.215370666032,5741.098881538105,1.3602300764716764
1024,700,26913.682953408286,9298.972325300192,2.894264227476282
4096,800,33213.00160705707,8113.94962465907,4.093321149803492
4096,800,37602.11054791599,17329.60230789093,2.1698195884618823
8192,1000,62831.504871987454,24653.74296094643,2.5485584469472955
8192,700,48475.62676412244,16443.27112892882,2.948052512424901
8192,1000,54007.25693026057,25339.795717781904,2.1313217174975727
4096,900,42554.887451380164,15123.145179145105,2.8138913531071283
512,700,70551.532112313,23042.05276203695,3.0618596720058955
1024,200,20342.36814973072,7925.6844354705545,2.56663866891932
4096,700,126775.2889738997,119281.29786603454,1.0628262036206355
2048,700,24514.767426105973,8384.147776288468,2.9239426689778933
8192,300,3733.501945551333,1134.6245423979938,3.290517528962217
8192,500,75835.14820220372,28805.068012604806,2.632701584631532
8192,700,47554.6901972795,38693.833645176644,1.2289991897250896
256,1000,126235.90608475971,55694.48421872097,2.2665782411955107
2048,100,20501.697271803543,6527.528362389177,3.140805544397451
4096,700,114874.145964548,51410.44753159222,2.2344513903318335
1024,800,95266.51051521755,83688.43623733887,1.1383473607398216
1024,400,108513.53101764615,40694.6858930326,2.666528285852304
256,100,7876.774655954376,5063.0781886625155,1.55572842497128
128,900,158182.31096812442,96720.06020199122,1.635465389886801
512,900,71005.59820100322,27287.43887670948,2.6021349428145966
4096,1000,99344.4492226806,55420.91730641427,1.7925442964687766
8192,300,8515.743043907294,3203.678826598781,2.6581138449974153
512,500,25903.378372699764,13699.604154479855,1.890812178264961
128,800,93143.34149276074,79920.49096406845,1.1654500662994822
128,100,16605.739729710385,9931.189861419074,1.6720795757032865
2048,200,13091.571695735736,3631.3880687245173,3.6051150270849455
4096,500,90262.10102696429,88189.90415189893,1.023496985227427
128,400,60947.858893191835,48772.789542903934,1.24962831661654
1024,700,37244.3882210489,10218.636013742087,3.6447514297370422
128,300,43782.682728050444,36726.85726982461,1.1921162327173311
4096,500,92120.57754212113,25343.09726656832,3.6349376152867947
256,500,60652.05351816485,40962.13789004808,1.4806857415735746
512,500,161624.12908881216,81134.30977008452,1.9920564992395544
128,800,133655.3169445977,97370.5352483193,1.3726464233121765
128,400,152449.03158731796,56129.50996388722,2.716022849395997
2048,600,23807.73829429224,7161.983183316524,3.324182378667288
4096,100,5633.984014315992,1609.8572306473563,3.499679292709983
256,900,112427.13477268536,54102.139652541075,2.078053391136165
2048,500,28582.255261059385,26754.332671641892,1.0683224886171423
1024,500,60551.91787780516,29622.079368073526,2.0441481209137398
128,200,32752.951609166626,22418.17440326771,1.4609999467393073
8192,200,37109.13570611428,13392.711084435161,2.7708456840558626
2048,800,92599.88051791643,83688.43623733887,1.1064835798258301
512,800,109090.48430800517,41317.49187667394,2.6402978339929897
512,800,116053.41675433342,29827.20615276463,3.8908577679031677
1024,600,45248.15203923313,17584.595758729552,2.5731698732267136
128,200,30834.966782533244,24735.736732623263,1.2465756373395533
2048,600,30721.40052628908,14204.411019232688,2.1628070663889187
8192,500,31251.607327019912,13172.843391400284,2.3724268480578847
512,300,19888.306143670678,7439.888445540946,2.6731995095424606
512,600,34282.32208975724,15899.34500755958,2.156209710114297
4096,300,25987.33091754446,8964.445714442161,2.898933380306782
2048,200,11665.373698703936,3331.151264730722,3.501904528387402
512,800,38292.49963865606,23329.424969424435,1.6413820610170307
128,500,121655.18410905436,58552.39607217396,2.0777148719771854
4096,600,62726.37360034626,19273.016075016418,3.2546215577362783
8192,400,25533.7341766416,16058.873985478984,1.5900077551969165
256,100,19690.63618657235,6271.106141717587,3.1398984073293486
2048,1000,64808.13448092655,19519.021354171116,3.320255319413203
2048,500,30886.728853884422,8999.368116979864,3.4320997266027864
2048,1000,42834.15806323956,11945.840872571735,3.585696354083286
1024,600,16193.556522413532,7574.492106364061,2.137906581064064
1024,800,91689.569734379,30245.172080792294,3.0315439928545818
128,200,39060.83191615111,20554.7935583826,1.9003271331918306
512,100,4193.565129415256,1647.1095834763269,2.546014649835548
4096,900,48015.08598530032,17795.006342265573,2.698233710164965
8192,900,67301.03069662946,29139.288958476114,2.3096318785449554
8192,300,15894.50294280116,4437.796551663437,3.5816204636157467
4096,1000,139727.35143402102,64026.0449036331,2.1823517545762434
128,200,36006.77400127612,22869.25446081218,1.5744620823987008
4096,200,81067.3931687224,27366.490666336336,2.962286767314445
8192,600,30246.012013713836,6739.31208828464,4.4879969375943185
4096,800,67081.84937117448,25954.7004250599,2.5845742109358087
2048,500,95207.9655413628,29096.494408489692,3.2721455789389973
128,300,49731.63800667283,42868.394179046576,1.1601003247045094
128,100,26733.60050555801,14368.875755705378,1.8605213769033415
128,400,58171.06125805206,47063.4505065966,1.236013522848236
4096,1000,43259.37420293395,11369.665935842593,3.804806090789337
2048,800,26088.79778930455,23176.40263872809,1.1256620881149952
2048,100,2098.2163184706865,779.9525417109743,2.6901846026013967
128,900,121083.58842292945,102028.33792508653,1.1867642939732497
8192,700,22498.194561540244,13342.922112172426,1.6861519817323736
1024,700,47715.20701274178,23892.917564519732,1.997043972712543
512,700,104906.55230384255,46034.918306536856,2.2788473654996375
8192,1000,256250.8995764466,104842.27980968643,2.4441561175663358
8192,1000,22618.96610107237,17013.83585258804,1.3294454170739933
1024,100,84632.0960524031,27862.279139187787,3.0375151878142517
8192,1000,125770.46558149575,44093.542638006584,2.8523556524824896
4096,900,33926.87059829379,11517.73406831423,2.945620240671126
8192,600,69557.950788513,34044.58840001379,2.0431426566603705
8192,1000,43304.69081380245,14355.924063056385,3.016503195725518
2048,100,26731.22535723779,8264.118251157186,3.234613124454595
512,800,67668.28971140765,21523.445853670353,3.143933837149422
2048,200,74634.97118169449,37184.08459662799,2.0071751662393407
2048,600,30399.300762112027,8424.948334473913,3.608247736988678
1024,100,86053.29190344874,28456.760375258575,3.024001705347558
256,700,52432.30244459928,41979.70873698172,1.2489915728836254
128,1000,160446.27186618344,111804.66682439692,1.4350588076809367
1024,800,45013.76302430623,11723.473347553632,3.839626848616444
1024,800,18435.579388478785,11709.843963234125,1.5743659306103246
1024,1000,52440.28961630319,18902.043005270345,2.774318606813114
8192,600,19207.263714235087,5902.922290422559,3.253856779615532
4096,200,22378.119348976044,6514.510751938798,3.4351189523044448
1024,700,128064.11269562895,119281.29786603454,1.0736311139023524
8192,800,73133.87933452595,28906.407718974442,2.530023102335202
128,1000,187358.6150110188,109237.63657662571,1.715147094743252
2048,1000,52916.70298425858,19174.55975050672,2.759734965120134
1024,1000,50501.93170340253,21242.000587215385,2.37745646866225
2048,900,64491.971463966554,50700.94643714276,1.2720072502772986
512,600,36538.13623314972,16673.63804033263,2.1913715617890914
1024,700,35740.14027739449,16689.36111657461,2.1414924171003813
1024,100,13499.065355108507,4381.662305208172,3.080809157534373
4096,100,8179.498668655697,3011.031258518044,2.7165107122406447
128,700,104886.66175976083,83214.36890509089,1.2604393104199108
128,300,41833.55280053112,34512.68583773152,1.2121210443377302
2048,1000,66996.42508094294,63187.478500993195,1.0602800850787213
256,500,107883.40722331728,29342.10076145894,3.676744487396175
128,500,65621.70304130614,56026.38095969651,1.1712643564914926
2048,400,44268.74621249012,13737.181606839427,3.2225493903676523
128,900,120008.13984622846,103152.02937065497,1.163410362146193
128,300,36338.35877723459,30815.596408708312,1.1792197137864118
4096,200,22385.8754523198,11947.194373851893,1.8737349332253623
128,500,63490.87931640638,51649.5387557624,1.2292632392447624
256,200,28402.188520164047,11434.62723040609,2.4838753330444487
1024,300,10269.40990960531,3530.140474026971,2.909065513160894
2048,200,13210.070951147549,4697.6054528301665,2.8120860901991835
4096,500,64929.348361419994,19728.656110545275,3.2911186650323456
8192,100,3834.4784726865623,1186.6338026590806,3.2313915751380344
4096,700,24866.22666214364,7625.546039991353,3.2609109605706132
1024,500,70426.83109538774,23184.603529300133,3.037655183811275
2048,1000,168049.41986402308,83498.62870766157,2.0126009548298534
8192,1000,70279.36259326972,29314.382451789344,2.397436231476194
2048,1000,50335.78196124311,16073.252104701176,3.131648880597143
8192,400,55180.60262544048,17342.848385000725,3.1817496988075162
128,700,84788.84156160394,75809.96321061932,1.1184392917595676
128,1000,238676.5383519883,118000.69589745268,2.022670599836189
2048,900,59747.64078289325,20389.69610220296,2.9302859877562346
4096,200,8710.03468438832,2985.4729818217315,2.9174722857727784
2048,300,15587.976021774452,6322.060306833952,2.46564810603346
128,100,17305.206262392094,14446.766271911081,1.1978601949170238
128,1000,169874.0579270292,110076.46947736123,1.5432367946899515
4096,300,11410.781349232388,3786.839985685401,3.0132726474755143
256,200,14357.355362000222,11209.087201633854,1.280867487578067
4096,400,59301.47795069328,20712.283029273585,2.8631067790489286
2048,200,15988.523450402048,4909.981711961932,3.2563305503664184
256,1000,137556.60495731092,58726.96709569049,2.3423073208118237
4096,600,34675.53577649889,13993.535659909896,2.477968157528686
256,500,40678.85877684011,27143.751524606912,1.4986454153164155
256,400,39202.39657292059,25877.93205935572,1.514896804080125
512,500,68110.87845379778,19824.47658957861,3.4356961782084325
2048,900,28288.798307210007,12984.521812166118,2.1786553803394
8192,300,50819.40629700584,21585.589847035804,2.35432094546096
512,900,78328.59281163842,26610.781636185853,2.9434908708252934
2048,600,34730.90691975775,9821.146266439977,3.536339443231528
256,700,52175.52274940808,42748.97540272856,1.2205093164894392
128,300,33603.86659930919,26988.128761182234,1.2451351072417647
128,300,38973.78400104148,33300.69501494735,1.1703594769883243
1024,700,20089.79312189773,9933.76849404138,2.0223737984178194
256,800,51090.32009127067,40732.385089797965,1.2542923764134548
1024,1000,19270.166144563376,14103.20000120165,1.366368352070557
4096,900,41097.95342204748,17976.093377004225,2.286256115837811
512,600,30549.081046396706,14713.168401077037,2.076308801315728
2048,700,92280.61954725525,30411.41910911961,3.034406885655087
256,400,46872.3206878232,23558.171020774545,1.9896417530244304
2048,500,29361.798611792045,9178.81822404002,3.198864809730219
128,800,128824.9073042028,92351.37447544445,1.3949430426555958
512,200,14579.888605109905,5266.246438150616,2.768554183011235
128,900,129246.22550896903,94518.05570423095,1.3674236583263057
512,300,18490.173530234617,7641.144258583433,2.4198173603991675
8192,400,57061.8479167901,20320.559616571347,2.8080844717611204
8192,500,14367.077360742154,11124.079955775882,1.2915294943814597
128,400,82595.43894384876,48720.513203685616,1.695290823365148
512,400,141957.7944768135,104413.74225631413,1.359570027940733
8192,700,13108.369663027803,4280.411000743759,3.0624091146271017
8192,400,29438.813594009407,10151.979392012567,2.8998102199824647
1024,600,38716.1644785534,12133.41732730136,3.1908705877476327
512,700,38202.42639619531,18464.180240983344,2.069002029746259
4096,400,54087.4573682533,22260.07004728407,2.4297972671857098
8192,300,15987.712197274343,4271.608920895634,3.742784625967627
512,200,7329.523868234841,5669.957595651662,1.2926946532820482
2048,500,118406.5408577063,39239.447684927094,3.0175384171676143
128,400,51373.813631566496,42797.12681057493,1.2004033321898682
2048,400,16887.780021338247,7285.308736360246,2.318059622793064
4096,400,51907.622797656826,15665.754420776666,3.313445455829084
8192,800,26660.820717998762,9310.762513902644,2.8634411712455727
1024,900,48761.47822034823,17795.006342265573,2.7401776252550727
