P,n,Algorithm Time,Optimal Time,Makespan Ratio
4096,600,144514.25483200297,25339.817846041748,5.70305026303009
256,400,115884.82395886879,48679.56019676214,2.3805643167371247
8192,800,255536.38494231447,62137.90128877687,4.112407719641934
128,1000,402087.13458051125,125295.95783362567,3.209099012710553
2048,600,171243.65723661345,95460.11175339336,1.793876563637337
256,900,337868.9546426423,77030.62312975689,4.386164111297753
256,100,34893.56460937305,26193.65899088914,1.332137851436104
4096,300,66801.36498883873,20887.76340872541,3.1981099977862595
256,200,79326.17431934537,25775.82693292296,3.0775413927854864
2048,400,127775.29225722543,34397.99854935305,3.7146141533176094
8192,1000,280756.07427256915,71441.52524391812,3.9298723440464363
1024,500,158834.83967111955,69330.81468246617,2.2909703340221825
256,600,204476.5534278733,65997.13135384436,3.0982642613899376
8192,900,204347.0846635087,50985.945546331204,4.007910071567024
8192,700,195820.3883639459,54661.38833726035,3.58242617541537
256,1000,369836.75065194943,62174.13220982782,5.948402293799762
8192,900,263587.7150876584,200725.03795784948,1.3131780557590904
2048,700,186548.1606739887,45736.33575987692,4.078773639702935
1024,600,179259.77924683207,69645.19944005155,2.5739000058594614
4096,1000,246617.50419805472,51207.743830232605,4.816019721854137
2048,200,76767.36239658447,33208.183834406,2.311700115230274
512,800,206191.0050275656,58281.74602729851,3.5378316382454993
128,200,87997.55629578371,36920.89002320384,2.383408315468004
2048,800,178766.07623257494,69914.3129245496,2.5569310310679363
512,100,47401.182491890795,34744.80913128068,1.3642665962788556
1024,100,29696.189002094667,17424.209760559108,1.7043062159016258
512,900,242322.97405878632,65527.226447374065,3.698050218154734
256,800,268999.9569472491,88988.07431158595,3.0228764812390847
1024,100,34136.27627507205,17010.884101954263,2.0067314591338827
1024,700,238172.27290598562,122698.14519501191,1.9411236618731553
256,300,117343.05419137042,58817.967607809784,1.9950205517776127
1024,600,200385.50612935805,56839.82740281852,3.5254418474786138
8192,200,64068.38410975535,48832.439654252754,1.3120045724394955
1024,300,111960.99463996197,51334.02512144949,2.18102894474137
4096,900,231801.81782143557,68798.33552250691,3.369293981619703
512,900,260822.85348263168,70503.79592528375,3.6994157556997096
4096,100,38068.152266031764,34460.69141352587,1.1046833567329402
8192,700,191985.14781436947,24919.342184621364,7.704262271130516
1024,400,131998.0879145872,71121.47502380062,1.8559526200829548
256,700,266805.6723941809,46686.09352875527,5.714885359381115
256,400,172314.4143775784,59315.77823058138,2.905035043251585
512,500,214186.70954326217,104189.08387589059,2.0557500035070864
256,900,280274.39767605317,57244.69321120439,4.896076508646493
8192,500,151404.50235034776,87191.89492611904,1.7364515644331215
8192,300,86369.4133828751,37997.38137569971,2.273035937105669
1024,800,192664.2320770374,76586.05734526525,2.5156567494846818
4096,800,180063.56793940254,69744.6297416748,2.58175530655672
4096,800,185963.20290266268,49156.66889863417,3.7830716984939907
8192,500,136216.51708066964,93303.02350633578,1.4599367947751425
4096,700,226070.49659522314,121247.84298185878,1.8645321107200896
4096,800,210293.64619846956,43369.83132383738,4.848846301204906
4096,100,33904.81653629228,25235.008428580157,1.3435627189207928
8192,600,176688.63360409657,37566.49697046091,4.703356656944337
8192,800,268914.16760604706,84971.24391877686,3.1647667517154314
512,300,115557.70235332042,47234.241688785194,2.446481582465147
256,100,61785.44915084804,56270.53628076332,1.0980071141061802
128,600,261813.89036796623,74899.47399565695,3.495537103279891
2048,900,242941.65331021615,156586.64072292217,1.551483908132993
8192,1000,241590.04208379536,45312.78094590863,5.331609251089431
4096,300,73790.60960598644,41796.45799396132,1.7654751897074048
256,500,162943.58942763132,95166.34282014595,1.7121976593718329
256,700,219875.36056673242,47967.297444383694,4.583859676932389
128,500,181936.731009093,56182.17500713485,3.238335486050299
2048,700,204083.7837273529,48971.50074361899,4.167399010207893
128,800,303768.06966342725,93497.3020055607,3.248950110296881
512,300,86398.0714595944,28600.5958497807,3.0208486534121235
4096,200,63843.330218620285,50831.013653404065,1.255991679684806
4096,500,248379.61758349644,237564.50729901434,1.0455249414461962
8192,1000,314217.33063802426,112393.23827909636,2.7956960351810105
128,900,417210.65972955,109443.21737422631,3.812119834735436
4096,300,82119.03183969614,27866.80417099782,2.9468406687682163
4096,400,117428.40744094168,56915.493482307924,2.063206347801308
128,900,397992.1592314019,109318.34627419793,3.640671239511229
1024,400,127260.80834967332,44207.66491546582,2.8787046000511958
8192,600,120033.73646044132,32734.27780938007,3.6669126216691854
128,400,195947.7350269458,81480.70461614145,2.404836040017851
4096,700,228353.66024250383,53915.74341202593,4.235379979784707
8192,500,127206.3591405758,54509.002824173345,2.3336761369658197
256,900,350131.8988216426,64837.41435415292,5.400152092882097
8192,1000,282177.03961073846,124535.58998606945,2.265834526839298
8192,600,138218.9657501947,25325.579367516788,5.457682280211831
4096,900,234991.13467939515,44998.63267930536,5.222183890655557
8192,700,217521.95872860166,185768.68163866145,1.1709291189981286
128,300,121854.15384871193,38152.527144095155,3.1938684792357517
4096,700,203045.7725899112,86344.15596057125,2.351586744129288
256,100,33335.900672694035,14891.07425106187,2.238649818720559
2048,500,165517.37524699475,38078.8838745444,4.346697129892574
512,600,194976.2575722283,50523.437090590436,3.859124968529526
512,500,145581.70014988823,33156.78306802833,4.390706415975151
512,400,128061.18059677527,57470.31142497088,2.2283014903088314
8192,1000,293882.24777429143,150569.03775101455,1.9518106256364864
128,600,237661.00493098443,72849.63176490327,3.2623501200109324
2048,800,233874.34891720102,41519.7534269463,5.632845323339918
8192,200,58746.672135715075,26972.824218293383,2.1779948462301615
512,400,151688.48076530997,109009.50865491609,1.3915160488017588
1024,300,77695.8686336757,35788.66352580134,2.1709631201417157
1024,800,217846.93804253123,105506.57662913551,2.0647711735381344
1024,100,25168.008893763912,10211.848879179503,2.4645888508081897
2048,200,64285.45323590093,40359.96560634527,1.5928024781516208
256,100,52010.909423751276,37681.884279448226,1.380262967691298
1024,700,217895.78648112094,66874.51640802078,3.2582783126486583
4096,800,211836.3965841554,46857.31231092819,4.520882358306973
4096,800,242935.7013504315,127268.05412448723,1.9088505990105262
8192,1000,262848.3702176239,61631.005637657836,4.264872323566598
8192,700,236773.58592707972,116555.24523591898,2.0314279760454137
8192,1000,241789.52665919196,51177.51428416821,4.7245265824485285
4096,900,222178.0613317138,60367.665223331875,3.680415012072437
512,700,214671.28904475275,123260.96281991307,1.7415999691515647
