P,n,Algorithm Time,Optimal Time,Makespan Ratio
4096,600,20110.04717837396,18779.00655706,1.0708791818816183
256,400,57085.680109900546,43244.960742362484,1.320053923739137
8192,800,48038.7096232995,46379.37991347244,1.0357773155424412
128,1000,190777.31886038434,119404.61005167404,1.5977383015431543
2048,600,122249.62462288699,111680.57587899217,1.0946364097848722
256,900,94790.72725467487,51518.201495127876,1.8399463588347376
256,100,13071.846658694216,12924.548421892341,1.011396780142227
4096,300,20711.342796097524,17279.41691731119,1.1986135235470878
256,200,31627.878389778733,22891.533499154106,1.3816408756952632
2048,400,33526.053280893895,21733.26502109654,1.5426146622861343
8192,1000,60733.57691175951,60202.342442558154,1.0088241494873431
1024,500,81189.20773715484,53664.96732667876,1.5128902854431219
256,600,85702.92563076304,58028.72573355824,1.4769051801046305
8192,900,52754.080896452564,52575.017380802,1.0034058669796266
8192,700,55114.13954051518,35360.41439156067,1.5586395263984534
256,1000,106814.92274953367,58863.710166351215,1.8146141731071723
8192,900,151321.3714168757,149649.57060028278,1.0111714374447378
2048,700,41725.71873057772,41611.35817859911,1.0027483013529086
1024,600,59339.698827488515,43965.34404781527,1.349692584298956
4096,1000,34477.595467820494,33915.21825046568,1.0165818545881564
2048,200,13985.016978973163,12441.910416424595,1.1240248893378553
512,800,60422.70959797957,54149.74440156318,1.115844779430488
128,200,48698.48811194137,38939.521911435,1.250618541817293
2048,800,89927.88377388135,71810.48771496736,1.252294569155778
512,100,60701.58596819056,60573.79424177784,1.0021096866724684
1024,100,9785.304980417724,9640.921141579869,1.014976145610729
512,900,62459.88947061031,46304.128599874144,1.3489054077735108
256,800,122317.13483531759,86969.02217444926,1.4064448671156071
1024,100,30340.193895572756,20829.72320776272,1.4565817122459757
1024,700,138327.47359288047,101971.47650017287,1.3565310451560046
256,300,44243.66574286491,35896.699653227304,1.2325273958406138
1024,600,88483.36103281095,86765.25402755744,1.0198017861471116
8192,200,21295.133067208793,18018.92824454402,1.1818201825436971
1024,300,19365.030705360245,18573.116360380285,1.0426376667013864
4096,900,62476.098721961345,52757.84825268096,1.1842048300138273
512,900,63112.98022151996,53309.00486140186,1.1839084294596658
4096,100,60689.61491001155,60573.79424177784,1.001912058996526
8192,700,41779.68631250432,41694.171098573366,1.0020510112487613
1024,400,71799.10605267843,63377.543120814065,1.1328792900004134
256,700,63852.99080207954,38261.990551516115,1.6688360924690415
256,400,49154.063019644935,22632.151942540644,2.171868726599181
512,500,108407.65956928296,62904.27191045394,1.7233751584249224
256,900,84681.41428002906,47728.093563071816,1.7742467372622812
8192,500,85814.68853349677,84889.56492633495,1.0108979661748134
8192,300,33757.77776878657,23136.448596413335,1.4590734454388032
1024,800,66695.09165998265,66116.18200423285,1.0087559450379748
