P,n,Algorithm Time,Optimal Time,Makespan Ratio
4096,600,47531.27236734537,32086.250269673834,1.481359522158603
256,400,99185.50152403407,69344.18366491112,1.430336277420524
8192,800,78746.16533111021,68639.61815064191,1.1472407255863177
128,1000,336204.8376116211,125295.95783362567,2.6832855857812343
2048,600,205851.0600458415,191374.78812730435,1.075643568623613
256,900,242488.84957851243,79309.82918527524,3.0574879818746754
256,100,29900.75518204897,27744.76099020595,1.0777081551578007
4096,300,24568.46562362251,24265.13520631133,1.0125006687468316
256,200,60455.181725258524,32996.77807816611,1.8321540843183586
2048,400,62198.33057530911,49006.50439213838,1.269185210142982
8192,1000,98218.41138274841,97895.23348711745,1.0033012628308762
1024,500,136738.7258995112,103433.70181766388,1.321993929411503
256,600,172522.35811981646,107515.86756387605,1.604622294633111
8192,900,76055.59330000391,76055.59330000391,1.0
8192,700,100260.95625024504,80626.46962808013,1.2435240773003748
256,1000,247088.76980901946,66688.81108753479,3.7051008374507415
8192,900,294265.0674249581,294265.0674249581,1.0
2048,700,74926.92902253706,53921.858220267735,1.3895464936772914
1024,600,119080.01986143892,87981.12037524463,1.3534724194640357
4096,1000,63520.878967527155,57823.110280004155,1.0985379143379175
2048,200,43692.3410052272,43211.18708703341,1.0111349386728181
512,800,127921.95026206267,76745.1936743743,1.6668398910403248
128,200,75614.80973932947,55080.46923257345,1.3728062014150824
2048,800,126318.08589368098,91530.45019922058,1.3800662579364942
512,100,81620.64146335942,81541.92332472774,1.0009653701485333
1024,100,26284.211672261765,26126.125239736124,1.0060508946916171
512,900,142981.2029171091,83768.9354752691,1.706852332620618
256,800,227345.8763422893,140690.70674223357,1.6159267488706341
1024,100,34180.529247663755,26128.92828146623,1.308148917531711
1024,700,267126.36036567594,209079.4040392636,1.27763115450392
256,300,96444.1305328568,73378.01257741736,1.3143464526393864
1024,600,133682.2183503429,121589.27436436518,1.0994573250740765
8192,200,68533.56262292688,66804.37457564907,1.0258843535062168
1024,300,63439.66592937127,60661.299768006524,1.045801296246377
4096,900,118292.96784255918,83867.31024046338,1.4104776641028662
512,900,158338.53554912162,83934.36071927342,1.8864566810570007
4096,100,81541.92332472774,81541.92332472774,1.0
8192,700,48373.16196596011,48366.36010081021,1.0001406321487853
1024,400,108412.52220889713,93715.09953214714,1.1568308922481412
256,700,178165.94800692578,54206.33391376397,3.286810509826532
256,400,110618.54005497856,62094.6152682652,1.7814514121244995
512,500,229364.87255216224,150411.49619722992,1.5249158365621416
256,900,185063.25082092415,65851.69814960258,2.810303394158424
8192,500,148971.6090958684,145171.26830844925,1.0261783259986712
8192,300,59784.44301553703,49207.11959862682,1.2149551427351861
1024,800,133331.04539637864,113583.42103934956,1.1738600948653217
4096,800,126313.86420335417,91530.45019922058,1.380020134593742
4096,800,117111.83720210491,80495.74766274964,1.4548822838787023
8192,500,126547.99516819877,126547.99516819877,1.0
4096,700,266830.80921226717,209079.4040392636,1.2762175712063837
4096,800,76289.52886222344,76289.52886222344,1.0
4096,100,27023.22894614688,27021.11397775278,1.0000782709549223
8192,600,77601.06695314057,71516.09563181561,1.0850853401261173
