P,n,Algorithm Time,Optimal Time,Makespan Ratio
4096,600,5202.88644898743,4118.24998149955,1.263373149362084
256,400,30482.187577426575,23531.7252532983,1.2953656074645046
8192,800,15163.506848252062,14795.02099803586,1.024906071459116
128,1000,137202.35345644905,119404.61005167401,1.1490540725108755
2048,600,93018.95487727516,91443.0979502153,1.0172331970633564
256,900,62678.34584085543,51518.201495127876,1.2166252707168548
256,100,5311.572891143126,4679.130547151785,1.1351623635242047
4096,300,1280.231497502697,942.5154884959478,1.3583134846363867
256,200,15069.582914572095,11080.525409985707,1.3600061691110308
2048,400,17200.833873385127,16659.391108001237,1.0325007535913988
8192,1000,31787.282252479876,31785.267802615333,1.0000633768410274
1024,500,16551.327638541745,10972.920970408175,1.5083793716529486
256,600,41072.102502582806,34696.429261633115,1.1837558900621463
8192,900,42074.43654762779,42072.74163946224,1.0000402851846468
8192,700,30445.3577634223,28301.923922736623,1.0757345630119417
256,1000,68786.8011774862,58863.7101663512,1.1685773965503015
8192,900,26446.50237773516,26446.50237773516,1.0
2048,700,31840.158548476316,31784.101151865783,1.0017636929967813
1024,600,22551.87650841925,16874.141147700775,1.3364755166512345
4096,1000,26506.909208217632,25339.795717781904,1.0460585201015145
2048,200,6241.844410588902,5118.145442873633,1.2195519803525467
512,800,27251.288128417174,21229.958775728857,1.2836241660333416
128,200,32252.613381579224,28092.671302858154,1.1480792635870778
2048,800,30411.668399237806,26497.37844693629,1.1477236685938679
512,100,53770.84352572195,52844.49103612885,1.0175297835484833
1024,100,6963.8393211873345,6901.431727873591,1.0090427024093698
512,900,33295.38324364789,24134.145646769488,1.37959651569869
256,800,73840.68296214941,46337.580997070676,1.593537715462907
1024,100,18322.42660096805,16558.912626923186,1.1064993827660858
1024,700,30710.17307845104,15601.0663687365,1.9684662799712325
256,300,21937.123653210365,17275.812740351696,1.269817170567674
1024,600,72732.05628342053,70364.7320429823,1.033643619064621
8192,200,2688.4361358938577,2650.3651611722858,1.0143644261852327
1024,300,5895.760648114329,3799.3333703103463,1.5517881884717943
4096,900,16027.737888258622,12984.521812166118,1.2343725953189204
512,900,51393.68612442882,39234.60108057627,1.3099071918402174
4096,100,52844.80211395302,52844.49103612885,1.0000058866651578
8192,700,31536.146734358797,31347.334171878083,1.006023241448394
1024,400,19575.592876068993,16121.07512688779,1.2142858166710935
256,700,43778.878490318166,38261.990551516115,1.144187164841152
256,400,26948.24956059296,22632.15194254064,1.1907064617191592
512,500,23345.83091916806,16731.4559896685,1.3953257226139715
256,900,58088.1268578041,47728.093563071816,1.2170636311094574
8192,500,17616.634811177104,14826.065726985928,1.1882204716732014
8192,300,4631.559922907227,4160.156593477788,1.1133138426011404
