P,n,Algorithm Time,Optimal Time,Makespan Ratio
4096,600,41243.58468624424,25339.817846041748,1.627619619715884
256,400,76268.8750404469,48679.56019676214,1.566753576494305
8192,800,93812.93973810079,62137.90128877687,1.5097539149595474
128,1000,279720.57750845724,125295.95783362567,2.2324788632039065
2048,600,138673.94246516933,95460.11175339336,1.4526899237601179
256,900,148004.1027125926,77030.62312975689,1.9213670706425676
256,100,33839.94551961472,26193.65899088914,1.2919136471687733
4096,300,27209.71679531963,20887.76340872541,1.3026630119696474
256,200,41949.61138167409,25775.82693292296,1.6274787804418671
2048,400,44127.780947331805,34397.99854935305,1.2828589687861869
8192,1000,92144.31612289175,71441.52524391812,1.2897865185309165
1024,500,104233.4974605473,69330.81468246617,1.5034223662008699
256,600,135030.3160803934,65997.13135384436,2.04600280815884
8192,900,66124.74848172664,50985.945546331204,1.2969210980237431
8192,700,95386.76210053702,54661.38833726035,1.7450482873212334
256,1000,186590.77249764508,62174.13220982782,3.001099747849007
8192,900,260911.05137651795,200725.03795784948,1.299843079024885
2048,700,59350.04884152847,45736.33575987692,1.2976564006597668
1024,600,100866.76863545575,69645.19944005155,1.448294634036891
4096,1000,68463.88854338891,51207.743830232605,1.3369831088509787
2048,200,42635.315169183894,33208.183834406,1.2838797623437246
512,800,90818.66264221628,58281.74602729851,1.5582694210924608
128,200,75185.8853586186,36920.89002320384,2.0364050084211454
2048,800,109572.23723029277,69914.3129245496,1.5672361301546562
512,100,44363.97447457514,34744.80913128068,1.276851868920884
1024,100,22720.5680981005,17424.209760559108,1.303965483102141
512,900,104065.43665154633,65527.226447374065,1.588125154894552
256,800,156734.23879302992,88988.07431158595,1.7612948701894051
1024,100,26468.01634659819,17010.884101954263,1.5559459571861678
1024,700,191375.0335516374,122698.14519501191,1.5597223026270934
256,300,86613.15878682303,58817.967607809784,1.4725629311836785
1024,600,78410.58140181209,56839.82740281852,1.3795006949286397
8192,200,65498.754139305944,48832.439654252754,1.3412959623368264
1024,300,66926.64327241768,51334.02512144949,1.3037482082123528
4096,900,113164.20049086364,68798.33552250691,1.6448682897835913
512,900,90625.35556788462,70503.79592528375,1.285396826915882
4096,100,44327.992221370914,34460.69141352587,1.2863349632030923
8192,700,32629.193486525546,24919.342184621364,1.3093922481895293
1024,400,104358.16067269383,71121.47502380062,1.4673227831364666
256,700,114972.32811555974,46686.09352875527,2.4626675616957554
256,400,106760.08190478923,59315.77823058138,1.7998597521518656
512,500,180500.2613998046,104189.08387589059,1.7324296815472093
256,900,148544.04787876707,57244.69321120439,2.594896392067533
8192,500,126033.60706683881,87191.89492611904,1.4454738846269117
8192,300,57916.71907804813,37997.38137569971,1.5242292226771013
1024,800,98554.99736599374,76586.05734526525,1.286852996253458
4096,800,109294.34377950744,69744.6297416748,1.5670646497704517
4096,800,101886.06909916308,49156.66889863417,2.0726805005697613
8192,500,120525.17771232252,93303.02350633578,1.2917606866634734
4096,700,189329.21541514617,121247.84298185878,1.5615058442192147
4096,800,56186.3529495944,43369.83132383738,1.2955169811488907
4096,100,32182.907262395078,25235.008428580157,1.275327779401334
8192,600,61622.414966300305,37566.49697046091,1.640355634297095
8192,800,163382.01937026967,84971.24391877686,1.922791898003104
512,300,60887.63165375437,47234.241688785194,1.2890570373697963
256,100,73242.46535808172,56270.53628076332,1.301613067852002
128,600,180563.7247372411,74899.47399565695,2.4107475674356684
2048,900,204638.63473022584,156586.64072292217,1.3068716065780541
8192,1000,58838.193843388275,45312.78094590863,1.2984900201474145
4096,300,53798.404521043405,41796.45799396132,1.2871522397619461
256,500,125472.79498898392,95166.34282014595,1.3184576739080316
256,700,111886.96446314002,47967.297444383694,2.332567612191802
128,500,123479.00764902361,56182.17500713485,2.19783245546016
2048,700,64233.30985765969,48971.50074361899,1.3116467513205488
128,800,208474.0979464057,93497.3020055607,2.229733836961486
512,300,39892.57701001741,28600.5958497807,1.3948162905257546
4096,200,74950.32515450062,50831.013653404065,1.4744999119151212
4096,500,308538.5807381395,237564.50729901434,1.298757058645097
8192,1000,155731.60062917095,112393.23827909636,1.385595815314585
128,900,264665.9077544017,109443.21737422631,2.4182942909053224
4096,300,35613.66481964828,27866.80417099782,1.2779960199638876
4096,400,100014.6725830231,56915.493482307924,1.7572486235951283
128,900,269875.77498600405,109318.34627419793,2.468714394097105
1024,400,56800.023757662966,44207.66491546582,1.2848456001075002
8192,600,42145.7982026087,32734.27780938007,1.2875126938200463
128,400,131581.20340688256,81480.70461614145,1.6148756202682142
4096,700,88769.65477368321,53915.74341202593,1.6464514658603986
8192,500,75315.10598231875,54509.002824173345,1.3817003078419632
256,900,162162.59033807,64837.41435415292,2.50106504019902
8192,1000,195217.66224986743,124535.58998606945,1.5675652419658066
8192,600,41215.6914098368,25325.579367516788,1.627433308108286
4096,900,59688.407509110475,44998.63267930536,1.3264493597949003
8192,700,241368.53791435,185768.68163866145,1.299296177295567
128,300,93607.8237784249,38152.527144095155,2.4535156852096636
4096,700,134649.95404707326,86344.15596057125,1.5594564860713986
256,100,20810.75453541559,14891.07425106187,1.3975321178679634
2048,500,49265.49475783255,38078.8838745444,1.2937746526432818
512,600,73278.37401768091,50523.437090590436,1.4503837869599017
512,500,51391.78991693573,33156.78306802833,1.5499630893471883
512,400,76015.81981132942,57470.31142497088,1.3226971966311722
8192,1000,197539.95934298474,150569.03775101455,1.3119560455028125
128,600,159760.52100580483,72849.63176490327,2.193017550471306
2048,800,109048.57266628723,41519.7534269463,2.6264263071349254
8192,200,34960.43876188005,26972.824218293383,1.296135639299104
512,400,145954.91203036133,109009.50865491609,1.3389190890897487
1024,300,57382.846924299694,35788.66352580134,1.6033805476678482
1024,800,151717.3873833025,105506.57662913551,1.437989860258682
1024,100,13257.718698009245,10211.848879179503,1.2982682034239494
2048,200,52045.524248925416,40359.96560634527,1.2895334142887123
256,100,57030.79542835597,37681.884279448226,1.5134804566941646
1024,700,129401.70923523579,66874.51640802078,1.9349928221644028
4096,800,71660.69394938629,46857.31231092819,1.5293385475008003
4096,800,165956.78415078437,127268.05412448723,1.3039940407076058
8192,1000,113916.92514462728,61631.005637657836,1.848370377312514
8192,700,155273.35261675587,116555.24523591898,1.3321867437408565
8192,1000,68451.89555196918,51177.51428416821,1.337538497315115
4096,900,80266.0597815718,60367.665223331875,1.3296200786402002
512,700,164697.0191519362,123260.96281991307,1.33616528204929
1024,200,40619.73970348913,30960.64519433914,1.3119797552189276
4096,700,96945.64040654241,65060.34510421777,1.4900880136932684
2048,700,154848.75855757704,89844.51474818445,1.7235193377312572
8192,300,35321.214575256876,27325.43722463806,1.2926129702843108
8192,500,119358.06714556224,68815.17228508745,1.7344731282672041
8192,700,81360.56020012942,46993.19158217273,1.7313265488227498
256,1000,180262.01077847896,111749.61276708746,1.613088460129052
2048,100,62242.40700153288,47958.62701914873,1.2978354650703612
4096,700,127420.96771527495,86817.79328982205,1.4676826360917532
1024,800,91767.91915321941,53472.408401124616,1.7161732919306731
1024,400,336925.3278945427,257567.86842644215,1.3081031028944667
256,100,16533.700237334808,13011.59979464646,1.2706892694422935
128,900,233178.91380546015,102373.53702350879,2.2777264572964158
512,900,168777.49443597687,114159.9168451615,1.4784304254959717
4096,1000,141678.5490908753,109849.57632880178,1.2897505281841328
8192,300,63397.85310257874,34770.69707161906,1.8233126868867424
512,500,189139.0460490054,134723.51647863665,1.4039052052133565
128,800,193446.17903111273,84426.00544789649,2.291310337435046
128,100,35505.494637259806,26068.19735827815,1.3620233938417983
2048,200,44289.98256528074,20752.375075557742,2.1342127059685674
4096,500,45609.718872614394,35418.499695506645,1.287737178726423
128,400,130520.38740057766,51327.80354104017,2.5428788764790506
1024,700,231771.97933094477,145939.20363147225,1.5881406336587849
128,300,109044.25327460843,46426.00783958498,2.3487751445566296
4096,500,173053.97195711423,110169.6014202929,1.5707960247302686
256,500,86815.78032634687,40888.66155932382,2.1232238233180887
512,500,149366.93153522693,114576.28797187006,1.30364610495933
128,800,260158.82869413894,103240.3095790912,2.5199346045629034
128,400,213108.86311579755,142772.5734921948,1.4926456664833316
2048,600,97888.0189553965,51881.5556249558,1.8867595193755313
4096,100,40318.16366802799,31218.56877485844,1.2914802071419051
256,900,411636.3793308391,303266.1858379448,1.3573434776233302
2048,500,41746.282606853296,24114.557614326197,1.7311651855496732
1024,500,95951.5002044501,69563.61906013438,1.379334507043181
128,200,60153.53236044871,25374.187301930957,2.370658482365308
8192,200,128661.48015605882,99756.89480744647,1.2897502513926962
2048,800,90816.47837112324,53333.70966416959,1.7027969541772783
512,800,71589.04881574912,36819.879889469856,1.9443042462564613
512,800,204517.95660577272,117323.0806231038,1.7432030894481823
1024,600,124920.98052103767,74481.33456651334,1.6772118980961694
128,200,77589.21936190201,60040.30731987671,1.2922855132724418
2048,600,64113.58331376753,50265.19690701414,1.2755064589197092
8192,500,54776.88342364838,34006.78819154014,1.6107632133655956
512,300,50704.64225619728,24111.71881778852,2.1029045104320696
512,600,158117.0295695033,94447.6501421378,1.6741234888485532
4096,300,146804.1860072656,112569.83265804852,1.3041165873739033
2048,200,16815.021380675404,12653.47289062971,1.3288858739427538
512,800,96525.88100256844,66646.61187663602,1.4483239025149461
128,500,339683.46395136113,253115.47456998134,1.3420098653725159
4096,600,105238.5268089856,71456.619906994,1.4727610534329947
8192,400,100007.69197921145,56844.504840111076,1.7593203117963168
256,100,65529.56153452214,47410.329663996534,1.382178989240089
2048,1000,77868.09869269213,41036.23401408571,1.897544951760531
2048,500,176378.65559199493,102237.81420332319,1.725180227750427
2048,1000,263575.4944444654,186143.3911687721,1.4159809423773058
1024,600,42151.7689129681,25425.24871719152,1.6578704649786489
1024,800,211537.42125889077,163828.9339260643,1.2912091667175056
128,200,98831.31683737866,50493.626094343745,1.9573028218001096
512,100,20827.451493372686,16101.63022849706,1.2934995523938781
4096,900,125477.06241811601,97276.29608484646,1.2899037840490168
8192,900,243678.92203723005,174543.99859779057,1.3960888027937879
8192,300,45323.76227154456,29182.503094384378,1.5531142796406066
4096,1000,168467.90288300594,111109.49416957432,1.5162331908908857
128,200,69094.09325347017,31673.672766490905,2.1814361019277855
4096,200,45100.04145527794,34702.92658399461,1.2996034022121523
8192,600,168097.21852307633,88619.85145344147,1.8968348035585476
4096,800,100354.60374843932,73651.67654654282,1.3625569498750252
2048,500,58463.77717514011,34737.72064133729,1.683005565585936
128,300,107883.21953860983,45007.6355113429,2.396998160710329
128,100,37682.48329322749,21221.25277948328,1.7756955107598047
128,400,115587.37307073912,50394.41325747465,2.2936545065061327
4096,1000,64697.67037243152,48747.66573635519,1.3271952491497676
2048,800,85859.83920806488,65485.35111688879,1.3111304703063806
2048,100,28306.796382789595,22142.388512887606,1.2783985054870706
128,900,264815.76430156024,107296.26736457921,2.4680799323777927
8192,700,70644.06822309663,55097.75917161366,1.2821586446566855
1024,700,115001.0212137874,77611.39331459909,1.4817543701042555
512,700,64394.196362882176,30043.338927871162,2.1433768236440516
8192,1000,777252.4056329232,594123.6410518169,1.308233424707526
8192,1000,119005.97924597081,92756.94828493604,1.2829872203255492
1024,100,27330.255793214907,20880.261588422458,1.308903898424759
8192,1000,279906.6806870124,217060.7610016852,1.2895314629659815
4096,900,101230.70500512574,79036.30171917535,1.2808127759419912
8192,600,192056.11110806093,147931.95047990262,1.2982733647803342
8192,1000,53745.43834403386,40918.42390527257,1.3134777250574516
2048,100,50527.9911604239,36009.56108391144,1.4031826448170481
512,800,93883.58848835935,41133.52440023117,2.2824105120404354
2048,200,30437.205179759792,22527.539467295755,1.3511109468456088
2048,600,98262.48841375478,52514.09455749124,1.8711640987388487
1024,100,32386.799192452392,21207.98779051644,1.527103821086448
256,700,124076.96952759559,61572.56259002922,2.0151340842144525
128,1000,280768.70271518466,118514.74706755942,2.3690613165223415
1024,800,92498.74180972484,58330.64729665371,1.585765735451238
1024,800,89470.80405382843,69119.67131146269,1.2944332974423554
1024,1000,104413.83366627112,80146.5687229894,1.3027860746871982
8192,600,128691.83446900669,84911.06049106766,1.5156074335279868
4096,200,43033.00747223177,33587.36450215761,1.2812260833822608
1024,700,99019.54362442355,65373.77817459692,1.5146675989869707
8192,800,153524.10504172803,113903.40354683883,1.3478447549514758
128,1000,285824.8264680924,114759.30901984677,2.490646108880467
2048,1000,118163.90296678728,70808.53547371653,1.6687804962531476
1024,1000,141001.9789032145,85399.97673139501,1.6510774862000508
