P,n,Algorithm Time,Optimal Time,Makespan Ratio
4096,600,19872.76288720964,18779.00655706,1.0582435671890449
256,400,55281.13898479432,43244.960742362484,1.2783255675531524
8192,800,47464.83444430773,46379.37991347244,1.0234038172321485
128,1000,183169.55255022255,119404.61005167404,1.5340241257934122
2048,600,121752.6593684584,111680.57587899217,1.0901865289482344
256,900,94353.55463597782,51518.201495127876,1.8314605692300987
256,100,14067.826412539653,12924.548421892341,1.08845786741073
4096,300,20428.870573854347,17279.41691731119,1.182266199815337
256,200,25438.628730714136,22891.533499154106,1.1112680035898055
2048,400,33308.596290948444,21733.26502109654,1.5326089411147243
8192,1000,60232.6135653284,60202.342442558154,1.0005028230055855
1024,500,80699.13530352329,53664.96732667876,1.503758211800958
256,600,88351.93749482867,58028.72573355824,1.522555189312634
8192,900,52575.017380802,52575.017380802,1.0
8192,700,54692.88188405695,35360.41439156067,1.54672627075067
256,1000,103111.6753409806,58863.710166351215,1.7517019407982075
8192,900,149649.57060028278,149649.57060028278,1.0
2048,700,41611.35817859911,41611.35817859911,1.0
1024,600,58814.80274832599,43965.34404781527,1.337753724487199
4096,1000,34364.50278768829,33915.21825046568,1.0132472842693985
2048,200,13856.523859667745,12441.910416424595,1.1136974464448575
512,800,57274.2484073829,54149.74440156318,1.057701177361966
128,200,42711.05411604097,38939.521911435,1.0968561507556267
2048,800,88746.20712661993,71810.48771496736,1.2358390807603816
512,100,60660.174944678125,60573.79424177784,1.0014260408148696
1024,100,9730.716182553433,9640.921141579869,1.0093139482892657
512,900,56420.09279368787,46304.128599874144,1.2184678666826532
256,800,121988.15959364623,86969.02217444926,1.4026621956143515
1024,100,30219.98984132683,20829.72320776272,1.4508109176440998
1024,700,137125.44989152098,101971.47650017287,1.344743202686572
256,300,42836.16022626165,35896.699653227304,1.193317509410937
1024,600,87267.10184480566,86765.25402755744,1.00578397220031
8192,200,21053.7369850466,18018.92824454402,1.1684233767577987
1024,300,18917.72982505798,18573.116360380285,1.0185544233929862
4096,900,61673.705422389336,52757.84825268096,1.1689958454523457
512,900,61040.87437422752,53309.00486140186,1.1450387140583052
4096,100,60573.79424177784,60573.79424177784,1.0
8192,700,41694.171098573366,41694.171098573366,1.0
1024,400,71123.86497684396,63377.543120814065,1.122225026004296
256,700,64191.284311383155,38261.990551516115,1.6776775956011938
256,400,49711.33782755781,22632.151942540644,2.1964918737629024
512,500,107727.04126860046,62904.27191045394,1.7125552525582528
256,900,82000.7450930291,47728.093563071816,1.718081301208199
8192,500,84889.56492633495,84889.56492633495,1.0
8192,300,33351.02811527207,23136.448596413335,1.4414929748743817
1024,800,67124.86766600309,66116.18200423285,1.0152562599834587
4096,800,88746.2064745657,71810.48771496736,1.2358390716801726
4096,800,68760.29680779873,64362.85987349461,1.0683225845300737
