P,n,Algorithm Time,Optimal Time,Makespan Ratio
4096,600,58651.345370731986,32086.250269673834,1.827927691076013
256,400,96113.4474008547,69344.18366491112,1.3860347374669448
8192,800,120864.20893867621,68639.61815064191,1.7608520005664674
128,1000,237796.6575172195,125295.95783362567,1.8978797211716754
2048,600,249980.18273788848,191374.78812730435,1.306233622433062
256,900,147162.14319149658,79309.82918527524,1.8555347389251329
256,100,42094.49737274844,27744.76099020595,1.5172052621973577
4096,300,33988.2366690375,24265.13520631133,1.4007025462688212
256,200,54123.25390569994,32996.77807816611,1.6402587482173951
2048,400,63561.73762983936,49006.50439213838,1.2970061508822068
8192,1000,127586.58597497767,97895.23348711745,1.3032972232684594
1024,500,154270.08758720674,103433.70181766388,1.4914876377445991
256,600,178249.0165883206,107515.86756387605,1.657885674246375
8192,900,87399.43356050868,76055.59330000391,1.1491519527795755
8192,700,136750.07646549787,80626.46962808013,1.6960940631074255
256,1000,152438.26222400268,66688.81108753479,2.2858146627312697
8192,900,369753.2465390853,294265.0674249581,1.2565312280343224
2048,700,75332.11919017133,53921.858220267735,1.397060889156377
1024,600,131339.16396183148,87981.12037524463,1.4928107689656855
4096,1000,86717.78543225654,57823.110280004155,1.499708075410196
2048,200,57014.90808051025,43211.18708703341,1.319447854225208
512,800,108156.90701867273,76745.1936743743,1.4092987696086432
128,200,81456.78470606433,55080.46923257345,1.4788687504116698
2048,800,157147.2422486304,91530.45019922058,1.7168848389425773
512,100,91337.37613282901,81541.92332472774,1.1201278116667968
1024,100,31548.617655868016,26126.125239736124,1.2075505788315153
512,900,118504.46885588426,83768.9354752691,1.4146588849857122
256,800,202127.85309061903,140690.70674223357,1.4366823351093652
1024,100,42226.29721408993,26128.92828146623,1.6160745959122207
1024,700,323800.4733574295,209079.4040392636,1.5486961752417379
256,300,110522.45951652294,73378.01257741736,1.5062067727701998
1024,600,135880.4668127357,121589.27436436518,1.1175366209156268
8192,200,89206.21625356858,66804.37457564907,1.3353349510450356
1024,300,84641.85186605834,60661.299768006524,1.3953187978128263
4096,900,158071.13753426756,83867.31024046338,1.8847765247394703
512,900,116919.71643677892,83934.36071927342,1.3929898963289684
4096,100,91326.98216873797,81541.92332472774,1.1200003439340374
8192,700,48721.62171293452,48366.36010081021,1.007345221169917
1024,400,136059.1782366824,93715.09953214714,1.4518383794706418
256,700,115233.5896809238,54206.33391376397,2.1258325616384086
256,400,133222.37246277815,62094.6152682652,2.1454738367767026
512,500,286407.3217377754,150411.49619722992,1.9041584518394683
256,900,137500.7128103457,65851.69814960258,2.0880359455267214
8192,500,188582.3522382548,145171.26830844925,1.2990335789969738
8192,300,74833.45753765869,49207.11959862682,1.5207851658065146
1024,800,138025.36468956096,113583.42103934956,1.215189359737138
4096,800,157147.0655172605,91530.45019922058,1.7168829080947607
4096,800,141224.04481414912,80495.74766274964,1.754428636476933
8192,500,162685.75561557757,126547.99516819877,1.2855656496125996
4096,700,323742.38773607014,209079.4040392636,1.5484183591573355
4096,800,92301.86869496186,76289.52886222344,1.2098890905678055
4096,100,40839.01030702212,27021.11397775278,1.511374044040005
8192,600,95831.44239441841,71516.09563181561,1.3399982416236038
8192,800,229735.30169962053,111382.24810651336,2.062584528550077
512,300,80750.75121636072,64288.232254330745,1.2560735983049367
256,100,95417.24153139826,66621.99147149005,1.4322183925142906
128,600,150934.88534578378,74899.47399565695,2.01516615930488
2048,900,317552.82023489353,246837.67939689083,1.286484385247763
8192,1000,76896.49749825115,55350.7803146872,1.3892576953941667
4096,300,65907.89981089898,44478.45983108848,1.4817936605986581
256,500,163606.08313066536,126547.99516819877,1.292838206667846
256,700,130187.09553656407,88059.66488743904,1.4783964452167038
128,500,121666.92242145089,56182.17500713485,2.165578716131937
2048,700,122968.40455245884,82723.15596316708,1.486505236903814
128,800,209325.51048662778,133043.65281458962,1.573359615872431
512,300,51555.51784491893,36792.68253707005,1.4012437878911044
4096,200,110570.62787358485,87248.16939999937,1.2673117228014372
4096,500,460709.3355680239,374127.1854931126,1.2314243750044334
8192,1000,222144.26120306292,150682.91879743664,1.474249788734793
128,900,222516.99999552083,109443.21737422631,2.033173049314276
