P,n,Algorithm Time,Optimal Time,Makespan Ratio
4096,600,5024.686919354334,4118.24998149955,1.2201024566082144
256,400,29132.00060107383,23531.7252532983,1.2379883024934848
8192,800,15171.696456390306,14795.02099803586,1.0254596095811188
128,1000,145599.91500264997,119404.61005167401,1.2193826933452534
2048,600,93102.17667372343,91443.0979502153,1.0181432908628203
256,900,64672.32822558147,51518.201495127876,1.2553296960822204
256,100,5984.2990939778865,4679.130547151785,1.2789339886275592
4096,300,1191.7687067819995,942.5154884959478,1.264455302144484
256,200,13379.067194208421,11080.525409985707,1.2074397827878525
2048,400,17434.121835333874,16659.391108001237,1.046504144257742
8192,1000,31789.967604000893,31785.267802615333,1.000147860996948
1024,500,16822.24697718193,10972.920970408175,1.5330691820845375
256,600,49600.44340752315,34696.429261633115,1.4295546966376367
8192,900,42072.74163946224,42072.74163946224,1.0
8192,700,30445.3577634223,28301.923922736623,1.0757345630119417
256,1000,71781.45816084505,58863.7101663512,1.2194518143349744
8192,900,26450.778381756234,26446.50237773516,1.0001616850485557
2048,700,31819.24965288632,31784.101151865783,1.0011058516600044
1024,600,23442.76733181869,16874.141147700775,1.3892717339876548
4096,1000,26034.81338936231,25339.795717781904,1.0274279113896994
2048,200,6302.81636734331,5118.145442873633,1.2314648807253379
512,800,26535.63249249316,21229.958775728857,1.2499144615782303
128,200,33618.619299782484,28092.671302858154,1.196704255617091
2048,800,29922.166686684443,26497.37844693629,1.1292500783278105
512,100,53461.89148738414,52844.49103612885,1.011683345589102
1024,100,6979.002361637404,6901.431727873591,1.0112397886152404
512,900,34204.289522936655,24134.145646769488,1.4172571104672653
256,800,73428.7209248952,46337.580997070676,1.584647263514622
1024,100,18281.336536929208,16558.912626923186,1.1040179357674444
1024,700,30352.92197603899,15601.0663687365,1.9455671335944207
256,300,21492.996824786063,17275.812740351696,1.2441091569940528
1024,600,72443.74922014796,70364.7320429823,1.029546295662658
8192,200,2689.4372680956835,2650.3651611722858,1.0147421598713273
1024,300,4995.203104715636,3799.3333703103463,1.3147577792857925
4096,900,16058.354838097515,12984.521812166118,1.236730552761004
512,900,45733.445418798496,39234.60108057627,1.1656406375809842
4096,100,52846.65396502523,52844.49103612885,1.0000409300733903
8192,700,31581.39112052016,31347.334171878083,1.0074665662910516
1024,400,18830.055077282195,16121.07512688779,1.1680396579677363
256,700,46424.14334646416,38261.990551516115,1.2133227434667437
256,400,27980.17137826588,22632.15194254064,1.2363018527492655
512,500,23404.847929934138,16731.4559896685,1.3988530313432608
256,900,57343.53007626261,47728.093563071816,1.2014628239966083
8192,500,17618.256859836907,14826.065726985928,1.1883298768714294
8192,300,4631.559922907227,4160.156593477788,1.1133138426011404
1024,800,44355.07971672504,40846.09768688062,1.0859073994471564
4096,800,29895.891598954786,26497.37844693629,1.1282584674866747
4096,800,34972.075636829264,29394.111289795015,1.189764687628804
8192,500,9182.471213625766,9178.81822404002,1.0003979803822869
4096,700,25399.518884779132,15601.0663687365,1.6280629980318577
4096,800,13052.779350847566,12582.997544262242,1.037334649786969
4096,100,2685.399498342895,2685.399498342895,1.0
8192,600,43108.80803936572,43098.54140707002,1.0002382129872733
8192,800,39028.7422348742,34870.55437275946,1.1192463938962516
512,300,40290.81805078988,37353.09082643066,1.0786475003637586
256,100,6973.636288939658,4829.618848163767,1.4439309825848992
128,600,93567.70140845103,70900.57950763027,1.3197029143941106
2048,900,36953.56101116154,35054.15888407378,1.0541847868428165
8192,1000,8612.202114441796,7701.877971338275,1.118195087807311
4096,300,7729.820676634556,7534.510577709549,1.0259220684489874
256,500,34442.926243457965,27381.290499521965,1.2579000337496615
256,700,85855.73966433144,52807.571677195476,1.6258225276699771
128,500,66190.40280402797,53535.80791606614,1.2363762756284877
2048,700,74409.28861041779,69459.09380371566,1.0712677712250447
128,800,110730.66374960612,89245.39881899078,1.2407436709896065
512,300,10632.424856007216,8874.280036111113,1.1981168965529463
4096,200,6390.349985032625,5846.530584549667,1.0930157454268832
4096,500,31291.2289668523,31281.94741052828,1.0002967064742554
8192,1000,18419.61272884568,11706.78763223605,1.5734130751740176
128,900,124754.96678839879,103084.41806074536,1.2102213810324218
4096,300,11272.008261836758,11243.031887069747,1.0025772740892371
4096,400,18674.858264115173,16058.873985478984,1.1628996080921774
128,900,128723.00536137215,103160.92321660006,1.2477884197594966
1024,400,19518.106129237913,19518.106129237913,1.0
8192,600,6567.27199717284,6143.604662733954,1.068960709175963
128,400,56673.32300531328,46532.572763232245,1.2179279940887722
4096,700,9019.70532108938,7645.6808588148915,1.179712505353966
8192,500,12411.525318083324,12395.199388157413,1.0013171171688864
256,900,61505.15290180724,51088.94408718973,1.20388381480034
8192,1000,21191.016325819735,16650.77136654941,1.272674752377626
8192,600,4492.556048958669,4118.24998149955,1.0908895936722194
4096,900,22924.957581765746,21576.530603346437,1.0624950787134506
8192,700,12378.625714957921,12303.529098815054,1.006103664691629
128,300,52479.987417275384,32755.432020731212,1.6021766216992748
4096,700,37387.767789038255,37261.21500737222,1.0033963675537954
256,100,7514.033931270076,5731.651529726247,1.3109718712485927
2048,500,31283.697674159936,28634.316507153108,1.09252468681573
512,600,32461.829219249856,17725.14487690757,1.8313999374719545
512,500,25169.22917307369,24995.547779787677,1.0069484931803119
512,400,14979.136243009794,10699.281702643733,1.4000132587693745
8192,1000,37946.05174834697,37945.93275199021,1.000003135944965
128,600,85557.76537712592,69365.62215019029,1.2334318171597516
2048,800,12747.626177101869,9344.456009563955,1.3641913626705293
8192,200,2246.1903057130307,2246.1903057130307,1.0
512,400,14847.7898584486,9893.49469570031,1.5007629068524608
1024,300,5054.647080707982,3874.652043565825,1.30454219472472
1024,800,56843.006424415646,54042.00044115176,1.051830168394932
1024,100,9276.641708826202,8256.468069310878,1.1235605383502043
2048,200,8167.656984844173,7479.733511501313,1.0919716554453531
256,100,7455.238012699056,5741.098881538105,1.2985733509438724
1024,700,12527.906786912194,9298.972325300192,1.3472356243954908
4096,800,10864.235062543807,8113.94962465907,1.3389576673641597
4096,800,17506.64867158258,17329.60230789093,1.0102164123876654
8192,1000,25386.816101135624,24653.74296094643,1.029734760411449
8192,700,17755.333354229904,16443.27112892882,1.0797932610253418
8192,1000,25413.192840334334,25339.795717781904,1.0028965159533991
4096,900,15609.265140242978,15123.145179145105,1.0321441046382491
512,700,31242.229847208975,23042.05276203695,1.355878756543873
1024,200,9207.339459157227,7925.6844354705545,1.161709065522564
4096,700,120881.72389491388,119281.29786603454,1.0134172419106036
2048,700,8874.989068089795,8384.147776288468,1.0585439695122616
8192,300,1173.917395220079,1134.6245423979938,1.034630709414271
8192,500,29540.59515664878,28805.068012604806,1.0255346435468269
8192,700,40693.286771595005,38693.833645176644,1.0516736890108485
256,1000,85988.44736033193,55694.48421872097,1.54393111933027
2048,100,6569.831617479276,6527.528362389177,1.006480746270494
4096,700,53187.804045150835,51410.44753159222,1.034571893435987
1024,800,87874.04808048064,83688.43623733887,1.0500142197814697
1024,400,43303.818160472394,40694.6858930326,1.0641148152438868
256,100,6337.345113343877,5063.0781886625155,1.251678302644972
128,900,127602.34245387287,96720.06020199122,1.3192955234662465
512,900,35981.72970087178,27287.43887670948,1.318618792457767
4096,1000,64652.59407593199,55420.91730641427,1.166573871711237
