density,Paper,Min Time,Time opt
0.1,1079231.1765074856,1112536.5357274045,680996.5163027159
0.2,1107541.339647894,1134611.944625583,680996.5163027159
0.3,1076069.1417864677,1139230.7773891406,680996.5163027159
0.4,1062536.6758664052,1138711.1336489895,680996.5163027159
0.5,1098286.2917951704,1153095.21354299,680996.5163027159
0.6,1070322.598422738,1090079.2706674365,680996.5163027159
0.7,1068162.640270749,1097709.6733039042,680996.5163027159
0.8,1056423.6594435333,1116537.8836533467,680996.5163027159
0.9,1074042.4038745181,1081556.4424899572,680996.5163027159
1,1060982.2550377382,1081424.1971239087,680996.5163027159
0.1,1054081.060638746,1100841.133388892,665670.2079130015
0.2,1045639.5752862582,1078643.9783908313,665670.2079130015
0.3,1045673.2655565476,1060688.5166285257,665670.2079130015
0.4,1011382.4057563937,1043513.1294913488,665670.2079130015
0.5,1027392.2287033611,1073000.0632527391,665670.2079130015
0.6,1043050.153135795,1072643.5819556958,665670.2079130015
0.7,1068113.2440763968,1070809.6680691245,665670.2079130015
0.8,1019856.9185830108,1046740.8451210528,665670.2079130015
0.9,1028603.6850000198,1047346.1956463862,665670.2079130015
1,970417.9577802563,1048321.035966675,665670.2079130015
0.1,1012790.0758652859,1026821.0211362201,651307.2591571598
0.2,1058269.274683753,1010870.9818113684,651307.2591571598
0.3,1016403.641396651,1029516.7397250504,651307.2591571598
0.4,992004.6397147998,1002093.1638532724,651307.2591571598
0.5,983178.6056761427,980012.1018758313,651307.2591571598
0.6,989451.1857840627,1036560.0730043004,651307.2591571598
0.7,995933.2516357792,1019524.7232264611,651307.2591571598
0.8,998042.6047897845,995963.6669865829,651307.2591571598
0.9,975334.4347462613,975150.9750950136,651307.2591571598
1,981895.5952037941,1004439.6483179642,651307.2591571598
0.1,1144722.788768752,1199257.448480621,695185.5852770898
0.2,1139936.586669024,1147047.6290728033,695185.5852770898
0.3,1146439.7421894681,1187324.2453690188,695185.5852770898
0.4,1141761.5186232212,1162924.5679933184,695185.5852770898
0.5,1142645.8637930744,1188648.768009236,695185.5852770898
0.6,1184089.3908637047,1214765.4946816661,695185.5852770898
0.7,1143736.886662927,1166547.7200923471,695185.5852770898
0.8,1108944.0714956147,1145002.508287723,695185.5852770898
0.9,1107019.830695222,1156870.8229748346,695185.5852770898
1,1104904.8872347525,1143596.049690157,695185.5852770898
0.1,1061770.649154407,1102127.190516684,661964.7892956203
0.2,1048616.5285283956,1061811.3615341284,661964.7892956203
0.3,1050556.08322842,1091413.797154097,661964.7892956203
0.4,1071514.3881592117,1108137.5321135116,661964.7892956203
0.5,1044156.0492984448,1061783.3317084808,661964.7892956203
0.6,1039424.5310404628,1070833.6843978984,661964.7892956203
0.7,1027888.0039449935,1058335.2554529537,661964.7892956203
0.8,1017444.1938691299,1035226.7973723068,661964.7892956203
0.9,1037270.636441536,1047356.8758050712,661964.7892956203
1,1025793.8767968579,1056461.3104564163,661964.7892956203
0.1,1048690.029611409,1070329.9434713568,656762.2775112868
0.2,1044468.5356291871,1081258.091548976,656762.2775112868
0.3,1041565.1786085126,1057149.0211548733,656762.2775112868
0.4,1046653.8164307029,1036401.9763850172,656762.2775112868
0.5,1008355.5404891373,1046615.4102399783,656762.2775112868
0.6,1013510.4628828533,1031735.2977960219,656762.2775112868
0.7,1006664.2961797018,1043183.4933311224,656762.2775112868
0.8,986117.248337199,1018047.5071878402,656762.2775112868
0.9,982910.3331245102,1004588.1157314756,656762.2775112868
1,975991.6384999657,1014693.460250183,656762.2775112868
0.1,1089144.2963857513,1113120.0110067432,688682.2888688851
0.2,1096563.2827713748,1110299.2147240604,688682.2888688851
0.3,1064260.2884475666,1101901.5364951256,688682.2888688851
0.4,1069968.5861854611,1111695.8233165797,688682.2888688851
0.5,1076021.5622910764,1125719.5781853425,688682.2888688851
0.6,1029552.0074258501,1043625.7584005177,688682.2888688851
0.7,1035831.5446665445,1075279.8053797241,688682.2888688851
0.8,1059428.8997642405,1083361.44895401,688682.2888688851
0.9,1050989.1593972845,1076472.2033230925,688682.2888688851
1,1042018.6232941719,1056299.0616249766,688682.2888688851
0.1,1080573.7242832314,1096895.0791729381,682390.0572946991
0.2,1067448.8442059655,1088011.408388011,682390.0572946991
0.3,1058353.437941296,1074688.11661069,682390.0572946991
0.4,1030681.0667187852,1049980.2538115343,682390.0572946991
0.5,1060568.3979535555,1090519.783202614,682390.0572946991
0.6,1031070.7884727295,1102348.8751289041,682390.0572946991
0.7,1065886.8167383242,1081849.5467281444,682390.0572946991
0.8,1026586.2624951855,1076528.595912411,682390.0572946991
0.9,1032503.1749128655,1050045.5714053283,682390.0572946991
