Fat,Paper,Min Time,Time opt
0.1,18457461.989810407,11290316.523258448,11290316.523258448
0.2,9396873.545255067,8338830.871106506,5636686.9859526185
0.3,8114502.337506949,7648407.491564867,4671932.284888832
0.4,6782228.556550114,7421726.878987031,3793737.3664368554
0.5,4667695.95875571,6960193.994870344,2581739.504260413
0.6,2797181.850031323,6750733.54941159,1535616.4781887885
0.7,2447660.066280368,6522306.656006877,1337660.537787677
0.8,1500084.235084771,6102422.198745745,800288.529562872
0.9,1264192.5185507953,6086922.153088613,680994.575741888
1,1079613.1414972753,5568197.681097592,680994.575741888
0.1,19409512.328271396,11764797.22071265,11764797.22071265
0.2,9655379.30845567,8997771.284958845,5789667.600190528
0.3,8451237.044903852,8181605.024073559,4865695.755445727
0.4,6887552.134419357,7785286.6134425765,3869332.915852119
0.5,5615895.791244362,7694957.346649113,3142649.4933561287
0.6,3028193.608061848,7548302.484027083,1665027.7810596854
0.7,2625525.031952257,6978369.097048953,1363453.843796614
0.8,1680295.7132048034,6642586.487231898,745314.4604738071
0.9,1517484.4096365403,6309069.664607263,674071.605301415
1,1623563.032306598,6108473.8421118,670916.7688598617
0.1,18594077.111772064,11317819.131732143,11317819.131732143
0.2,8953126.629510645,8493483.400781574,5376623.390457623
0.3,8551429.407516148,8125280.197844166,4879308.275154981
0.4,7733515.452752895,7441915.5062403735,4298764.367092779
0.5,4825325.622061844,7803864.82730865,2612834.0297466796
0.6,4089433.6159384,7493777.240977255,2249821.3440790256
0.7,2599419.034803724,6737784.395829315,1430042.7241591983
0.8,1611630.6145675082,6655406.88305348,870756.9496513397
0.9,1460101.7967183304,6602312.105514075,690075.3041228554
1,1336860.9227965183,6122240.756852582,651305.3816708077
0.1,21861017.651776478,13130145.165828705,13130145.165828705
0.2,11596350.950397799,10294376.012573186,6779340.2726295395
0.3,10558900.01119658,9809742.256833702,6001154.586765936
0.4,8742527.548504967,9020553.79069982,4847649.440944121
0.5,6053307.548440467,8818291.512495568,3341941.194925884
0.6,4568564.9579263795,8253524.330351704,2498130.7884007962
0.7,2496007.7756795594,7611447.8305928,1333315.4629840802
0.8,1543567.7901907032,7099792.49180667,827674.7807781283
0.9,1326546.659226194,7139155.40610767,695183.7690020413
1,1100569.1870202704,6662664.980985133,695183.7690020413
0.1,19586705.42273104,11835342.197187247,11835342.197187247
0.2,10537244.044664124,9140188.56332629,6216614.941602578
0.3,8684532.687756408,8894149.431940945,4964801.201884946
0.4,7624112.07251261,8626950.727347363,4262944.914268235
0.5,5285660.993114462,8065091.029601531,2923921.690556501
0.6,3679012.0751760053,7683245.229520883,2012020.106074844
0.7,2852279.863149731,8078275.212785954,1548299.139498753
0.8,2045547.938669195,7453840.089080645,1087991.8186209113
0.9,1701853.2186156006,7301166.326196212,823759.0768715963
1,1067688.5972691127,6598482.999225336,661962.9561917708
0.1,17668257.500806447,10746879.251895301,10746879.251895301
0.2,9427086.045480149,8079965.128938432,5591846.030681451
0.3,8581929.322769897,7876543.684436991,4894496.805880016
0.4,7494534.224487068,7817685.712600404,4172390.893630789
0.5,5528531.859383378,7384862.52711765,3016541.343298261
0.6,4080123.3781696535,7050329.266724702,2179235.9639629223
0.7,3312352.681784608,7141389.8999739485,1702121.2537081244
0.8,2508209.0621658806,6802332.454080772,1351866.0629643027
0.9,1506686.4904930328,6679493.709038339,656760.4495093515
1,1553608.3824346329,6425796.991573607,656760.4495093515
0.1,19936479.749278195,12020804.872765739,12020804.872765739
0.2,9192272.903078392,9694194.761783857,5465562.102200994
0.3,7979202.607530931,9102465.133538028,4560239.529311659
0.4,7957197.2318338705,8689854.016831923,4424365.9212454995
0.5,5923998.44707001,7980247.733295065,3251757.05439846
0.6,4223801.304905103,8351768.858267732,2317200.3957648203
0.7,2974559.2909120396,7710837.389188745,1620427.0550207433
0.8,1554534.8355373074,7489007.367493394,851678.6710617981
0.9,1329198.1739189455,7603152.970811322,688680.4760887198
1,1371038.316202178,7379211.062931685,688680.4760887198
0.1,21591305.953151476,12907630.429595362,12907630.429595362
0.2,11096216.029439384,9892739.110537063,6497735.980462958
0.3,9585964.329182198,9739414.713253971,5430390.392337964
0.4,7179287.805213781,9554382.952682134,4001413.7347469446
0.5,5765555.213240956,8935188.351055514,3173489.4613413615
0.6,4696054.503236873,8773262.727777284,2570359.596677721
0.7,2629275.106709635,8136569.83446635,1430838.0208448863
0.8,1425983.2895884928,8055114.913640594,763142.4443630157
0.9,1409467.248208288,7897724.26798909,682388.2379183229
1,1112559.4558956309,7694152.4211779535,682388.2379183229
0.1,19781115.17663011,11987611.682141874,11987611.682141874
0.2,8382020.865126891,8831607.64607876,5072225.9946331205
0.3,8222309.690260697,8357896.035388496,4754077.200063029
0.4,6648596.725669174,7497819.187746919,3718352.924329575
0.5,4744074.082326807,7536829.8947061775,2637991.099899391
0.6,3370029.572765403,7626500.83380674,1847502.4042240728
0.7,3084123.053476542,7364097.5258012945,1638575.7260117773
0.8,2223468.139020173,6745999.4009350035,1166984.196059994
0.9,1375195.6316257557,6485678.707261919,654464.7830271883
1,1031312.6657153141,6347011.146294601,654464.7830271883
0.1,22058447.29345151,13276983.954452658,13276983.954452658
0.2,12200329.24087778,10203468.609792206,7127408.337199495
0.3,11275500.01614438,9425548.40612902,6388614.857020573
0.4,7750415.326908443,9197654.598874757,4341506.163460603
0.5,6217946.971818458,8337610.932668151,3411381.123836032
0.6,3698942.7178908023,8360816.715945004,1997329.4224319605
0.7,3390054.553276375,8438396.423851162,1845635.839972363
0.8,2068561.3409272414,8060688.999624578,1092411.9082908249
0.9,1604123.3020531833,7542479.532669812,694243.5007374336
1,1070407.666535808,7084273.662825307,671094.6253296196
