jump,Paper,Min Time,Time opt
1,1176160.4448590013,1264458.6030373122,680996.5163027159
2,1062523.664128244,1207806.4269104218,680996.5163027159
3,1140458.447685043,1241760.2139648765,680996.5163027159
4,1124862.6811252427,1241879.4941981002,680996.5163027159
5,1167806.8563418305,1261765.956525749,680996.5163027159
6,1069489.127381678,1206800.8834491863,680996.5163027159
7,1113734.3069090815,1195668.9614672072,680996.5163027159
8,1080699.4528300571,1197772.7225256336,680996.5163027159
9,1088413.9500259082,1238311.997764643,680996.5163027159
10,1065875.669188052,1246703.040555212,680996.5163027159
1,1099156.9238107428,1217430.128176031,665670.2079130015
2,1075654.9125063936,1173602.400026504,665670.2079130015
3,1121153.6758822775,1187409.1386274497,665670.2079130015
4,1067975.4579301209,1211991.5776564314,665670.2079130015
5,1060350.3431553158,1208558.5354140755,665670.2079130015
6,1052560.28827397,1188403.096927588,665670.2079130015
7,1120021.410054655,1195119.2420365252,665670.2079130015
8,1101861.4247266839,1194078.6665742581,665670.2079130015
9,1039169.5955297095,1180853.0226500025,665670.2079130015
10,1045087.07528926,1153912.2712853216,665670.2079130015
1,1031332.3771287524,1133060.4731843248,651307.2591571598
2,1048629.154236047,1164207.1827656592,651307.2591571598
3,1069518.3215803315,1166950.0104567127,651307.2591571598
4,1026518.5595818963,1148426.5586596907,651307.2591571598
5,1016456.8002091416,1171934.6053046572,651307.2591571598
6,1011431.6726909938,1151927.477412804,651307.2591571598
7,1012400.0339119177,1152054.8393391643,651307.2591571598
8,1035887.2156743819,1166092.4220318343,651307.2591571598
9,987995.8812729683,1128765.7557703801,651307.2591571598
10,1027147.4992222057,1170630.0937704388,651307.2591571598
1,1137501.6040170738,1290489.8426507134,695185.5852770898
2,1143464.2826195415,1294651.9223327395,695185.5852770898
3,1131625.5386233018,1292384.6181511027,695185.5852770898
4,1110402.611228993,1303121.0212401873,695185.5852770898
5,1081346.8218428257,1299141.5962997237,695185.5852770898
6,1073182.2822649614,1274413.6521990362,695185.5852770898
7,1157951.2099692905,1261087.46566208,695185.5852770898
8,1076114.4069087787,1298956.6811099814,695185.5852770898
9,1081307.5379171069,1307644.187955066,695185.5852770898
10,1107467.1434895769,1254131.6129430844,695185.5852770898
1,1100870.1989710294,1224335.0490404284,661964.7892956203
2,1100923.2602824843,1225521.0575377704,661964.7892956203
3,1040070.3876879279,1190805.946404898,661964.7892956203
4,1080720.5316907612,1173013.8736017337,661964.7892956203
5,1049933.8173815073,1203500.2164752074,661964.7892956203
6,1042090.3819098735,1222263.5513861622,661964.7892956203
7,1093275.2712467024,1216999.3167893642,661964.7892956203
8,1067062.6267152538,1180252.8488144826,661964.7892956203
9,1067875.734274133,1175661.49433723,661964.7892956203
10,1052658.7988677868,1202239.825924782,661964.7892956203
1,1036324.0055946478,1159012.9035981684,656762.2775112868
2,1049134.4944873352,1176257.2901530364,656762.2775112868
3,1041097.5041056545,1163913.175691413,656762.2775112868
4,1016491.3638596794,1135564.016797975,656762.2775112868
5,1031817.100262264,1179364.1396845432,656762.2775112868
6,1015185.2579673615,1153016.5346536376,656762.2775112868
7,1043953.1274495345,1180872.8194038826,656762.2775112868
8,1063622.9117484975,1141962.7106973547,656762.2775112868
9,1056932.810780986,1163857.7785465298,656762.2775112868
10,1000168.0812429716,1151069.3464546504,656762.2775112868
1,1088078.2158086882,1220158.787254484,688682.2888688851
2,1110744.9901274156,1243705.8748676039,688682.2888688851
3,1108040.6256049422,1240198.028508325,688682.2888688851
4,1084291.3082512738,1183293.2207387302,688682.2888688851
5,1088110.0183213756,1231278.9404040955,688682.2888688851
6,1100225.2446868485,1246209.8470707121,688682.2888688851
7,1070231.0648599688,1261106.4633029369,688682.2888688851
8,1017767.5261962361,1183824.8131321638,688682.2888688851
9,1024591.1560922875,1221066.050748416,688682.2888688851
10,1114947.4865127385,1211423.3780069228,688682.2888688851
1,1066854.405882436,1217080.0234810947,682390.0572946991
2,1109677.4310309475,1221926.7328945885,682390.0572946991
3,1059994.1231017902,1177658.486245328,682390.0572946991
4,1071078.0214887676,1217652.1591495015,682390.0572946991
5,1069879.0884266326,1211535.3628146206,682390.0572946991
6,1089768.4161746236,1201886.7465711762,682390.0572946991
7,1109856.0331983755,1222913.6336681228,682390.0572946991
8,1079541.544475742,1185508.51435602,682390.0572946991
9,1093601.0812597547,1198049.9254793318,682390.0572946991
10,1032718.0602546779,1193091.3201706007,682390.0572946991
1,1093597.8786344875,1225553.0282163457,654466.7297662625
2,1061845.3749057243,1201007.5886843598,654466.7297662625
3,1023941.4475065632,1173419.2478773608,654466.7297662625
4,1065681.9896249494,1167750.264084033,654466.7297662625
5,1058740.5786083043,1155727.9769116242,654466.7297662625
6,1072824.4282805182,1209099.8914002837,654466.7297662625
7,1029003.7590124685,1155330.4651588437,654466.7297662625
8,1046911.6683820356,1198227.0985649878,654466.7297662625
9,1028892.5021887016,1165247.2930004005,654466.7297662625
10,988277.8780242315,1180900.3679007841,654466.7297662625
1,1108088.277133408,1326454.0911330048,671096.4806446494
2,1164740.1093608488,1325870.049238419,671096.4806446494
3,1163866.649710311,1362914.1440909565,671096.4806446494
4,1153680.6578678768,1304536.314780745,671096.4806446494
5,1103110.3495000345,1288977.3915142936,671096.4806446494
6,1127100.6075723597,1283539.2680780976,671096.4806446494
7,1084753.0319338604,1276848.5593175627,671096.4806446494
8,1108969.48770714,1241221.3464404417,671096.4806446494
9,1133320.3993615317,1244702.8471663452,671096.4806446494
10,1058413.7552911646,1268317.1843697117,671096.4806446494
