p,Paper,Min Time,Time opt
500,2341623.2348172395,2341070.85044916,2042989.5489081475
1000,1433301.9139022743,1450680.5373100042,1021494.7744540737
1500,1111909.0625763186,1158519.7808265677,680996.5163027159
2000,891866.7237472238,955873.2658985272,510747.3872270369
2500,746135.8164613936,820360.5045781826,408597.9097816295
3000,561938.9932447737,653855.3115630958,340498.25815135794
3500,496993.6328821728,535381.4259154298,291855.64984402107
4000,411975.74033321976,462397.59547049267,255373.69361351844
4500,374524.739247496,418649.9043528141,226998.83876757196
5000,350906.50117707136,374172.71779412543,221812.46700676376
500,2260410.177827682,2228986.667509947,1997010.6237390046
1000,1359342.5451966107,1362169.9778757065,998505.3118695023
1500,1046284.9102599854,1072699.719555652,665670.2079130015
2000,847220.6115886173,924606.3191967172,499252.65593475115
2500,665492.2507318188,771662.1698615203,399402.12474780093
3000,566072.473552351,638864.6492435085,332835.10395650077
3500,456420.7215477376,530186.4088707697,285287.2319627149
4000,395151.5510806456,432901.53667640284,249626.32796737558
4500,337569.2498364722,383101.0725134186,221890.06930433385
5000,317283.5848093685,356316.7107216294,199701.06237390047
500,2180768.7948913993,2178158.358052694,1953921.7774714797
1000,1310926.8560907808,1317375.743296454,976960.8887357399
1500,1003067.2503976335,1000907.8551558251,651307.2591571598
2000,773316.657362751,876783.1341731986,488480.44436786993
2500,660992.3704873706,738937.0161546887,390784.35549429595
3000,523013.10821427783,594791.4315636368,325653.6295785799
3500,453287.75283920206,504290.1273122412,279131.6824959257
4000,382416.24726096576,428179.5492354269,244240.22218393497
4500,348675.8262822844,393818.4872074542,217102.4197190533
5000,302498.943128347,337382.54287003336,195392.17774714797
500,2435112.5993600776,2434924.1060256427,2085556.7558312695
1000,1492481.6624997975,1504793.9067946654,1042778.3779156348
1500,1143931.434471606,1193013.6609278705,695185.5852770898
2000,873408.6847951947,961641.1798695992,521389.1889578174
2500,717548.8667773871,827212.3582256568,417111.3511662539
3000,589211.94999418,708256.2761241071,347592.7926385449
3500,494060.4535411426,548719.8336536902,297936.67940446705
4000,414337.9831477973,469851.51410021033,260694.5944789087
4500,376107.4960744484,409362.6444764154,252545.61008664544
5000,352871.62477141275,370835.35397773515,252545.61008664544
500,2271402.4657055587,2271902.3348971,1985894.3678868609
1000,1369041.5249463245,1380766.314231356,992947.1839434304
1500,1042198.0846320542,1094515.5614554714,661964.7892956203
2000,842323.9997624666,899787.1310906062,496473.5919717152
2500,657736.7802545622,728820.2101654044,397178.8735773722
3000,554366.34971686,601911.8453711487,330982.39464781014
3500,480815.30263722467,500040.97100721125,283699.1954124087
4000,398831.43639486504,419535.68291728443,248236.7959858576
4500,348464.4729488189,366181.81486800424,220654.92976520676
5000,322200.3953304612,341929.24907430395,212955.21186231365
500,2227119.610218543,2223584.1664299867,1970286.83253386
1000,1319573.8638509393,1329188.2060791382,985143.41626693
1500,980762.1536032489,1018311.9610491988,656762.2775112868
2000,794728.0927612096,843248.0527469567,492571.708133465
2500,666693.0228601784,718632.6189189026,394057.36650677206
3000,535289.7515749424,598684.731052474,328381.1387556434
3500,444693.1913241955,501756.3647463043,281469.54750483716
4000,382744.98840147385,429903.07360936917,246285.8540667325
4500,332666.3438812414,361450.29865635175,218920.7591704289
5000,297969.72872582974,334303.841954257,197028.68325338603
500,2338525.2698251195,2340468.286560837,2066046.8666066553
1000,1432488.837292687,1425609.9047583004,1033023.4333033276
1500,1076854.7964872653,1135426.7020886322,688682.2888688851
2000,875043.6790934178,917883.7501236635,516511.7166516638
2500,676063.7040813712,802073.7233765619,413209.37332133105
3000,600894.1752381785,644911.2856238667,344341.14443444257
3500,478208.1631328521,513188.2058904226,295149.55237237934
4000,393068.80360637873,436036.56027424464,258255.8583258319
4500,346181.21590335533,383087.3620271206,229560.76295629505
5000,321016.3934223786,341701.9143026425,206604.68666066552
500,2306356.5421285923,2308065.2712219427,2047170.1718840974
1000,1411658.2861713176,1405953.2018996014,1023585.0859420487
1500,1072355.7085307674,1106386.739949453,682390.0572946991
2000,863325.7597801507,936858.7381749224,511792.54297102435
2500,714972.8703139145,792117.564826974,409434.03437681944
3000,596902.2485206746,643975.0563937322,341195.02864734957
3500,468731.6088042411,536619.1113948801,292452.8816977282
4000,390936.1584861908,443797.67856796103,255896.27148551217
4500,359274.45068923465,396947.50648603396,227463.35243156637
5000,307751.0145184833,348340.5923982862,204717.01718840972
500,2253089.252983105,2249803.8656688,1963400.1892987874
1000,1379639.8785471476,1409429.5932294426,981700.0946493937
1500,1086506.8888311093,1092052.4443059983,654466.7297662625
2000,826848.777626214,922939.220870883,490850.04732469685
2500,672506.1263129247,748378.1631633013,392680.0378597575
3000,563092.3791923672,642993.2263503948,327233.36488313123
3500,460938.2260225143,528965.446580619,280485.7413283982
4000,411457.6035224752,440104.4609257683,245425.02366234842
4500,357036.6711558,389579.46827545465,224951.05203896388
5000,321246.38111960934,367027.9748392956,224951.05203896388
500,2394257.193251029,2370070.0851933686,2013289.441933948
1000,1452268.4363591361,1504891.1782184227,1006644.720966974
1500,1124283.0770717964,1158676.2176017137,671096.4806446494
2000,931765.5960362495,954885.6762335965,503322.360483487
2500,704718.5317236643,805245.814580229,402657.8883867896
3000,568113.0757509514,637498.2720770965,335548.2403223247
3500,466993.7019709596,486039.93162450515,287612.77741913544
4000,427477.37546404434,430236.5013182018,283862.0036038513
4500,376687.435740285,394046.67779123224,283862.0036038513
5000,337154.5202553864,354253.60418325017,283862.0036038513
