p,Paper,Min Time,Time opt
500,2666852.9831187325,2228815.5572393946,2042983.7272256636
1000,1323571.8832070143,1313102.740197151,1021491.8636128318
1500,847160.8836204344,970760.3306455878,680994.5757418879
2000,643229.3566741933,830830.7420710737,510745.9318064159
2500,511906.7488492336,713337.3923714759,408596.74544513266
3000,443791.0871248013,639684.0160128035,340497.2878709439
3500,387013.41379066365,549956.8604919569,291854.8181750948
4000,350388.0285582775,417799.75530494173,255372.96590320792
4500,311138.22253462835,340161.010154547,226998.1919139626
5000,292123.35668965266,309430.97711406066,215201.72169135115
500,2653476.906231517,2149453.813913847,1997005.0680836043
1000,1306324.5247468336,1208057.2723226382,998502.5340418022
1500,849590.9310552471,919418.39907381,665668.3560278681
2000,635603.0003967123,758469.4803145166,499251.2670209011
2500,500624.02050317696,644245.7840485853,399401.01361672085
3000,414367.54928642284,572814.5696076555,332834.17801393406
3500,376138.4236304879,498067.0199715936,285286.43829765776
4000,322081.36846898927,407759.97439527605,249625.63351045054
4500,292743.5176325267,312394.9505059514,221889.45200928938
5000,269147.37907274225,284313.27556045447,199700.50680836043
500,2583977.6234668484,2103397.287215624,1953916.1450124227
1000,1260276.5353154487,1183938.5775676575,976958.0725062113
1500,843061.0268828106,886515.2323896736,651305.3816708076
2000,613460.5842443013,725674.0124014659,488479.0362531057
2500,486806.78061732743,654972.2990813291,390783.2290024846
3000,400555.0084178029,591957.0083490299,325652.6908354038
3500,354273.5569227766,474284.5029176849,279130.8778589175
4000,309509.4714622848,397317.438356212,244239.51812655284
4500,280696.97335383383,301936.1872652442,217101.7938902692
5000,257660.23830241093,276772.0137219585,195391.6145012423
500,2737628.3011638215,2306514.9702049643,2085551.3070061237
1000,1316196.1263926213,1353130.8176239314,1042775.6535030619
1500,848226.1621624337,1071457.630642286,695183.7690020413
2000,652359.8949814867,934224.6718285598,521387.8267515309
2500,512901.64389598626,804631.2513246295,417110.26140122476
3000,437765.91742638394,673326.2767255106,347591.88450102066
3500,386348.3973717113,603920.6745045036,297935.9010008748
4000,351616.6021890049,436025.6312472477,260693.91337576546
4500,326769.99321993487,351052.0403230202,245442.5501918573
5000,310809.73153200094,331892.9261270311,245442.5501918573
500,2628906.6790775475,2175884.818879705,1985888.8685753127
1000,1273163.0065684258,1250391.2400022855,992944.4342876563
1500,832785.2478164935,970458.5817152379,661962.9561917708
2000,625658.1960992905,816515.7267661798,496472.21714382817
2500,496571.45648345986,692095.063794917,397177.77371506253
3000,408895.657586469,583957.0790059641,330981.4780958854
3500,366782.90333157143,501494.26842162013,283698.4097964732
4000,320714.46119312255,419705.5226875598,248236.10857191408
4500,297631.5876414656,325609.7162003143,220654.31873059028
5000,279568.9025079582,299812.6729800999,206437.73366141034
500,2587130.2211327343,2137915.1514860936,1970281.3485280545
1000,1264878.4883131753,1219198.5501118023,985140.6742640273
1500,836157.8930993013,937089.8856180713,656760.4495093515
2000,606914.7910283612,766061.5452457579,492570.33713201364
2500,484895.1134610968,695709.6680635371,394056.2697056109
3000,402554.26829012483,605321.3545608708,328380.22475467576
3500,340416.00518888165,467823.4466340377,281468.76407543634
4000,298444.87183076335,380341.08616217424,246285.16856600682
4500,283613.4796083511,298427.17448803416,218920.1498364505
5000,249047.9587335131,265728.04256505484,197028.13485280544
500,2721412.1684935493,2220535.398759541,2066041.4282661593
1000,1333441.440077286,1298543.2584762587,1033020.7141330796
1500,866803.6141915591,980337.2082180367,688680.4760887198
2000,644935.169181953,842974.4499228303,516510.3570665398
2500,511861.0742543825,712631.616934196,413208.28565323184
3000,429129.5436395869,652348.5749630631,344340.2380443599
3500,374103.3817947118,515861.22314740176,295148.7754665942
4000,324588.8581123614,415417.44463120244,258255.1785332699
4500,291305.15990102483,325913.42278281227,229560.15869623993
5000,274335.3768992511,293405.3390142008,206604.14282661592
500,2694742.141141759,2223974.9925631178,2047164.713754969
1000,1318351.201292358,1262436.4079658836,1023582.3568774845
1500,862267.5881318024,950420.3672882445,682388.2379183229
2000,646678.309700735,795027.2763332436,511791.17843874224
2500,512471.16531163966,700458.8671621626,409432.94275099377
3000,428643.1098110628,578476.1249687491,341194.11895916145
3500,375210.6241567662,508709.7218926724,292452.10196499556
4000,337212.36873123306,392538.8898458011,255895.58921937112
4500,297775.2281689927,330131.6056367994,227462.7459727743
5000,270107.989688304,296344.5836780106,204716.47137549688
500,2583785.509876717,2144244.981232098,1963394.3490815647
1000,1252753.4886108646,1272235.6646267546,981697.1745407823
1500,844463.8207504884,940036.143140647,654464.7830271883
2000,615165.9606499205,804138.8749095568,490848.5872703912
2500,491899.41969103005,654004.3512428408,392678.8698163129
3000,420443.01604622276,603801.6359351256,327232.39151359414
3500,366873.4369330036,546475.659598142,280484.9070116521
4000,322108.0371920526,448814.4237328425,245424.2936351956
4500,303192.21466051467,326467.2828749052,218154.9276757294
5000,273115.04759242333,289992.61600346834,216639.9346013367
500,2641917.790068476,2285825.3935404904,2013283.8759888585
1000,1304597.9538991265,1404886.9388704537,1006641.9379944293
1500,837601.3591455886,1120822.5323721115,671094.6253296195
2000,636037.7053386674,906333.2396861443,503320.96899721463
2500,513670.651641058,767808.625206299,402656.77519777167
3000,415856.30690830154,687387.7834124119,335547.31266480975
3500,384868.2931944181,621582.1714233663,287611.9822841226
4000,358257.29422913777,451574.8692969197,277146.0662574373
4500,318994.88823324646,345552.3391668878,277146.0662574373
5000,324225.7832889266,336488.7513590121,277146.0662574373
