regular,Paper,Min Time,Time opt
0.1,944720.3055866825,1577564.7343539526,680994.575741888
0.2,940716.5096066316,1581271.9489523217,680994.575741888
0.3,952829.2296756211,1632984.963654406,680994.575741888
0.4,944922.8055277393,1579275.27207866,680994.575741888
0.5,962963.2434750652,1614319.3009270937,680994.575741888
0.6,953386.2458285015,1581445.189658391,680994.575741888
0.7,975806.8173931786,1621113.5743706664,680994.575741888
0.8,955680.2850008053,1610734.0339227235,680994.575741888
0.9,949187.7820565556,1595969.52131003,680994.575741888
1,957399.9217565876,1600158.578460572,680994.575741888
0.1,930303.1950277901,1556860.3047136855,665668.3560278681
0.2,933624.8976270673,1580039.7241274794,665668.3560278681
0.3,938881.3699972652,1636853.9827268482,665668.3560278681
0.4,953601.5303326573,1598564.5983814013,665668.3560278681
0.5,952143.2710388793,1677378.9926105519,665668.3560278681
0.6,941198.1917390511,1605254.7485270689,665668.3560278681
0.7,946964.4743906214,1608482.5214304824,665668.3560278681
0.8,944702.817746883,1598488.9945067915,665668.3560278681
0.9,937192.1574785714,1600904.6942735135,665668.3560278681
1,942155.5002708128,1634766.178034534,665668.3560278681
0.1,922815.0400040257,1552996.049397634,651305.3816708077
0.2,907937.9817515515,1499405.0279875249,651305.3816708077
0.3,929107.5376121245,1507199.3605756206,651305.3816708077
0.4,928550.5273603104,1538804.5418642373,651305.3816708077
0.5,920274.0237265596,1553689.6936139753,651305.3816708077
0.6,920251.6548170783,1526971.4239181748,651305.3816708077
0.7,908087.828247992,1531735.6955334153,651305.3816708077
0.8,924433.5408275805,1532945.5440840484,651305.3816708077
0.9,931661.0398462537,1492315.5568613864,651305.3816708077
1,923775.0002582724,1546779.9519085495,651305.3816708077
0.1,959675.1170209293,1561682.5103109097,695183.7690020413
0.2,983984.6986387217,1565006.3424979928,695183.7690020413
0.3,968095.5296578048,1628724.7945017815,695183.7690020413
0.4,980756.6697884519,1627084.4618078368,695183.7690020413
0.5,960991.4269970972,1626350.1227354251,695183.7690020413
0.6,964155.0109490082,1630015.1828325042,695183.7690020413
0.7,951277.3560954456,1608614.2176069855,695183.7690020413
0.8,960822.2740619174,1605065.0313899827,695183.7690020413
0.9,954378.2921026839,1612765.8697657466,695183.7690020413
1,964450.6315957669,1623985.2004185305,695183.7690020413
0.1,929275.912426358,1554750.3683016235,661962.9561917708
0.2,931284.9969108012,1559232.3980453792,661962.9561917708
0.3,939732.5326011326,1577749.1340256548,661962.9561917708
0.4,937097.2781143447,1571135.426605235,661962.9561917708
0.5,915642.6089706304,1563104.2849121105,661962.9561917708
0.6,927637.4776158239,1618619.0135559225,661962.9561917708
0.7,935292.9089371209,1597159.2491692912,661962.9561917708
0.8,942489.7967813386,1586047.1674228795,661962.9561917708
0.9,937807.4157761174,1556277.643696691,661962.9561917708
1,925148.7888515284,1615163.1188482346,661962.9561917708
0.1,945009.6922454016,1577088.4246335141,656760.4495093515
0.2,941969.5126870803,1569466.3869815366,656760.4495093515
0.3,926592.5743449042,1566411.9574200301,656760.4495093515
0.4,920140.2445053216,1568689.4726720294,656760.4495093515
0.5,922688.5138282214,1540513.225905333,656760.4495093515
0.6,938791.1776313387,1550726.7023284372,656760.4495093515
0.7,925873.8795147561,1563604.3651318965,656760.4495093515
0.8,940684.3024566427,1561755.0727193998,656760.4495093515
0.9,930777.8790670427,1536422.896971404,656760.4495093515
1,915323.76648099,1539457.8715188452,656760.4495093515
0.1,952666.0458020929,1600073.1321469,688680.4760887198
0.2,957489.7936118394,1630769.1881047213,688680.4760887198
0.3,963384.4445422178,1597834.5703556142,688680.4760887198
0.4,962651.03121891,1610839.133538005,688680.4760887198
0.5,971072.8848421583,1631883.2673980785,688680.4760887198
0.6,971956.247046299,1665220.6120415868,688680.4760887198
0.7,962702.3523516242,1640831.1028228176,688680.4760887198
0.8,963119.0089675623,1638895.3777956893,688680.4760887198
0.9,978468.4976419336,1647279.5164282925,688680.4760887198
1,968279.7968412695,1659512.9131993887,688680.4760887198
0.1,948745.5205848279,1648704.1358497029,682388.2379183229
0.2,961902.1335037258,1624785.6938615488,682388.2379183229
0.3,966255.3804237796,1660276.556962616,682388.2379183229
0.4,963818.7090857839,1646806.7170687157,682388.2379183229
0.5,964988.9004843634,1663051.4452355162,682388.2379183229
0.6,952922.4162743308,1659297.891749481,682388.2379183229
0.7,954777.5935154848,1661029.7362854362,682388.2379183229
0.8,957642.4297581576,1666923.1663355115,682388.2379183229
0.9,947294.9432362859,1622807.2365544946,682388.2379183229
1,964497.6543028358,1640244.041655968,682388.2379183229
0.1,919954.9095209553,1567579.1689874663,654464.7830271883
0.2,923817.814253157,1518166.2146320334,654464.7830271883
0.3,915958.1086408567,1537441.103486689,654464.7830271883
0.4,908339.4126506216,1533948.8181809809,654464.7830271883
0.5,920432.8588997405,1549778.5566644638,654464.7830271883
0.6,924052.8860272982,1570884.688670551,654464.7830271883
0.7,923445.120758934,1553069.135717845,654464.7830271883
0.8,913859.5835752903,1548770.1209418965,654464.7830271883
0.9,919726.7283594237,1567190.6503500503,654464.7830271883
1,934143.7640216851,1530388.58937112,654464.7830271883
0.1,949382.3197833643,1549827.089121896,671094.6253296196
0.2,937249.2226173184,1564550.7120290897,671094.6253296196
0.3,956265.4695822306,1572219.956158992,671094.6253296196
0.4,941277.2858912775,1585230.1513195557,671094.6253296196
0.5,929693.6562909908,1565141.5702098773,671094.6253296196
0.6,930824.0413911897,1562535.4922715093,671094.6253296196
0.7,931762.3770176071,1577683.6922297743,671094.6253296196
0.8,949595.0339973543,1549179.861217662,671094.6253296196
0.9,928589.4364097557,1551701.5824476404,671094.6253296196
1,934244.4343564084,1615675.7390955025,671094.6253296196
