regular,Paper,Min Time,Time opt
0.1,3010610.2712288317,3629694.404681634,680994.575741888
0.2,2987174.144902848,3698022.261631775,680994.575741888
0.3,3011099.45471182,3697395.936117694,680994.575741888
0.4,3015605.993136617,3597175.5809410173,680994.575741888
0.5,3010515.4496682202,3587672.7946661594,680994.575741888
0.6,2992198.9606525446,3616243.2476852257,680994.575741888
0.7,3025109.061525552,3832505.039428717,680994.575741888
0.8,3010252.457540041,3680302.536479786,680994.575741888
0.9,3016389.791123953,3659534.7349766144,680994.575741888
1,2982148.242928308,3725991.5067314277,680994.575741888
0.1,3023752.24549471,3496487.0303973057,665668.3560278681
0.2,3029279.234268223,3348778.4055275535,665668.3560278681
0.3,3015382.0199615043,3532493.95901124,665668.3560278681
0.4,2994460.0756693627,3520330.3314401354,665668.3560278681
0.5,2994587.8330945927,3472968.0679066163,665668.3560278681
0.6,3023361.0170657025,3531421.8218032126,665668.3560278681
0.7,3012389.5512341997,3569708.6559093646,665668.3560278681
0.8,3004134.3207968287,3455969.218739172,665668.3560278681
0.9,3037648.309379474,3520071.433667557,665668.3560278681
1,3002969.5238965168,3496991.251833555,665668.3560278681
