n,Paper,Min Time,Time opt
100,204814.30117410765,209056.8358289808,135265.29081264586
200,375886.2053686331,380711.37613810453,269116.1630651557
300,656447.3644441435,681262.5081163023,418787.46853357356
400,847975.7242731028,862198.1893299985,527021.1010989047
500,1098906.1391013335,1098319.9097693465,680996.5163027159
600,1240552.0917492586,1278948.8943549804,810754.8085519011
700,1465806.7539473004,1489397.0763043682,950163.5534493667
800,1670452.175157622,1739774.7158046558,1089104.445171647
900,1792553.7422383868,1824228.3838205046,1200423.6992387213
1000,2023185.5800527697,2105214.9721221295,1364619.9643280825
100,238126.56863084488,231836.6880859203,132074.989704219
200,463078.44060523633,471731.21876729606,286300.63034636714
300,657179.7616541749,673825.254443316,397627.7838515522
400,797427.751138982,815787.1131264213,507523.35085060494
500,1028780.0801990074,1048491.6499776908,665670.2079130015
600,1296070.8678188163,1352989.7047673252,815431.7444397591
700,1420559.9013238675,1462723.6145021557,942671.6432391971
800,1660276.0322318494,1709721.7792092492,1095099.5263733587
900,1867466.6849889855,1982221.5895709123,1234370.7532900288
1000,2072434.1665512125,2165118.8518402763,1310240.3597236935
100,228653.08318974724,249196.75882891417,135658.01263896248
200,452607.81895744946,455622.5797857409,270786.78148973774
300,644591.3919809982,659415.456914413,421389.488612118
400,805157.5768274502,844145.07105913,527187.772134673
500,1026115.2735543625,986558.6890381878,651307.2591571598
600,1267324.5276750939,1298960.7960746253,772067.1869807383
700,1436418.3749696526,1491175.9871136628,943133.0399483171
800,1678318.4097709255,1769903.2459634226,1091465.3616880602
900,1828923.961468029,1895316.0415218018,1211852.363587291
1000,2143677.496706997,2167287.7368294415,1315746.4593939313
100,260945.63520745997,245572.59789550488,135705.1697686514
200,513705.2557316134,512149.599460341,273914.3536612017
300,653215.4595942801,675956.3505394937,396806.42035697633
400,804779.867078648,835799.3922872451,520494.5536820677
500,1141407.1480475916,1210736.2945649924,695185.5852770898
600,1394865.4395927545,1446956.4926068694,835805.1314059657
700,1422804.1965869388,1490472.1950928024,918676.5189244791
800,1587909.8646767517,1641583.0590672463,1036908.9392987158
900,1952246.4977262446,1987952.065810846,1209448.2505834908
1000,2036122.8716485566,2062167.7815520242,1288364.8317448634
100,202269.9680091079,202648.46538424527,139216.24898405053
200,415659.2679436307,422726.09812575363,237157.78073003114
300,659660.9892849214,672176.542210999,403543.909616375
400,872444.8860859702,870034.5475301208,553653.6355748439
500,1052411.6017152087,1085837.4497159615,661964.7892956203
600,1295938.5865827126,1317332.5712714703,836160.2278643675
700,1539018.1600892423,1565268.9092219872,959851.1308079761
800,1596716.5803033246,1667621.0233464034,1047142.9112615727
900,1784859.1410822973,1817009.0868956766,1188122.4972721045
1000,2095348.3487753773,2214094.7458603824,1345050.931590255
100,221371.81066031638,216698.49377513138,122985.20677022553
200,392381.5080539653,404549.6599108665,257738.67159940107
300,598048.2546941094,608554.5750407209,364298.3991424273
400,834823.1988463575,875151.8941625897,546790.4404012962
500,995345.5699589347,1008857.9242292052,656762.2775112868
600,1210300.327528939,1251277.798013179,820028.8905563497
700,1426741.2944685156,1479093.6014787662,955617.3377585586
800,1663156.0115664788,1719425.8171684765,1071430.2907001453
900,1807590.7142392318,1908018.8397240625,1177489.4069455904
1000,2076578.1410563758,2171766.183785139,1343466.4580755432
100,231712.5061294849,244338.75411969714,135781.11966650275
200,380676.0303130753,393858.9353255211,263257.1795394107
300,636813.500236427,640620.3132249593,399116.60072818206
400,789600.7172839858,820889.5883046323,509609.10896063247
500,1084473.0920337765,1109978.734105969,688682.2888688851
600,1233842.5018958903,1278816.50768624,808502.4861934956
700,1531569.4458613307,1591175.8676727938,966040.5296124725
800,1645125.1859994323,1741632.8763979422,1067060.6678171605
900,1807315.7530914065,1863122.038432643,1200847.5092545433
1000,2075831.1531325774,2166113.053009738,1339717.995657805
100,204192.6693330725,206013.66042162193,132581.7427352931
200,465604.2521104385,480774.690003713,288877.90892573434
300,620346.4262773308,644682.0071979105,404388.45227704063
400,824750.4711712073,855248.8314847237,517064.3624457273
500,1006164.7211404645,1042586.1099869108,682390.0572946991
600,1227125.295329875,1315489.501186222,796312.8104777542
700,1353024.075411408,1407780.6370398079,876167.0650217815
800,1722266.5439516024,1768126.4797401445,1092905.3723919664
900,1746957.1250532335,1783159.2741417424,1168647.4069514158
1000,2018589.8716368275,2075529.1114168053,1356494.7857752524
100,215494.02588282613,215413.9832232294,125794.21532877443
200,419202.00681906834,422564.22686112346,267405.4854193728
300,610312.3174225964,639229.362153066,402995.5194350668
400,819442.0782954891,850911.9904815663,532847.8587000904
500,1037892.5232971656,1077324.98864937,654466.7297662625
600,1238004.7905065443,1251224.9904355265,808420.1890592348
700,1350357.8765525094,1398523.565460183,903614.0357209735
800,1613124.9353997423,1649178.9340777623,1063718.9347667655
900,1826532.8038912087,1917351.693091434,1187157.4681880812
1000,2206239.7004118413,2258357.293662842,1374274.0153844566
100,297735.24635339685,295233.68963733217,142190.2083890204
200,470165.59478808107,493393.0067336921,283602.64182854834
300,614608.492716894,631971.0335395695,412493.9045690554
400,879196.7151178574,902066.6755666098,556611.7305140332
500,1129148.394532612,1189142.5884555238,671096.4806446494
600,1161799.7189649998,1175999.7390331945,776751.4217715072
700,1413126.964014951,1415900.468584286,917314.7013988987
800,1639918.4081145967,1679914.5747086424,1077384.1556501235
900,1914947.7919767848,1938067.5871597198,1213628.0838431732
1000,1866328.9751744682,1945611.6934003881,1275221.562436
