p,Paper,Min Time,Time opt
500,2315072,3313679,2042983.7272256638
500,2256534,3253864,1997005.0680836043
500,2208218,3156465,1953916.145012423
500,2375188,3321558,2085551.3070061237
500,2229889,3143700,1985888.8685753127
500,2220496,3144329,1970281.3485280548
500,2325362,3228070,2066041.4282661595
500,2306154,3228977,2047164.713754969
500,2224605,3195876,1963394.349081565
500,2274192,3157669,2013283.8759888588
1000,1210455,2132228,1021491.8636128319
1000,1185181,2164575,998502.5340418022
1000,1160583,2093151,976958.0725062115
1000,1220635,2108367,1042775.6535030619
1000,1177320,2072473,992944.4342876563
1000,1155669,2082028,985140.6742640274
1000,1227029,2180019,1033020.7141330797
1000,1200459,2131565,1023582.3568774845
1000,1176424,2053397,981697.1745407825
1000,1189521,2033637,1006641.9379944294
1500,818958,1459225,680994.575741888
1500,801294,1480195,665668.3560278681
1500,791825,1413239,651305.3816708077
1500,845563,1462903,695183.7690020413
1500,796385,1443099,661962.9561917708
1500,786683,1400440,656760.4495093515
1500,825080,1508737,688680.4760887198
1500,819729,1495388,682388.2379183229
1500,795885,1420423,654464.7830271883
1500,827985,1432477,671094.6253296196
2000,633343,1126734,510745.93180641596
2000,632842,1101342,499251.2670209011
2000,639652,1054778,488479.03625310573
2000,680159,1093144,521387.8267515309
2000,606546,1061450,496472.21714382817
2000,601124,1062432,492570.3371320137
2000,651261,1113627,516510.3570665399
2000,639909,1107783,511791.17843874224
2000,628248,1054110,490848.58727039123
2000,643768,1055524,503320.9689972147
2500,568606,862411,408596.7454451328
2500,568397,860708,399401.01361672085
2500,569648,807369,390783.2290024846
2500,633288,874661,417110.26140122476
2500,520058,840615,397177.77371506253
2500,501412,823378,394056.26970561093
2500,556400,860314,413208.2856532319
2500,547154,856195,409432.94275099377
2500,568336,832244,392678.869816313
2500,588310,837175,402656.7751977717
3000,532107,706223,340497.287870944
3000,536522,696847,332834.17801393406
3000,530551,666896,325652.69083540386
3000,613894,717936,373352.9154285472
3000,490770,679127,330981.4780958854
3000,453555,680194,328380.22475467576
3000,525913,696694,344340.2380443599
3000,523931,706463,341194.11895916145
3000,534841,675079,327232.39151359414
3000,578978,687098,356733.80286010366
3500,521564,607590,316918.7603192475
3500,522646,605403,317991.2105778266
3500,529110,568140,312943.15076303907
3500,611378,613833,373352.9154285472
3500,472052,582212,283698.4097964732
3500,447624,577759,281468.7640754364
3500,502238,604424,312582.5390243848
3500,507974,600664,302075.34161643946
3500,521191,576300,316020.6841698666
3500,573360,587322,356733.80286010366
4000,518176,526214,316918.7603192475
4000,515519,523364,317991.2105778266
4000,514321,512062,312943.15076303907
4000,609315,548293,373352.9154285472
4000,454867,500994,276597.8641060521
4000,439827,510381,267453.3479698315
4000,503891,524948,312582.5390243848
4000,501641,528154,302075.34161643946
4000,511722,509692,316020.6841698666
4000,576143,514422,356733.80286010366
4500,516544,465577,316918.7603192475
4500,517259,476673,317991.2105778266
4500,504529,461087,312943.15076303907
4500,610984,491596,373352.9154285472
4500,453508,447657,276597.8641060521
4500,442441,451400,267453.3479698315
4500,503858,473168,312582.5390243848
4500,495947,474495,302075.34161643946
4500,511601,451799,316020.6841698666
4500,573356,465396,356733.80286010366
5000,514957,427627,316918.7603192475
5000,519573,432305,317991.2105778266
5000,510665,424765,312943.15076303907
5000,610984,444970,373352.9154285472
5000,447434,413564,276597.8641060521
5000,437349,401020,267453.3479698315
5000,503453,423834,312582.5390243848
5000,492330,429866,302075.34161643946
5000,509042,416852,316020.6841698666
5000,576143,429152,356733.80286010366
