mu,Paper,Min Time,Time opt
0.02,44860646,6401893,2436794.786857616
0.02,44805356,7042866,2576822.5545886937
0.02,46753476,6983347,3239000.320481847
0.02,54611021,8080514,3717236.234059817
0.02,45545695,7453545,2627516.7146240585
0.02,50106826,6700164,3341801.0130078397
0.02,53371295,7957089,3272292.2891452042
0.02,47404814,8298686,3025493.9419644517
0.02,47534255,7017886,2885393.1218928313
0.02,47209864,8084459,3180859.0830482217
0.06,30046360,6401893,2436794.786857616
0.06,29366336,7042866,2576822.5545886937
0.06,35383434,6983347,3239000.320481847
0.06,42698942,8080514,3717236.234059817
0.06,29833829,7453545,2627516.7146240585
0.06,38719241,6700164,3341801.0130078397
0.06,39016700,7957089,3272292.2891452042
0.06,39443042,8298686,3025493.9419644517
0.06,34703352,7017886,2885393.1218928313
0.06,36557126,8084459,3180859.0830482217
0.1,16655584,6401893,2436794.786857616
0.1,17515697,7042866,2576822.5545886937
0.1,21254946,6983347,3239000.320481847
0.1,23952023,8080514,3717236.234059817
0.1,18087247,7453545,2627516.7146240585
0.1,23077027,6700164,3341801.0130078397
0.1,22908869,7957089,3272292.2891452042
0.1,21784881,8298686,3025493.9419644517
0.1,19621757,7017886,2885393.1218928313
0.1,20151432,8084459,3180859.0830482217
0.14,12717990,6401893,2436794.786857616
0.14,13985734,7042866,2576822.5545886937
0.14,17692668,6983347,3239000.320481847
0.14,19346701,8080514,3717236.234059817
0.14,14260786,7453545,2627516.7146240585
0.14,18212655,6700164,3341801.0130078397
0.14,17327167,7957089,3272292.2891452042
0.14,15584637,8298686,3025493.9419644517
0.14,15257940,7017886,2885393.1218928313
0.14,16684453,8084459,3180859.0830482217
0.18,9769121,6401893,2436794.786857616
0.18,10456609,7042866,2576822.5545886937
0.18,12871073,6983347,3239000.320481847
0.18,14781915,8080514,3717236.234059817
0.18,10773742,7453545,2627516.7146240585
0.18,13486259,6700164,3341801.0130078397
0.18,12924394,7957089,3272292.2891452042
0.18,12002126,8298686,3025493.9419644517
0.18,11501695,7017886,2885393.1218928313
0.18,12561223,8084459,3180859.0830482217
0.22,7608896,6401893,2436794.786857616
0.22,8002137,7042866,2576822.5545886937
0.22,9987336,6983347,3239000.320481847
0.22,11151902,8080514,3717236.234059817
0.22,7960970,7453545,2627516.7146240585
0.22,10110730,6700164,3341801.0130078397
0.22,10309092,7957089,3272292.2891452042
0.22,9318766,8298686,3025493.9419644517
0.22,8865815,7017886,2885393.1218928313
0.22,9571968,8084459,3180859.0830482217
0.26,5959083,6401893,2436794.786857616
0.26,6286200,7042866,2576822.5545886937
0.26,7867620,6983347,3239000.320481847
0.26,8895620,8080514,3717236.234059817
0.26,6309288,7453545,2627516.7146240585
0.26,8058451,6700164,3341801.0130078397
0.26,7909289,7957089,3272292.2891452042
0.26,7337533,8298686,3025493.9419644517
0.26,6949952,7017886,2885393.1218928313
0.26,7659608,8084459,3180859.0830482217
0.3,4596597,6401893,2436794.786857616
0.3,4851954,7042866,2576822.5545886937
0.3,6076624,6983347,3239000.320481847
0.3,6925075,8080514,3717236.234059817
0.3,4928752,7453545,2627516.7146240585
0.3,6314720,6700164,3341801.0130078397
0.3,6165344,7957089,3272292.2891452042
0.3,5705578,8298686,3025493.9419644517
0.3,5406625,7017886,2885393.1218928313
0.3,5920556,8084459,3180859.0830482217
0.34,3514140,6401893,2436794.786857616
0.34,3690195,7042866,2576822.5545886937
0.34,4610593,6983347,3239000.320481847
0.34,5290842,8080514,3717236.234059817
0.34,3757103,7453545,2627516.7146240585
0.34,4760851,6700164,3341801.0130078397
0.34,4670559,7957089,3272292.2891452042
0.34,4336183,8298686,3025493.9419644517
0.34,4110656,7017886,2885393.1218928313
0.34,4546425,8084459,3180859.0830482217
0.38,3210814,6401893,2436794.786857616
0.38,3220971,7042866,2576822.5545886937
0.38,3695215,6983347,3239000.320481847
0.38,4187069,8080514,3717236.234059817
0.38,3292228,7453545,2627516.7146240585
0.38,3641714,6700164,3341801.0130078397
0.38,3904761,7957089,3272292.2891452042
0.38,3775898,8298686,3025493.9419644517
0.38,3357288,7017886,2885393.1218928313
0.38,3619633,8084459,3180859.0830482217
0.3819660112501051,4407079,6401893,2436794.786857616
0.3819660112501051,4922891,7042866,2576822.5545886937
0.3819660112501051,4939511,6983347,3239000.320481847
0.3819660112501051,5416487,8080514,3717236.234059817
0.3819660112501051,5115947,7453545,2627516.7146240585
0.3819660112501051,4625134,6700164,3341801.0130078397
0.3819660112501051,4921601,7957089,3272292.2891452042
0.3819660112501051,5250907,8298686,3025493.9419644517
0.3819660112501051,4795209,7017886,2885393.1218928313
0.3819660112501051,5523639,8084459,3180859.0830482217
