fat,Paper,Min Time,Time opt
0,5234181,3250435,3250174.7396685905
0,5041629,3131615,3131372.1582451705
0,4972952,3091142,3090888.998556626
0,5307272,3295534,3295292.372054711
0,5015905,3122569,3122322.951531708
0,4957516,3079612,3079355.6693648365
0,5080033,3159666,3159415.89302227
0,5027686,3122587,3122333.154929214
0,5133120,3193811,3193555.4872575277
0,5235350,3253204,3252960.7080932176
0,5055524,3139996,3139734.6414449764
0,5163229,3207741,3207490.5991715346
0,4953006,3082922,3082665.89236043
0,4911748,3051671,3051419.8973569134
0,5125461,3185500,3185246.124094017
0,5019805,3123327,3123071.586761932
0,5192389,3230565,3230312.78302028
0,5067513,3151557,3151320.372369088
0,5202083,3233999,3233753.7653419804
0,5211343,3241124,3240864.47463345
0,4859004,3022399,3022156.433258581
0,5130885,3191566,3191313.1805762965
0,5140229,3192285,3192042.208570523
0,4820849,3000206,2999957.2270717584
0,5053779,3141562,3141312.5920576504
0,5197468,3232284,3232032.3933805795
0,5249870,3265156,3264903.180087801
0,5174249,3217541,3217276.2021243433
0,4964323,3086114,3085868.361888497
0,5201782,3231859,3231611.8115519597
0.1,5234181,3250435,3250174.7396685905
0.1,5041629,3131615,3131372.1582451705
0.1,4972952,3091142,3090888.998556626
0.1,5307272,3295534,3295292.372054711
0.1,5015905,3122569,3122322.951531708
0.1,4957516,3079612,3079355.6693648365
0.1,5080033,3159666,3159415.89302227
0.1,5027686,3122587,3122333.154929214
0.1,5133120,3193811,3193555.4872575277
0.1,5235350,3253204,3252960.7080932176
0.1,5055524,3139996,3139734.6414449764
0.1,5163229,3207741,3207490.5991715346
0.1,4953006,3082922,3082665.89236043
0.1,4911748,3051671,3051419.8973569134
0.1,5125461,3185500,3185246.124094017
0.1,5019805,3123327,3123071.586761932
0.1,5192389,3230565,3230312.78302028
0.1,5067513,3151557,3151320.372369088
0.1,5202083,3233999,3233753.7653419804
0.1,5211343,3241124,3240864.47463345
0.1,4859004,3022399,3022156.433258581
0.1,5130885,3191566,3191313.1805762965
0.1,5140229,3192285,3192042.208570523
0.1,4820849,3000206,2999957.2270717584
0.1,5053779,3141562,3141312.5920576504
0.1,5197468,3232284,3232032.3933805795
0.1,5249870,3265156,3264903.180087801
0.1,5174249,3217541,3217276.2021243433
0.1,4964323,3086114,3085868.361888497
0.1,5201782,3231859,3231611.8115519597
0.2,2343209,1992977,1445250.5105290287
0.2,2237515,1878953,1386162.451381022
0.2,2085889,1852853,1294834.4157232079
0.2,2220677,1966318,1371686.9709993692
0.2,2229528,1977042,1382084.6166013863
0.2,2089915,1788972,1285803.1903549214
0.2,2231851,1971958,1383495.5784075898
0.2,2109100,1883421,1303853.9771303847
0.2,2374721,1942142,1468909.1033070544
0.2,2214168,1883113,1371530.7568182414
0.2,2089464,1933157,1290491.6631469913
0.2,2299821,1952389,1421192.2616262438
0.2,2254836,1877572,1380915.7334178498
0.2,2247945,1855605,1390860.5160285297
0.2,2266842,1953530,1401696.7390761082
0.2,2143994,1815559,1322293.6072999777
0.2,2073365,1854514,1286608.3800279298
0.2,2298187,1903264,1423833.519184
0.2,2265943,1989541,1399913.5316410963
0.2,2231416,1846800,1367035.0206844718
0.2,2121244,1798565,1316605.2829421372
0.2,2404280,1982109,1490882.4230113768
0.2,2366344,1978608,1460521.1412242455
