P,n,Paper,Min Time,Time opt
100,100,0,2028974.278749209,2028974.2787492075
100,200,0,4036731.230486634,4036731.2304866333
100,300,0,6281795.328494754,6281795.328494752
100,400,0,7905293.588881421,7905293.588881425
100,500,0,10214918.636128323,10214918.63612832
100,600,0,12161289.647439558,12161289.647439567
100,700,0,14252414.497221194,14252414.497221177
100,800,0,16336520.378752599,16336520.378752597
100,900,0,18006306.286463954,18006306.286463946
100,1000,0,20469245.76758118,20469245.76758122
100,100,0,1981118.9335205844,1981118.9335205844
100,200,0,4294499.766569869,4294499.766569867
100,300,0,5964398.685472699,5964398.6854727
100,400,0,7612826.790810947,7612826.790810934
100,500,0,9985025.340418024,9985025.340418022
100,600,0,12231441.554841254,12231441.554841252
100,700,0,14140035.3171484,14140035.31714842
100,800,0,16426446.750771863,16426446.75077184
100,900,0,18515510.028492633,18515510.028492615
100,1000,0,19653548.59259937,19653548.59259939
100,100,0,2034863.880877838,2034863.8808778382
100,200,0,4061790.844107374,4061790.8441073727
100,300,0,6320825.874671788,6320825.874671788
100,400,0,7907794.9283316545,7907794.928331644
100,500,0,9769580.725062119,9769580.725062115
100,600,0,11580975.105520394,11580975.10552041
100,700,0,14146956.62788111,14146956.627881126
100,800,0,16371934.517174777,16371934.517174788
100,900,0,18177736.082496088,18177736.082496077
100,1000,0,19736139.002300244,19736139.002300236
100,100,0,2035571.9945448672,2035571.9945448677
100,200,0,4108703.7447306924,4108703.7447306924
100,300,0,5952079.080720094,5952079.080720092
100,400,0,7807394.567964858,7807394.567964857
100,500,0,10427756.535030616,10427756.535030618
100,600,0,12537043.050202208,12537043.05020221
100,700,0,13780108.965838982,13780108.965838986
100,800,0,15553587.90488279,15553587.90488278
100,900,0,18141674.61888836,18141674.6188884
100,1000,0,19325414.539858297,19325414.53985831
100,100,0,2088238.3931993323,2088238.3931993314
100,200,0,3557355.390575743,3557355.390575743
100,300,0,6053141.231729095,6053141.231729104
100,400,0,8304782.105878764,8304782.105878763
100,500,0,9929444.342876567,9929444.342876563
100,600,0,12542370.127374498,12542370.127374498
100,700,0,14397729.157720089,14397729.157720117
100,800,0,15707098.469540233,15707098.469540207
100,900,0,17821787.817771,17821787.817770988
100,1000,0,20175707.012997027,20175707.012997027
100,100,0,1844771.6761047791,1844771.6761047777
100,200,0,3866070.259968482,3866070.2599684806
100,300,0,5464458.386796749,5464458.386796751
100,400,0,8201833.367282477,8201833.367282476
100,500,0,9851406.74264028,9851406.742640272
100,600,0,12300399.53932416,12300399.539324159
100,700,0,14334222.741272772,14334222.741272766
100,800,0,16071410.372381104,16071410.372381069
100,900,0,17662289.99018474,17662289.990184758
100,1000,0,20151936.22572746,20151936.225727454
100,100,0,2036711.4899757814,2036711.4899757812
100,200,0,3948846.823230081,3948846.823230082
100,300,0,5986732.05685328,5986732.056853285
100,400,0,7644113.083392063,7644113.083392062
100,500,0,10330207.141330782,10330207.141330797
100,600,0,12127502.072289027,12127502.072289018
100,700,0,14490569.122796662,14490569.12279665
100,800,0,16005864.12017297,16005864.120172966
100,900,0,18012661.92562361,18012661.92562362
