density,Paper,Min Time,Time opt
0.1,2824512,8732862,1287516.8274916878
0.1,3103208,9308307,1286238.1323045564
0.1,2842766,8887051,1293996.2337255308
0.1,3281690,10542539,1557902.0513799503
0.1,3108506,9383096,1596004.2561320157
0.1,2799628,8332544,1682416.5995591655
0.1,3095423,9560579,1511414.041021829
0.1,3262080,10477204,1504504.6116870774
0.1,3130698,9458910,1533308.6674961117
0.1,3329264,10706024,1589823.456955601
0.1,3425027,11222302,1974676.058784783
0.1,3180066,10235725,2055921.9984087572
0.1,2910920,8988649,1109405.0957066054
0.1,3195553,10168916,1773556.057037785
0.1,3060307,9611635,1420404.051795752
0.1,3039883,9439614,1546839.6501916219
0.1,3338386,10763977,1988561.5608506075
0.1,3422241,11041016,1651972.9762102605
0.1,3125424,9387986,1633213.0344553092
0.1,3590602,11534488,1932812.3903997203
0.1,2848959,8979934,1360108.8566897975
0.1,3564173,10361387,2337874.4066387243
0.1,3729224,11919939,2208092.9106013933
0.1,2956794,9230930,1731666.7031573926
0.1,2896327,9161463,1245216.1727629395
0.1,3112509,9371202,1697033.1886922074
0.1,3368411,10320805,1865017.688313014
0.1,3368652,10917568,1750967.1242640577
0.1,3414887,10925801,1318405.6316510339
0.1,2860805,8714170,1678791.4181059336
0.2,2831425,8732862,1644790.4618659108
0.2,3314077,9308307,2349280.0804895638
0.2,2970676,8887051,2215121.4082558528
0.2,3329132,10542539,2080266.6415797675
0.2,3079435,9383096,2076226.373591955
0.2,2974515,8332544,2259220.247721654
0.2,3128417,9560579,1847781.15858489
0.2,3232027,10477204,2037786.4329659054
0.2,3033088,9458910,1853203.3134989075
0.2,3531068,10706024,2530229.1275823014
0.2,3683163,11222302,2614855.5588942138
0.2,3480324,10235725,2566411.792160425
0.2,3040465,8988649,2207283.2633274016
0.2,3176455,10168916,2290117.8602936855
0.2,3162374,9611635,2272268.220254919
0.2,2983927,9439614,1934664.0449483157
0.2,3590970,10763977,2556012.3012278983
0.2,3663094,11041016,3008328.7513102945
0.2,3056398,9387986,1748723.7019114916
0.2,3624212,11534488,2558251.898450428
0.2,2894958,8979934,1863009.7273821882
0.2,3336762,10361387,2352120.0387774613
0.2,3713343,11919939,2632243.8095178953
0.2,3007786,9230930,1700545.6751832697
0.2,2916252,9161463,1842975.7188593051
0.2,3077635,9371202,1702764.9620077473
0.2,3253842,10320805,2270427.435768889
0.2,3596754,10917568,2508302.1271748263
0.2,3498354,10925801,2422609.390609125
0.2,3181359,8714170,2232994.185616559
0.3,2809922,8732862,1923457.3499354376
0.3,3113038,9308307,2177928.002177207
0.3,2982413,8887051,2192309.3940271456
0.3,3571243,10542539,2586488.9810114703
0.3,3473972,9383096,2580398.5724420412
0.3,3195080,8332544,2586602.2705658507
0.3,3317807,9560579,2629955.7665772643
0.3,3366765,10477204,2625119.9745395402
0.3,3183389,9458910,2486554.297058407
0.3,3459624,10706024,2542905.569660056
0.3,3607710,11222302,3103677.2982013817
0.3,3406011,10235725,2464522.541639634
0.3,3259017,8988649,2546332.1346053584
0.3,3418201,10168916,2588751.347656452
0.3,3334513,9611635,2380249.593815407
0.3,3166520,9439614,2332756.2318997984
0.3,4174916,10763977,3588626.933896197
0.3,3958586,11041016,3194231.9698066576
0.3,3049640,9387986,2024191.879648083
0.3,3933079,11534488,3213615.514060079
0.3,3062218,8979934,2446196.41595056
0.3,3562125,10361387,2967978.202366593
0.3,3897618,11919939,3025755.56576087
0.3,3311264,9230930,2487454.4292465756
0.3,3084368,9161463,2194597.1094482923
0.3,3242207,9371202,2365808.873037247
0.3,3412002,10320805,2381117.135693675
0.3,3430021,10917568,2765223.363135352
0.3,3462491,10925801,2252511.131555089
0.3,3104201,8714170,2187963.1371480413
0.4,3056707,8732862,2070932.302701784
0.4,3259941,9308307,2478356.4682938727
0.4,3249022,8887051,2763582.4115925245
0.4,3878414,10542539,3356443.302647953
0.4,3221357,9383096,2549249.727976653
0.4,3503586,8332544,3046279.823307818
0.4,3272920,9560579,2413887.9512904994
0.4,3424679,10477204,2862920.715984112
0.4,3286830,9458910,2568687.589430439
0.4,3714814,10706024,2716454.928045754
0.4,3745321,11222302,2899289.448267135
0.4,3648423,10235725,2917065.525699808
0.4,2907894,8988649,2062943.0821056257
