jump,Paper,Min Time,Time opt
1,1084242,1477459,680994.575741888
1,1067712,1476137,665668.3560278681
1,1043143,1413290,651305.3816708077
1,1074855,1477798,695183.7690020413
1,1041206,1470952,661962.9561917708
1,1038956,1418945,656760.4495093515
1,1059823,1520658,688680.4760887198
1,1075953,1512851,682388.2379183229
1,1041345,1427170,654464.7830271883
1,1032987,1422718,671094.6253296196
2,1076796,1435331,680994.575741888
2,1068442,1464400,665668.3560278681
2,1030061,1378990,651305.3816708077
2,1074147,1477966,695183.7690020413
2,1033772,1435085,661962.9561917708
2,1031413,1404323,656760.4495093515
2,1068132,1483386,688680.4760887198
2,1068662,1499918,682388.2379183229
2,1036317,1395383,654464.7830271883
2,1027944,1416826,671094.6253296196
3,1076048,1440800,680994.575741888
3,1063852,1460976,665668.3560278681
3,1033213,1370422,651305.3816708077
3,1072244,1441628,695183.7690020413
3,1025951,1431263,661962.9561917708
3,1029732,1382420,656760.4495093515
3,1061231,1473017,688680.4760887198
3,1057909,1488370,682388.2379183229
3,1034728,1410380,654464.7830271883
3,1021803,1400935,671094.6253296196
4,1074325,1453573,680994.575741888
4,1054635,1428297,665668.3560278681
4,1029174,1379589,651305.3816708077
4,1063212,1453119,695183.7690020413
4,1034257,1410408,661962.9561917708
4,1035498,1391747,656760.4495093515
4,1052690,1455699,688680.4760887198
4,1069907,1450694,682388.2379183229
4,1037764,1384140,654464.7830271883
4,1018985,1391410,671094.6253296196
5,1070632,1419060,680994.575741888
5,1054419,1428978,665668.3560278681
5,1032749,1361397,651305.3816708077
5,1054167,1431302,695183.7690020413
5,1025179,1432552,661962.9561917708
5,1036946,1376613,656760.4495093515
5,1073445,1449992,688680.4760887198
5,1056393,1449201,682388.2379183229
5,1030457,1372597,654464.7830271883
5,1027992,1383638,671094.6253296196
6,1079802,1430939,680994.575741888
6,1075674,1436286,665668.3560278681
6,1023559,1371935,651305.3816708077
6,1073808,1426420,695183.7690020413
6,1021453,1421609,661962.9561917708
6,1037929,1373354,656760.4495093515
6,1062361,1437098,688680.4760887198
6,1055508,1430729,682388.2379183229
6,1030426,1366376,654464.7830271883
6,1031602,1397132,671094.6253296196
7,1073805,1407205,680994.575741888
7,1060432,1410149,665668.3560278681
7,1028604,1361161,651305.3816708077
7,1064593,1433827,695183.7690020413
7,1024546,1399121,661962.9561917708
7,1028587,1365001,656760.4495093515
7,1055894,1452028,688680.4760887198
7,1067283,1434647,682388.2379183229
7,1030890,1346362,654464.7830271883
7,1026583,1374613,671094.6253296196
8,1067330,1423010,680994.575741888
8,1059012,1413224,665668.3560278681
8,1033645,1345969,651305.3816708077
8,1060165,1427828,695183.7690020413
8,1022358,1392235,661962.9561917708
8,1034195,1367038,656760.4495093515
8,1053396,1433904,688680.4760887198
8,1057978,1443956,682388.2379183229
8,1036279,1367148,654464.7830271883
8,1019868,1380054,671094.6253296196
9,1064121,1392146,680994.575741888
9,1048480,1421268,665668.3560278681
9,1029399,1344296,651305.3816708077
9,1059121,1411612,695183.7690020413
9,1042819,1396782,661962.9561917708
9,1034657,1374701,656760.4495093515
9,1055941,1426999,688680.4760887198
9,1060771,1448598,682388.2379183229
9,1028888,1376420,654464.7830271883
9,1024109,1354808,671094.6253296196
10,1077624,1395516,680994.575741888
10,1054316,1414771,665668.3560278681
10,1021516,1352183,651305.3816708077
10,1056999,1402957,695183.7690020413
10,1024915,1373404,661962.9561917708
10,1027327,1363883,656760.4495093515
10,1057821,1438677,688680.4760887198
10,1064064,1431658,682388.2379183229
10,1031975,1343298,654464.7830271883
10,1022028,1365069,671094.6253296196
