jump,Paper,Min Time,Time opt
1,3005972,6396788,2346181.3258343157
1,3360512,7135427,2733863.0711830645
1,3447352,7001838,3058017.9641368715
1,3964806,8037550,3401503.899882013
1,3454780,7603741,2859378.9566711904
1,3488722,6933724,3027426.208124461
1,3401704,7958563,2757897.189986106
1,3905029,8584362,3452479.804944981
1,3928840,6974212,3160354.893380565
1,4044090,8116547,3545391.621396575
2,2973860,6225895,1973331.9927419822
2,3354539,6664341,2598689.0723421685
2,3241495,7117976,2684190.406763651
2,3593331,7974654,2797009.660591898
2,3164527,7364152,2268112.7834777357
2,2950812,6503413,2165662.802293067
2,3542980,7763955,2728680.778029856
2,3684445,8251062,2800849.962403834
2,3229462,7090916,2448487.8859781674
2,3539048,7924826,2817242.9597684266
3,2850730,6024784,1548859.068399214
3,3138426,6784961,1925110.5943836009
3,2961531,7101636,1929215.4628452891
3,3533548,7443878,2416772.097954549
3,3145581,7285226,1704219.3849517335
3,3122539,6546634,2413536.8811498405
3,3190686,7638006,1986308.1551843819
3,3484959,8068324,2584701.954025341
3,3161434,6888650,2132211.8619293105
3,3788732,7602673,2821975.2798982966
4,2881747,6244240,1874701.8285620923
4,3193201,6748812,1937530.4708849238
4,2959035,6816687,2061640.929852792
4,3509075,7324496,2088421.7360272296
4,3280934,7218789,1981020.7436535966
4,2824631,6633701,1815645.1139383211
4,3256167,7275894,2198484.2287312546
4,3383801,7680162,1776674.9369536876
4,3223933,6805896,2084584.165051108
4,3405633,7546051,1919945.2207145358
5,2868966,6087901,1684067.5481288475
5,3118504,6601293,1633178.608860167
5,3040971,6818072,1914226.5087779404
5,3469724,7231674,2069145.6446608678
5,3193403,7124059,1887278.2074597576
5,2887235,6267246,1740629.521749937
5,3184012,7317242,1555935.1147190828
5,3381776,7779843,1670942.3928637598
5,3225647,6531025,1823620.0919968707
5,3396569,7464464,1693356.6908910715
6,2824522,6061273,1367144.654907349
6,3145203,6636394,1653110.7305210915
6,2941993,6636522,1548367.8269383505
6,3392621,7260918,1999527.5671223872
6,3128185,7057607,1535817.7454230147
6,2944437,6500852,1685576.372058369
6,3166624,7351427,1657846.3978894004
6,3403737,7843891,1276546.9572477364
6,3402970,6537634,2277684.92103933
6,3491382,7189345,1770053.139032026
7,2901862,5993061,1562490.480840276
7,3096203,6470113,1361763.7777800323
7,2963414,6537177,1319493.5657035082
7,3485319,7384499,1886693.8350402887
7,3191258,7039298,1530755.5184243263
7,2928220,6426035,1541719.392701394
7,3163042,7443416,1584811.1079149686
7,3371805,7892583,1567953.522923877
7,3113453,6588347,1241107.9396497027
7,3438845,7484199,1746840.8411238322
8,2851456,5776618,1096791.8519710014
8,3140850,6672333,1432304.0816453993
8,3060589,6306266,1508420.749774049
8,3376882,7016505,1550339.6505343686
8,3218494,7012861,1315463.042928459
8,2943877,6350665,1265427.6559505311
8,3153637,7384657,1295459.1111141355
8,3376862,7925537,1461242.627909692
8,3103394,6560100,1252924.5670722087
8,3406371,7570165,1505879.7601090984
9,2812048,5896063,1455376.384100965
9,3150351,6571671,1451444.441229075
9,2993726,6229541,1427864.0337213874
9,3390950,7266680,1413168.1037474924
9,3151815,7176829,1413010.245935331
9,3083727,6169226,1636481.993759319
9,3095294,7029178,1264970.3870421383
9,3419614,7749303,1063963.1608171004
9,3167540,6581941,1365544.143790378
9,3411239,7208263,1383815.041241375
10,2822917,5925550,1254532.1981400975
10,3122821,6563871,1266671.9803899024
10,2870090,6394289,1738075.663759091
10,3342184,7170091,1354117.7905703906
10,3123314,6881114,1426359.6621350737
10,3110935,6460314,1714455.6186951695
10,3087025,7220529,1271764.7055022959
10,3425203,7721023,1220558.8945499423
10,3090244,6306520,1523135.457899124
10,3467146,7518366,1316107.3596404537
