regular,Paper,Min Time,Time opt
0.1,2903749,8732862,2101321.120423504
0.1,3575458,9308307,2809273.0834304695
0.1,3063318,8887051,2342436.2765891473
0.1,3721210,10542539,2749385.669690926
0.1,3438228,9383096,2516532.72702089
0.1,3425010,8332544,3047162.3756678235
0.1,3400467,9560579,2621306.0854677744
0.1,3514439,10477204,2522921.7505759113
0.1,3442218,9458910,2601025.5194452615
0.1,3902335,10706024,3288764.8806674755
0.1,3900289,11222302,2831655.45267397
0.1,3488930,10235725,2743762.416604218
0.1,3582554,8988649,2879338.159181395
0.1,3593414,10168916,2907805.0522312564
0.1,3477489,9611635,2815777.008997279
0.1,3824549,9439614,3195604.1474929326
0.1,3764091,10763977,3256203.976240033
0.1,3704792,11041016,2619384.6734157484
0.1,3156247,9387986,2209605.571009445
0.1,4063418,11534488,3196802.392125053
0.1,3131002,8979934,2362816.853692809
0.1,3655401,10361387,2857025.531972959
0.1,3981156,11919939,3107430.764164513
0.1,3139635,9230930,2386323.824648765
0.1,3429418,9161463,2860744.906041566
0.1,3459204,9371202,2497886.0339809135
0.1,3802042,10320805,3109447.803036736
0.1,3943374,10917568,3374120.217010434
0.1,3786738,10925801,2789430.0863284105
0.1,3329122,8714170,2513932.1971334415
0.2,2926740,8732862,2182292.549618731
0.2,3193604,9308307,2210221.907307094
0.2,3153395,8887051,2639082.1721002567
0.2,4132202,10542539,3391297.009612359
0.2,3250116,9383096,2566306.2921032542
0.2,3706047,8332544,3148379.1665177746
0.2,3441205,9560579,2747500.9997251956
0.2,3731998,10477204,2970468.601614997
0.2,3720375,9458910,2938098.8462048983
0.2,3826178,10706024,3017182.458316079
0.2,3735691,11222302,3143053.3629122656
0.2,3675596,10235725,3068125.83295994
0.2,3591619,8988649,3086729.970354585
0.2,3571536,10168916,3059760.6316543235
0.2,3531340,9611635,2660176.8693440086
0.2,3511857,9439614,2993837.791734439
0.2,3751837,10763977,3070340.322526374
0.2,3645795,11041016,3029298.5821489035
0.2,3385959,9387986,2455043.968459545
0.2,4116106,11534488,3434100.559985754
0.2,3206285,8979934,2612435.9821120626
0.2,3770112,10361387,3174600.2773461547
0.2,3826491,11919939,3010744.563934516
0.2,3273907,9230930,2621323.880415387
0.2,3501779,9161463,2714033.228071719
0.2,3155971,9371202,2255148.8532681153
0.2,3548480,10320805,2659749.467677008
0.2,3973068,10917568,3249053.604740678
0.2,3699135,10925801,2545648.98493097
0.2,3394904,8714170,2782504.794334799
0.3,3211388,8732862,2544320.000511678
0.3,3340080,9308307,2670743.8910611784
0.3,3430656,8887051,2901175.866639374
0.3,4191057,10542539,3741504.749743977
0.3,3398022,9383096,2780155.1847699434
0.3,3614079,8332544,3059572.486306549
0.3,3754138,9560579,3196023.4040542897
0.3,3893950,10477204,3372270.725996211
0.3,3643996,9458910,3080431.4787650583
0.3,4176398,10706024,3546992.2460612156
0.3,3618865,11222302,2956079.6180459433
0.3,4036172,10235725,3359275.371826254
0.3,3204829,8988649,2652008.8543954915
0.3,3734639,10168916,3379632.6336460523
0.3,3513789,9611635,2971319.144443548
0.3,3585631,9439614,3002126.1046945937
0.3,3676350,10763977,3066670.5974805895
0.3,3856168,11041016,3046644.9741276014
0.3,3292531,9387986,2582365.8081068946
0.3,3879139,11534488,3195005.7845437885
0.3,3483209,8979934,2751077.8589150296
0.3,3736612,10361387,2918674.111772888
0.3,4243048,11919939,3468237.116283414
0.3,3330203,9230930,2608378.8564599548
0.3,3263286,9161463,2501128.0633367365
0.3,3438835,9371202,2631684.635259531
0.3,3809492,10320805,3347839.868309275
0.3,3723465,10917568,2969755.405264199
0.3,3697648,10925801,2830802.4840793945
0.3,3663979,8714170,3025138.5212003305
0.4,3049441,8732862,2285175.7857145546
0.4,3536381,9308307,2843955.63415187
0.4,3450111,8887051,3093695.7924297913
0.4,3568055,10542539,2880950.929213037
0.4,3251187,9383096,2584882.773562792
0.4,3835931,8332544,3153018.032616892
0.4,3553418,9560579,2878835.25266444
0.4,3601838,10477204,2489875.9617854813
0.4,3716450,9458910,3077910.7307330556
0.4,3799396,10706024,3180143.164666626
0.4,4042531,11222302,3288043.121931764
0.4,3852010,10235725,3023079.8746216944
0.4,3487068,8988649,2893875.8794212644
0.4,3489321,10168916,2820497.2275257125
0.4,3282915,9611635,2471718.510704702
0.4,3256143,9439614,2536217.212696739
0.4,4364782,10763977,3894652.317230998
0.4,3815579,11041016,3132703.262134084
0.4,3351978,9387986,2411766.422944735
0.4,4081120,11534488,3420910.1856543254
0.4,3232349,8979934,2572519.22148314
0.4,3867025,10361387,3078235.506997745
0.4,4156530,11919939,3235262.5742272167
0.4,3515222,9230930,2916638.232423304
0.4,3329218,9161463,2757449.135493953
0.4,3469265,9371202,2715297.978527087
0.4,4017858,10320805,3529460.5826278836
0.4,3874718,10917568,3205785.982037278
0.4,3774362,10925801,3014537.7330432273
0.4,3413492,8714170,2844525.2252225727
0.5,3113140,8732862,2560634.0822767173
0.5,3621168,9308307,3024023.705734448
0.5,3525424,8887051,3011551.6139839357
0.5,4076051,10542539,3591813.618107392
0.5,3327983,9383096,2694559.773245037
0.5,3602204,8332544,3180563.568826334
0.5,4039498,9560579,3631051.1540346015
0.5,3546716,10477204,2839583.4048784366
0.5,3658541,9458910,2864426.0622091712
0.5,3708958,10706024,2930407.6880798144
0.5,3778262,11222302,3177506.7396974987
0.5,3705906,10235725,2991472.376502853
0.5,3331640,8988649,2631931.2343796073
0.5,3386328,10168916,2796667.6050685868
0.5,3770822,9611635,3168734.237769679
0.5,3421148,9439614,2762587.6580945323
0.5,3959723,10763977,3221183.8475861964
0.5,4181503,11041016,3574053.9443829977
0.5,3435355,9387986,2797730.303749622
0.5,3963902,11534488,3294886.9567220965
0.5,3253575,8979934,2627731.425124417
0.5,3855801,10361387,3224698.7874491047
0.5,4353906,11919939,3815400.0090394635
0.5,3589414,9230930,3157929.8378588962
0.5,3380663,9161463,2821231.7113544843
0.5,3411019,9371202,2747066.880290306
0.5,3662550,10320805,3210045.777319109
0.5,3848385,10917568,3294447.5426588487
0.5,3765924,10925801,2785504.2966169463
0.5,3187354,8714170,2505751.111893956
0.6,3173916,8732862,2425115.593425087
0.6,3317318,9308307,2710579.7579364916
0.6,3173485,8887051,2565822.0553787583
0.6,3866485,10542539,3062888.2309757685
0.6,3480665,9383096,3024756.815216781
0.6,3549660,8332544,3042408.147970684
0.6,3536446,9560579,2923798.83070519
0.6,3646806,10477204,2990811.89622382
0.6,3353808,9458910,2729924.2029130184
0.6,4044349,10706024,3338915.698516732
0.6,3949217,11222302,3190815.195553974
0.6,3786167,10235725,3107492.799386722
0.6,3545964,8988649,2881296.9991975636
0.6,3561565,10168916,2941792.091218047
0.6,3644216,9611635,3048792.354510078
0.6,3321624,9439614,2763369.70665701
0.6,4318053,10763977,3795893.0276798396
0.6,4538713,11041016,4028126.4271541885
0.6,3331147,9387986,2593192.081573454
0.6,4231762,11534488,3664184.0296248663
0.6,3446346,8979934,2869308.645540406
0.6,3879446,10361387,3326705.5308007244
0.6,4254682,11919939,3480976.872460199
0.6,3223491,9230930,2654112.975311927
0.6,3536950,9161463,2961914.325613523
0.6,3431278,9371202,2538272.4541940223
0.6,3925266,10320805,3329962.4254210847
0.6,3894344,10917568,3265235.647977492
0.6,3769325,10925801,2964646.491822
0.6,3143004,8714170,2510020.4978764397
0.7,3127946,8732862,2293486.5464675743
0.7,3247598,9308307,2694312.8136113286
0.7,3493642,8887051,3089307.3864185167
0.7,3644231,10542539,2880528.2419800395
0.7,3496885,9383096,2934258.094019077
0.7,3860567,8332544,3336571.152816167
0.7,3415260,9560579,2973770.025442648
0.7,3679505,10477204,2981744.731621039
0.7,3673168,9458910,3079956.0501271137
0.7,3689301,10706024,3127597.11567693
0.7,3886347,11222302,3287659.1406434663
0.7,3815903,10235725,3243914.8958437988
0.7,3455211,8988649,2860807.931472506
0.7,3630204,10168916,3033591.055564858
0.7,3491864,9611635,2796897.9305297555
0.7,3374140,9439614,2754590.5908413413
0.7,3841914,10763977,3298907.139884068
0.7,4170596,11041016,3625647.429117373
0.7,3324917,9387986,2715905.3875751463
0.7,4029329,11534488,3352398.9107813714
0.7,3215845,8979934,2738466.5320830923
0.7,4036658,10361387,3588279.8652044395
0.7,3870984,11919939,3305867.335718668
0.7,3575584,9230930,3000585.6770560783
0.7,3328877,9161463,2794499.3937300174
0.7,3287667,9371202,2574182.237013218
0.7,3599201,10320805,3140699.4223707537
0.7,3815514,10917568,3231405.5611745086
0.7,3723281,10925801,2925235.902873286
0.7,3508194,8714170,2988113.778317569
0.8,2918480,8732862,2228449.646128746
0.8,3375860,9308307,2766809.4518291177
0.8,3470182,8887051,2912157.8310592063
0.8,3914853,10542539,3240606.582446221
0.8,3417923,9383096,2864624.4542328063
0.8,3473713,8332544,2917599.566972489
0.8,3737496,9560579,3259497.8885284215
0.8,4109431,10477204,3467033.4499869565
0.8,3352270,9458910,2794840.3187382254
0.8,3996298,10706024,3379739.1372268917
0.8,4141606,11222302,3344144.6358043225
