regular,Paper,Min Time,Time opt
0.1,832032,856876,680994.5757418879
0.1,839678,800629,665668.3560278681
0.1,805212,763505,651305.3816708076
0.1,821828,859422,695183.7690020413
0.1,809246,824918,661962.9561917708
0.1,805131,806513,656760.4495093515
0.1,849185,813720,688680.4760887198
0.1,844800,834986,682388.2379183229
0.1,811728,801087,654464.7830271883
0.1,820605,866687,671094.6253296195
0.1,855831,824476,687968.1991749884
0.1,862991,847239,689580.9764586003
0.1,812982,756551,648486.2089159007
0.1,815138,783021,654292.8127032269
0.1,840267,798521,680483.9164037625
0.1,794686,814807,648587.8302313235
0.1,841557,822210,677632.4893569171
0.1,829459,796293,676624.4427130694
0.1,858129,842310,705587.8103228756
0.1,808011,802133,664365.3703929629
0.1,809683,754781,640319.2764712868
0.1,863805,804767,690307.7181537312
0.1,847849,799302,685089.6095134421
0.1,775050,743442,630414.4107754434
0.1,819090,802654,662512.398456732
0.1,833951,807386,668547.956137865
0.1,844957,827177,680043.2235309207
0.1,853846,852935,693004.7815155316
0.1,822029,821495,669099.2209609594
0.1,878996,816644,708630.5724702912
0.2,830768,833081,680994.5757418879
0.2,836473,782279,665668.3560278681
0.2,812456,787090,651305.3816708076
0.2,832630,896428,695183.7690020413
0.2,805205,783302,661962.9561917708
0.2,805982,789480,656760.4495093515
0.2,848953,812287,688680.4760887198
0.2,845059,819498,682388.2379183229
0.2,800724,794613,654464.7830271883
0.2,821049,887866,671094.6253296195
0.2,854891,816296,687968.1991749884
0.2,860590,826547,689580.9764586003
0.2,812226,759717,648486.2089159007
0.2,817115,785844,654292.8127032269
0.2,842766,814680,680483.9164037625
0.2,796159,786027,648587.8302313235
0.2,841968,857661,677632.4893569171
0.2,832256,766986,676624.4427130694
0.2,859467,841888,705587.8103228756
0.2,807776,774787,664365.3703929629
0.2,810367,747471,640319.2764712868
0.2,858036,827354,690307.7181537312
0.2,843431,802121,685089.6095134421
0.2,776234,746678,630414.4107754434
0.2,848240,833331,662512.398456732
0.2,830218,838860,668547.956137865
0.2,840850,836879,680043.2235309207
0.2,847258,829476,693004.7815155316
0.2,816947,820850,669099.2209609594
0.2,881835,833024,708630.5724702912
0.3,834803,815597,680994.5757418879
0.3,834395,790079,665668.3560278681
0.3,812988,782091,651305.3816708076
0.3,827643,879695,695183.7690020413
0.3,804966,838159,661962.9561917708
0.3,813614,777803,656760.4495093515
0.3,848386,839151,688680.4760887198
0.3,840690,829384,682388.2379183229
0.3,807081,792377,654464.7830271883
0.3,820529,897959,671094.6253296195
0.3,859073,818999,687968.1991749884
0.3,865612,845307,689580.9764586003
0.3,807496,742134,648486.2089159007
0.3,814861,786453,654292.8127032269
0.3,837233,818458,680483.9164037625
0.3,797578,792271,648587.8302313235
0.3,838302,876861,677632.4893569171
0.3,833487,783946,676624.4427130694
0.3,865407,842470,705587.8103228756
0.3,809020,783676,664365.3703929629
0.3,805543,760841,640319.2764712868
0.3,867212,818558,690307.7181537312
0.3,851393,811213,685089.6095134421
0.3,776408,765058,630414.4107754434
0.3,833866,805343,662512.398456732
0.3,829637,811673,668547.956137865
0.3,833766,867327,680043.2235309207
0.3,848799,845081,693004.7815155316
0.3,816964,836219,669099.2209609594
0.3,879677,866491,708630.5724702912
0.4,833059,829027,680994.5757418879
0.4,838726,841025,665668.3560278681
0.4,807861,783671,651305.3816708076
0.4,827737,894350,695183.7690020413
0.4,808178,800985,661962.9561917708
0.4,807667,770304,656760.4495093515
0.4,843497,834172,688680.4760887198
0.4,843789,817090,682388.2379183229
0.4,803872,821919,654464.7830271883
0.4,816232,868971,671094.6253296195
0.4,860161,827435,687968.1991749884
0.4,859762,817188,689580.9764586003
0.4,814874,746099,648486.2089159007
0.4,818456,826555,654292.8127032269
0.4,845283,815184,680483.9164037625
0.4,802082,822301,648587.8302313235
0.4,843136,876888,677632.4893569171
0.4,830607,776455,676624.4427130694
0.4,867528,844471,705587.8103228756
0.4,812315,798073,664365.3703929629
0.4,810931,742217,640319.2764712868
0.4,854962,814733,690307.7181537312
0.4,850402,806529,685089.6095134421
0.4,772382,765912,630414.4107754434
0.4,826057,822231,662512.398456732
0.4,831575,813315,668547.956137865
0.4,842298,837953,680043.2235309207
0.4,854902,836794,693004.7815155316
0.4,819809,830211,669099.2209609594
0.4,873262,846667,708630.5724702912
0.5,828679,832708,680994.5757418879
0.5,839054,813259,665668.3560278681
0.5,809109,765042,651305.3816708076
0.5,829083,881136,695183.7690020413
0.5,814156,819787,661962.9561917708
0.5,804110,801658,656760.4495093515
0.5,851659,844249,688680.4760887198
0.5,837666,852378,682388.2379183229
0.5,799711,832214,654464.7830271883
0.5,814146,872629,671094.6253296195
0.5,854123,813083,687968.1991749884
0.5,861561,859302,689580.9764586003
0.5,816893,736809,648486.2089159007
0.5,807496,786642,654292.8127032269
0.5,843887,782203,680483.9164037625
0.5,797028,788574,648587.8302313235
0.5,839987,878620,677632.4893569171
0.5,837758,823145,676624.4427130694
0.5,862346,874813,705587.8103228756
0.5,811770,794535,664365.3703929629
0.5,811506,789336,640319.2764712868
0.5,869592,816337,690307.7181537312
0.5,850290,823391,685089.6095134421
0.5,775280,773715,630414.4107754434
0.5,819300,825739,662512.398456732
0.5,838020,827566,668547.956137865
0.5,838886,840729,680043.2235309207
0.5,855124,865190,693004.7815155316
0.5,826461,857139,669099.2209609594
0.5,875427,850827,708630.5724702912
0.6,832908,844557,680994.5757418879
0.6,834363,824778,665668.3560278681
0.6,804608,780267,651305.3816708076
0.6,823825,866115,695183.7690020413
0.6,805157,832802,661962.9561917708
0.6,806690,782332,656760.4495093515
0.6,848087,834280,688680.4760887198
0.6,837077,836969,682388.2379183229
0.6,802829,816746,654464.7830271883
0.6,811691,927707,671094.6253296195
0.6,857288,834862,687968.1991749884
0.6,862969,876818,689580.9764586003
0.6,817840,765290,648486.2089159007
0.6,811633,805247,654292.8127032269
0.6,846041,817205,680483.9164037625
0.6,792758,798485,648587.8302313235
0.6,843473,880654,677632.4893569171
0.6,839951,784198,676624.4427130694
0.6,863189,854133,705587.8103228756
0.6,811180,805059,664365.3703929629
0.6,811371,783473,640319.2764712868
0.6,862514,792243,690307.7181537312
0.6,845323,822023,685089.6095134421
0.6,770602,777519,630414.4107754434
0.6,834205,858989,662512.398456732
0.6,826868,814702,668547.956137865
0.6,834804,842179,680043.2235309207
0.6,860618,848913,693004.7815155316
0.6,824178,812608,669099.2209609594
0.6,875717,841039,708630.5724702912
0.7,830476,841822,680994.5757418879
0.7,840577,815137,665668.3560278681
0.7,817776,794626,651305.3816708076
0.7,830319,882255,695183.7690020413
0.7,809133,809823,661962.9561917708
0.7,810411,788819,656760.4495093515
0.7,841445,856779,688680.4760887198
0.7,844689,809103,682388.2379183229
0.7,804662,798260,654464.7830271883
0.7,812017,866305,671094.6253296195
0.7,859376,814454,687968.1991749884
0.7,860644,856612,689580.9764586003
0.7,820926,747711,648486.2089159007
0.7,807792,832806,654292.8127032269
0.7,837133,788093,680483.9164037625
0.7,801522,795707,648587.8302313235
0.7,833372,847037,677632.4893569171
0.7,831630,783799,676624.4427130694
0.7,862759,842906,705587.8103228756
0.7,812542,840936,664365.3703929629
0.7,812819,763373,640319.2764712868
0.7,859259,815007,690307.7181537312
0.7,844392,834201,685089.6095134421
0.7,770526,772131,630414.4107754434
0.7,842983,846981,662512.398456732
0.7,832558,853712,668547.956137865
0.7,841102,850574,680043.2235309207
0.7,850398,866174,693004.7815155316
0.7,817559,856955,669099.2209609594
0.7,879485,848079,708630.5724702912
0.8,830057,845813,680994.5757418879
0.8,837930,813823,665668.3560278681
0.8,809120,807262,651305.3816708076
0.8,827696,870378,695183.7690020413
0.8,807226,819923,661962.9561917708
0.8,810309,775967,656760.4495093515
0.8,851297,826638,688680.4760887198
0.8,841158,823136,682388.2379183229
0.8,801095,802536,654464.7830271883
0.8,822777,906428,671094.6253296195
0.8,855691,817345,687968.1991749884
0.8,861846,859803,689580.9764586003
0.8,811425,751542,648486.2089159007
0.8,814527,795776,654292.8127032269
0.8,844941,824054,680483.9164037625
0.8,793155,799571,648587.8302313235
0.8,830747,851463,677632.4893569171
0.8,834847,815038,676624.4427130694
0.8,862366,859449,705587.8103228756
0.8,811340,791721,664365.3703929629
0.8,804166,758924,640319.2764712868
0.8,866112,817178,690307.7181537312
0.8,851854,818373,685089.6095134421
0.8,772460,782506,630414.4107754434
0.8,831397,842987,662512.398456732
0.8,830958,840376,668547.956137865
0.8,845436,881956,680043.2235309207
0.8,855640,853546,693004.7815155316
0.8,817176,839129,669099.2209609594
0.8,877686,842554,708630.5724702912
0.9,835899,852655,680994.5757418879
0.9,838120,815888,665668.3560278681
0.9,807990,765996,651305.3816708076
0.9,824846,884553,695183.7690020413
0.9,810396,825617,661962.9561917708
0.9,810542,801684,656760.4495093515
0.9,846463,854118,688680.4760887198
0.9,841480,847145,682388.2379183229
0.9,805732,795911,654464.7830271883
0.9,810363,894432,671094.6253296195
0.9,855858,801295,687968.1991749884
0.9,861717,870568,689580.9764586003
0.9,815855,745957,648486.2089159007
0.9,806986,802073,654292.8127032269
0.9,843835,786167,680483.9164037625
0.9,799073,787837,648587.8302313235
0.9,832149,851956,677632.4893569171
0.9,833411,786316,676624.4427130694
0.9,861217,845883,705587.8103228756
0.9,813572,802783,664365.3703929629
0.9,811953,770166,640319.2764712868
0.9,865606,807245,690307.7181537312
0.9,854155,825328,685089.6095134421
0.9,771327,777093,630414.4107754434
0.9,821673,847512,662512.398456732
0.9,828854,839472,668547.956137865
0.9,841372,836682,680043.2235309207
0.9,850347,842344,693004.7815155316
0.9,826780,825476,669099.2209609594
0.9,871451,859378,708630.5724702912
1,830395,847607,680994.5757418879
1,838255,820039,665668.3560278681
1,807203,773753,651305.3816708076
1,830944,863423,695183.7690020413
1,812286,814578,661962.9561917708
1,808822,801878,656760.4495093515
1,850212,842176,688680.4760887198
1,843348,825398,682388.2379183229
1,805473,812840,654464.7830271883
1,810575,892804,671094.6253296195
1,854307,830942,687968.1991749884
1,861593,839232,689580.9764586003
1,811977,756739,648486.2089159007
1,808623,802200,654292.8127032269
1,842535,790459,680483.9164037625
1,797450,807768,648587.8302313235
1,832835,841911,677632.4893569171
1,831460,777326,676624.4427130694
1,867920,847069,705587.8103228756
1,804752,787599,664365.3703929629
1,816814,775394,640319.2764712868
1,860689,820927,690307.7181537312
1,850243,816038,685089.6095134421
1,773129,770347,630414.4107754434
1,839097,836085,662512.398456732
1,836123,833506,668547.956137865
1,833888,851312,680043.2235309207
1,853730,834208,693004.7815155316
1,822862,810048,669099.2209609594
1,870483,841563,708630.5724702912
