p,Paper,Min Time,Time opt
500,5092535,10084099,2453098.0706650885
500,5627573,10628117,2756483.5018340815
500,5396989,10178671,2600466.683149136
500,6781563,11919764,3269508.337406044
500,5657613,10695379,2827083.702177847
500,6557615,9635812,3272789.8696683515
500,5919144,10926085,2909590.874839308
500,6220610,11828917,3006692.4990372113
500,6397173,10756084,3113659.638425094
500,7183976,12034824,3619090.200291997
1000,4864764,9070662,2393337.0387256565
1000,5428411,9638255,2696956.9313544724
1000,5121153,9209956,2547107.2213907638
1000,6463849,10886849,3215466.146271094
1000,5534481,9711166,2766203.6218668055
1000,6442166,8658364,3211205.330287286
1000,5710553,9901970,2851786.461487115
1000,5998349,10815140,2942961.782602274
1000,6149523,9783204,3052182.751741772
1000,7059836,11038215,3563110.8413524786
1500,4797247,8732862,2373416.6947458466
1500,5372848,9308307,2677114.741194604
1500,5098435,8887051,2529867.2056780555
1500,6386948,10542539,3199005.1734100496
1500,5504581,9383096,2745910.261763125
1500,6429409,8332544,3190677.150493598
1500,5667090,9560579,2833764.46908562
1500,5903346,10477204,2922235.284848058
1500,6104353,9458910,3031695.308714151
1500,6998713,10706024,3544451.0550393066
2000,4777121,8563947,2363456.522755941
2000,5360964,9143332,2667193.6461146683
2000,5051812,8725595,2521388.0965036675
2000,6368814,10370380,3190909.3345875624
2000,5489866,9219049,2735763.581711285
2000,6391701,8169632,3180413.0605967534
2000,5646569,9389893,2824753.472884873
2000,5881767,10308240,2911872.0359709514
2000,6094667,9296767,3021451.5872003403
2000,7006837,10539925,3535121.161882719
2500,4768001,8462605,2357480.4195619975
2500,5337522,9044349,2661247.6073144386
2500,5035498,8628717,2516300.630999036
2500,6355206,10267092,3186051.83129407
2500,5481036,9120636,2729675.573680181
2500,6382398,8071887,3174254.606658647
2500,5639496,9287475,2819346.875164425
2500,5858667,10206862,2905654.0866446863
2500,6075388,9199476,3015305.3542920537
2500,6995030,10440266,3529523.225988768
3000,4757172,8395047,2353496.3507660357
3000,5331125,8978366,2657291.3976617362
3000,5029787,8564156,2512908.9873292805
3000,6341870,10198227,3182813.4957650737
3000,5475150,9055024,2725616.9016594444
3000,6375835,8006727,3170148.9706999096
3000,5641569,9219199,2815742.4766841256
3000,5851429,10139285,2901508.7870938433
3000,6069203,9134605,3011207.8656865293
3000,6991513,10373828,3525791.2687261333
3500,4747116,8346785,2350650.5873403484
3500,5332307,8931224,2654465.5336240926
3500,5026203,8518017,2510486.3847080283
3500,6337407,10149044,3180500.3989586495
3500,5470945,9008144,2722717.850216062
3500,6372071,7960188,3167216.373586525
3500,5638352,9170426,2813167.9063410545
3500,5846273,10090996,2898547.858843242
3500,6064784,9088275,3008281.0881111557
3500,6993118,10326354,3523125.5849671084
4000,4742203,8310584,2348516.2647710824
4000,5321800,8895859,2652346.135595859
4000,5020710,8483420,2508669.432742087
4000,6335532,10112142,3178765.576353831
4000,5467792,8973004,2720543.5616335245
4000,6369259,7925258,3165016.925751487
4000,5633703,9133851,2811236.9785837517
4000,5840483,10054799,2896327.1626552898
4000,6061470,9053534,3006086.004929625
4000,6988724,10290769,3521126.32214784
4500,4738727,8282446,2346856.236106098
4500,5321814,8868368,2650697.714907233
4500,5020411,8456512,2507256.2478796896
4500,6334341,10083456,3177416.2698834157
4500,5465145,8945670,2718852.4482915513
4500,6367132,7898126,3163306.2441020133
4500,5632462,9105408,2809735.145883628
4500,5837587,10026626,2894599.954509105
4500,6058894,9026499,3004378.7180106565
4500,6987459,10263089,3519571.339955076
5000,4735206,8259936,2345528.213174111
5000,5320017,8846382,2649378.978356332
5000,5015071,8434984,2506125.699989771
5000,6333384,10060515,3176336.8247070834
5000,5462931,8923798,2717499.5576179726
5000,6365430,7876393,3161937.6987824338
5000,5631262,9082652,2808533.6797235273
5000,5835275,10004097,2893218.1879921574
5000,6056937,9004892,3003012.8884754814
5000,6986495,10240941,3518327.3542008647
