p,Paper,Min Time,Time opt
500,4857959,11071241,2547103.5300798216
500,5398136,11821867,2849320.0245010094
500,5200362,11141405,2658518.9630830013
500,6449479,13011426,3361476.3688198314
500,5377997,11768322,2905712.2504670806
500,6214051,10739467,3351200.881228615
500,5643241,11976406,2972818.371188702
500,5858684,12866745,3095131.2823507753
500,6034539,11863754,3210127.8681118703
500,6812908,13023793,3666075.9834557706
1000,4647762,8645212,2531156.2613913054
1000,5121172,9553435,2834326.558760838
1000,4872090,9271000,2641459.5601339308
1000,6147418,9938736,3354949.241082998
1000,5258962,9679016,2889208.0328141972
1000,6078754,8721781,3329117.2800730695
1000,5409796,9810477,2954648.0060329004
1000,5669883,10463490,3076590.586060945
1000,5779025,9065336,3196001.1219723397
1000,6695833,10711597,3645161.4476170326
1500,4577529,6445432,2530387.6966619184
1500,5066923,6936345,2833546.0159696555
1500,4834880,7061524,2640271.093031301
1500,6086945,7850312,3354861.39268329
1500,5229410,7577832,2888507.7741282145
1500,6079728,6953694,3327395.5774612105
1500,5379655,8118290,2953893.9975096094
1500,5593435,8505629,3076084.667716298
1500,5738696,6934906,3195223.281512647
1500,6667439,8205414,3643897.7936968915
2000,4554094,5051750,2530387.6966619184
2000,5051395,5395632,2833546.0159696555
2000,4795861,5473079,2640271.093031301
2000,6066653,6118649,3354861.39268329
2000,5219571,5609205,2888507.7741282145
2000,6043558,5494247,3327385.080486515
2000,5361557,5918992,2953893.9975096094
2000,5572574,6303382,3076084.667716298
2000,5729993,5275341,3195207.04906971
2000,6656225,6148951,3643890.4885822376
2500,4539259,4010029,2530387.6966619184
2500,5046552,4087932,2833546.0159696555
2500,4779807,4225162,2640271.093031301
2500,6057003,4916132,3354861.39268329
2500,5214520,4363923,2888507.7741282145
2500,6040082,4668002,3327385.080486515
2500,5349795,4412402,2953893.9975096094
2500,5546178,4984212,3076084.667716298
2500,5726197,4090798,3195207.04906971
2500,6654447,4837847,3643890.4885822376
3000,4529628,3335662,2530387.6966619184
3000,5043976,3550347,2833546.0159696555
3000,4772524,3561788,2640271.093031301
3000,6044446,4032042,3354861.39268329
3000,5211740,3606810,2888507.7741282145
3000,6036110,3785880,3327385.080486515
3000,5351055,3700510,2953893.9975096094
3000,5547051,3941133,3076084.667716298
3000,5723952,3528878,3195207.04906971
3000,6654181,4194225,3643890.4885822376
3500,4528099,2962303,2530387.6966619184
3500,5042473,3104367,2833546.0159696555
3500,4771524,3218767,2640271.093031301
3500,6042745,3769870,3354861.39268329
3500,5211932,3364866,2888507.7741282145
3500,6032540,3572723,3327385.080486515
3500,5348372,3276473,2953893.9975096094
3500,5536934,3525852,3076084.667716298
3500,5722377,3388763,3195207.04906971
3500,6653449,3971377,3643890.4885822376
4000,4522016,2735401,2530387.6966619184
4000,5042067,3045374,2833546.0159696555
4000,4769725,2927613,2640271.093031301
4000,6038378,3554559,3354861.39268329
4000,5209356,3079834,2888507.7741282145
4000,6034923,3472876,3327385.080486515
4000,5346127,3052941,2953893.9975096094
4000,5532590,3293441,3076084.667716298
4000,5722675,3300191,3195207.04906971
4000,6653234,3819699,3643890.4885822376
4500,4521714,2636123,2530387.6966619184
4500,5040397,2978639,2833546.0159696555
4500,4762371,2767225,2640271.093031301
4500,6038363,3421378,3354861.39268329
4500,5208974,3027149,2888507.7741282145
4500,6033477,3433624,3327385.080486515
4500,5346881,3107533,2953893.9975096094
4500,5532559,3176223,3076084.667716298
4500,5719659,3254916,3195207.04906971
4500,6652995,3781615,3643890.4885822376
5000,4519681,2570635,2530387.6966619184
5000,5046831,2928302,2833546.0159696555
5000,4765342,2752620,2640271.093031301
5000,6041500,3393593,3354861.39268329
5000,5208768,2950942,2888507.7741282145
5000,6029552,3363040,3327385.080486515
5000,5343923,2998209,2953893.9975096094
5000,5532559,3221131,3076084.667716298
5000,5719296,3238998,3195207.04906971
5000,6652995,3770003,3643890.4885822376
