n,Paper,Min Time,Time opt
100,186541,304932,135264.95191661385
100,186011,292131,132074.59556803896
100,191955,296183,135657.59205852257
100,189166,302462,135704.79963632452
100,199110,314132,139215.89287995544
100,200820,286245,141833.9057535438
100,210736,318689,145800.66430323533
100,194499,313761,132581.37664140124
100,181645,305804,125793.85045794985
100,195804,345590,142189.82963128175
200,372966,603472,269115.41536577564
200,393355,642979,286299.98443799117
200,374694,616478,270786.0562738249
200,372982,626477,273913.5829820462
200,331858,554792,237157.02603838284
200,380588,587551,257738.01733123203
200,365860,620192,263256.4548820055
200,396044,656188,288877.2195751548
200,364451,597126,267404.74808868044
200,386473,629911,283601.9021258916
300,575542,949159,418786.3552329836
300,556190,886855,397626.57903151336
300,583708,928852,421388.39164478605
300,542459,877020,396805.2720480061
300,545618,905297,403542.7487819404
300,492285,823891,364297.22578645014
300,540375,887987,399115.47045688564
300,552554,892105,404387.397599672
300,553191,921280,402994.3076215725
300,556452,936190,412492.8426659085
400,721226,1179429,527019.572592095
400,682759,1129059,507521.7860540623
400,709532,1161128,527186.328555443
400,702292,1136044,520492.97119765717
400,748045,1194534,553652.1403919176
400,732104,1162283,546788.8911521651
400,692393,1117378,509607.5388928041
400,698266,1150391,517062.8064570028
400,713987,1172793,532846.2458092739
400,750513,1247870,556610.2611466397
500,912419,1468012,680994.575741888
500,903704,1485689,665668.3560278681
500,867896,1414913,651305.3816708077
500,927275,1467487,695183.7690020413
500,884520,1465844,661962.9561917708
500,877096,1427602,656760.4495093515
500,917885,1487176,688680.4760887198
500,903455,1515886,682388.2379183229
500,872054,1429964,654464.7830271883
500,901992,1441994,671094.6253296196
600,1083159,1768112,810752.6431626381
600,1092915,1734311,815429.436989417
600,1027137,1687166,772065.0070346941
600,1115963,1817388,835802.8700134807
600,1123257,1809049,836158.0084916332
600,1092765,1786993,820026.635954944
600,1084336,1785302,808500.1381526012
600,1072006,1741387,796310.5517534814
600,1088844,1756051,808417.8742937929
600,1045937,1683478,776749.1510552632
700,1275220,2056727,950160.9664814121
700,1269063,2063675,942669.0211432279
700,1270860,2018323,943130.441858742
700,1229300,1972003,918673.9310559325
700,1284091,2046580,959848.6105146747
700,1270101,2045869,955614.8494181846
700,1279621,2091004,966037.9415197767
700,1170039,1908183,876164.5223701039
700,1209293,1940142,903611.3820643929
700,1229624,2019693,917312.0237686938
800,1461404,2364358,1089101.3585835067
800,1457700,2359792,1095096.4500514562
800,1467308,2339809,1091462.301144986
800,1379340,2201005,1036905.8603255189
800,1406525,2262523,1047139.8979693472
800,1416407,2289293,1071427.358158738
800,1432541,2297769,1067057.608011531
800,1448463,2320075,1092902.44475554
800,1406898,2281082,1063715.965358084
800,1439130,2363484,1077381.0639859766
900,1606135,2595386,1200420.4190975963
900,1639425,2630815,1234367.3352328413
900,1605424,2596696,1211849.0721664052
900,1614350,2585484,1209444.9745925602
900,1584474,2583287,1188119.1878513996
900,1561515,2526422,1177485.9993456504
900,1601813,2583554,1200844.1283749081
900,1572943,2535659,1168644.0656474705
900,1576282,2535961,1187154.0541903009
900,1618775,2609331,1213624.7074727179
1000,1818003,2923204,1364616.3845054149
1000,1742206,2792078,1310236.572839959
1000,1743223,2825901,1315742.6001533493
1000,1726264,2805824,1288360.9693238875
1000,1773511,2886416,1345047.1341998023
1000,1772638,2892569,1343462.4150484968
1000,1775517,2863435,1339714.0408837418
1000,1819527,2925164,1356490.9992859592
1000,1826078,2951820,1374270.2114800527
1000,1703803,2755628,1275217.8093126304
