n,Paper,Min Time,Time opt
100,2006532.5106344223,2651732.112457442,1118634.343452282
100,1153957.363871461,1465591.2221792534,636367.4180376084
100,1077501.5142487274,1025814.901257569,625351.1869290422
100,1853104.7630488358,1776353.5941852333,1010009.4083361919
100,1950731.3840075957,2317630.084256513,1078143.6177993615
100,1716398.7821215687,2130794.617259222,947452.4448458365
100,1489819.3810481732,1324798.539584702,858892.3394168812
100,1787248.8830073567,1835966.6089673918,995604.7802976957
100,1287394.809361014,1286356.5983471419,728281.233694173
100,1973815.2321428433,2118605.393063912,1099757.950605992
200,2810302.7237170837,3770731.1257364703,1542560.1639375694
200,3704201.3468660284,5104552.474085612,2047161.0970896047
200,2680882.608329668,3424426.767574679,1487022.4148273377
200,4313011.241426205,4169085.596295029,2397545.073289071
200,2132354.777739119,2837127.50190727,1213168.0167401046
200,2118876.849619933,2669219.0802538455,1182480.3756849384
200,2849998.5904552904,3047998.3245974276,1575975.1617621318
200,2594163.3694090312,3274791.6871115,1424403.3396421394
200,3559888.712624356,4156581.4865594045,1971251.7804979011
200,2910267.9951882125,3261280.020214306,1630151.3905085246
300,4020780.937461956,5738143.252791419,2234677.4496811987
300,4515170.218683711,5103822.708583829,2468786.0719665866
300,3704471.2130872393,4933725.31860158,2063029.9715300747
300,3489090.844981622,3953217.6814658255,1938101.1901864647
300,4206372.111070208,6080192.79152021,2339461.074780707
300,4117122.486961276,4623707.666347217,2264911.7814625073
300,3742228.849367382,5830645.479821642,2075081.680610729
300,3404682.2534727217,4826657.536271158,1919808.117299604
300,3853745.2275632005,5791849.11110049,2154228.3100774456
300,4447127.61434338,5733620.917289664,2465641.015052815
400,4381399.656053351,5949988.85701547,2427894.661141056
400,5438216.326040312,6589133.142636026,2984098.3940771786
400,4765180.117931493,7475677.003153598,2638249.9956363584
400,3999025.7903304836,5237054.71012103,2193502.872550586
400,4026307.4635732835,5200143.011499081,2254836.1599265886
400,4589063.023498306,8366617.93695953,2525166.710370604
400,4931985.567309468,6247388.903577853,2744465.216208369
400,4774530.131994375,7099618.833213848,2660990.796231597
400,4289064.360195862,6210354.259622663,2381505.2362372526
400,4799887.490018476,6974824.554528015,2639558.7098424174
500,5187654.08699353,6917764.974984486,2879092.715088128
500,5145895.3385464465,7651935.218218318,2864633.2215555953
500,5199815.767768248,7669528.847351714,2870927.8797837486
500,5959200.342832567,8816021.183554506,3295134.6541828066
500,5082420.885144154,7943910.79962431,2827487.824944062
500,5464126.081279451,7135801.948974108,3021501.8277351647
500,5492622.369392338,8335530.421804322,2963535.322954082
500,5921974.059768759,8875099.452294573,3255548.851049696
500,5331172.073734837,7284569.808319132,2958713.9282889394
500,6015308.479229305,8762842.72317763,3327404.291406895
600,5360895.543302282,8302980.388475567,2991455.1886981903
600,6198886.8435035115,10242144.286488848,3418230.554286315
600,7764601.51117449,9105716.34485158,4277752.5340535585
600,6885549.668514169,10062694.686611505,3768481.326612148
600,6746721.333787421,10942098.678334316,3702340.4872888536
600,6748121.44356268,11263017.28277053,3707615.565408803
600,6418271.753180552,8945254.87946936,3535945.209247728
600,6851678.380164163,9688100.854116427,3792057.6706556254
600,6382603.939696115,9486628.862724062,3537442.516527078
600,5892954.51533444,9166039.881596347,3282619.9921035767
700,6197446.482191322,10654569.389776869,3404155.547878198
700,6282871.394355223,10105034.395583343,3419244.4474540795
700,7439509.657885872,10145667.839988083,4124224.998564992
700,8245276.572666297,12954155.518016933,4547306.032054893
700,6975348.924088169,11244322.462416882,3877820.6918535996
700,7178343.1094945185,11661762.418975295,3920171.467109946
700,8892800.001009515,13659399.42341761,4859472.9699593615
700,7149027.209327688,11230755.184601652,3968008.308949625
700,7131825.59055792,12119113.338167202,3912282.2285528695
700,8622370.691504432,12591870.78887522,4791824.156434177
800,7742585.974887819,14860717.058847211,4272185.574222265
800,7470441.397947334,13338499.84744255,4101879.8557687104
800,7858256.880735643,12553253.379366385,4308580.851171774
800,7715122.752597844,12001453.83122985,4201833.290060219
800,9934423.148626842,14054853.634114489,5504025.485483283
800,7679619.595494503,13175631.39128255,4250175.4808496
800,7693997.641132919,12636254.94655408,4281620.35324328
800,6828247.50173675,11270238.031721912,3783275.8596060523
800,6796762.803889868,13513207.668335397,3771315.121552144
800,7923735.451053578,12852529.63225465,4364685.789545239
900,8552993.004572812,15434309.104328414,4694330.76100381
900,10315049.708291963,17894329.63021087,5712829.853043944
900,8895859.097954597,14285404.430836828,4914802.800403607
900,8734584.79596592,14939915.681754913,4790156.430520415
900,8857116.140870806,16081600.41965613,4844561.744222841
900,8513275.442002151,13365336.867055984,4721712.617622577
900,6741893.989875268,12151024.27708122,3676000.5553591745
900,8933128.81860427,13600560.171113716,4913801.713733147
900,7923202.56206308,12647118.144111654,4378532.533291017
900,8647906.01957867,14024831.111741941,4756218.964564075
1000,9718062.142768223,17517044.770509038,5336041.550357559
1000,9415792.821675748,15769282.147978272,5145917.3553681085
1000,10648286.037236301,17587416.879191983,5845078.979042562
1000,9348614.297987226,15556600.763780797,5116231.177517758
1000,9520837.240050063,17579479.687910296,5236329.489324176
1000,8961720.286811695,14409900.257420385,4922034.097429081
1000,9793888.698333085,16545966.668130998,5379865.46167003
1000,9749726.49949488,17384849.289960857,5325012.182218059
1000,10667088.141702805,18207218.188243855,5913129.653437381
1000,8412117.229645193,13777664.947305623,4666555.180235328
