n,Paper,Min Time,Time opt
100,174907,174907,135265.29081264586
100,197517,197517,132074.989704219
100,205105,205105,135658.01263896248
100,205306,205306,135705.1697686514
100,170133,170133,139216.24898405053
100,181662,181662,122985.20677022553
100,214119,212403,135781.11966650275
100,159694,159694,132581.7427352931
100,163857,163857,125794.21532877443
100,242831,242831,142190.2083890204
200,306022,306022,269116.1630651557
200,384559,384559,286300.63034636714
200,372563,372563,270786.78148973774
200,433113,433113,273914.3536612017
200,358172,352047,237157.78073003114
200,318062,318062,257738.67159940107
200,313711,313711,263257.1795394107
200,386128,386128,288877.90892573434
200,330850,330849,267405.4854193728
200,363014,363014,283602.64182854834
300,536516,536516,418787.46853357356
300,506667,506676,397627.7838515522
300,510971,510981,421389.488612118
300,502167,502174,396806.42035697633
300,527100,527100,403543.909616375
300,481989,481989,364298.3991424273
300,483764,483764,399116.60072818206
300,510351,510351,404388.45227704063
300,482209,482209,402995.5194350668
300,485443,485443,412493.9045690554
400,642351,642351,527021.1010989047
400,605070,605070,507523.35085060494
400,651723,651722,527187.772134673
400,630295,630312,520494.5536820677
400,660631,663285,553653.6355748439
400,635786,635786,546790.4404012962
400,648260,648260,509609.10896063247
400,639117,639135,517064.3624457273
400,661891,661889,532847.8587000904
400,703659,703680,556611.7305140332
500,848467,848482,680996.5163027159
500,813769,813773,665670.2079130015
500,781807,781806,651307.2591571598
500,909639,909639,695185.5852770898
500,810568,810584,661964.7892956203
500,775315,775175,656762.2775112868
500,825400,825400,688682.2888688851
500,804559,804580,682390.0572946991
500,790932,790950,654466.7297662625
500,872958,872958,671096.4806446494
600,940923,940849,810754.8085519011
600,978276,978280,815431.7444397591
600,957227,957227,772067.1869807383
600,1078834,1078850,835805.1314059657
600,998145,1009003,836160.2278643675
600,947548,947555,820028.8905563497
600,952127,952127,808502.4861934956
600,966177,966175,796312.8104777542
600,970491,970491,808420.1890592348
600,905076,905076,776751.4217715072
700,1112146,1112146,950163.5534493667
700,1123873,1123873,942671.6432391971
700,1073658,1073658,943133.0399483171
700,1093487,1091328,918676.5189244791
700,1128818,1128818,959851.1308079761
700,1097506,1097504,955617.3377585586
700,1137439,1137439,966040.5296124725
700,1049502,1049508,876167.0650217815
700,1047736,1047736,903614.0357209735
700,1087617,1086922,917314.7013988987
800,1289774,1289774,1089104.445171647
800,1279778,1279795,1095099.5263733587
800,1274022,1274039,1091465.3616880602
800,1207777,1207797,1036908.9392987158
800,1250103,1250103,1047142.9112615727
800,1306488,1308520,1071430.2907001453
800,1261438,1261446,1067060.6678171605
800,1309640,1309640,1092905.3723919664
800,1219860,1219860,1063718.9347667655
800,1283625,1283648,1077384.1556501235
900,1376309,1374010,1200423.6992387213
900,1461630,1461643,1234370.7532900288
900,1417490,1417490,1211852.363587291
900,1431422,1431418,1209448.2505834908
900,1341580,1341596,1188122.4972721045
900,1409146,1409179,1177489.4069455904
900,1394961,1394967,1200847.5092545433
900,1329669,1329669,1168647.4069514158
900,1374654,1374654,1187157.4681880812
900,1405771,1406292,1213628.0838431732
1000,1580884,1580906,1364619.9643280825
1000,1585153,1585145,1310240.3597236935
1000,1578797,1578797,1315746.4593939313
1000,1565986,1547826,1288364.8317448634
1000,1623243,1623241,1345050.931590255
1000,1560680,1560680,1343466.4580755432
1000,1569526,1569512,1339717.995657805
1000,1549948,1549948,1356494.7857752524
1000,1583048,1582896,1374274.0153844566
1000,1444177,1444193,1275221.562436
