density,Paper,Min Time,Time opt
0.1,1324039.7505342853,1428572.3261691441,680996.5163027159
0.2,1237158.7663124625,1456431.6875718147,680996.5163027159
0.3,1299252.8646274484,1520193.8986836756,680996.5163027159
0.4,1294085.57604691,1487060.1945161729,680996.5163027159
0.5,1274485.7958212974,1488088.5076882092,680996.5163027159
0.6,1279028.1622806082,1493537.0587509642,680996.5163027159
0.7,1289917.373410337,1491325.0468996763,680996.5163027159
0.8,1244274.777668921,1474068.3962776354,680996.5163027159
0.9,1238336.8573738993,1479998.351340203,680996.5163027159
1,1252192.1813035605,1502703.0184947567,680996.5163027159
0.1,1252513.817652603,1456748.312993684,665670.2079130015
0.2,1336668.412030417,1484680.9245881846,665670.2079130015
0.3,1273631.1136409645,1490412.9476889882,665670.2079130015
0.4,1295655.517206389,1452495.636478168,665670.2079130015
0.5,1272654.7682811276,1460195.304781162,665670.2079130015
0.6,1218049.1099269497,1415618.6862552918,665670.2079130015
0.7,1224977.1160112263,1444712.935887691,665670.2079130015
0.8,1257660.2023765019,1435631.0713086193,665670.2079130015
0.9,1293449.2393187403,1455763.8605356303,665670.2079130015
1,1251189.6056105657,1414845.238908232,665670.2079130015
0.1,1206400.468763139,1445749.2597883476,651307.2591571598
0.2,1212902.1238316335,1425992.6916253783,651307.2591571598
0.3,1218492.2204768716,1418757.2507574738,651307.2591571598
0.4,1226519.9987436496,1417480.3988476698,651307.2591571598
0.5,1220391.0410986952,1382240.9863358869,651307.2591571598
0.6,1186153.3134816748,1377608.7959375381,651307.2591571598
0.7,1215707.9199176966,1418516.2071125917,651307.2591571598
0.8,1208012.6181779027,1359189.9080675778,651307.2591571598
0.9,1183888.3455850922,1380305.7724484582,651307.2591571598
1,1176790.1875723903,1370278.8732447156,651307.2591571598
0.1,1340239.1146210164,1520515.8841546038,695185.5852770898
0.2,1231047.8807895177,1458437.399452648,695185.5852770898
0.3,1354970.6311621957,1472935.0522129897,695185.5852770898
0.4,1310471.6632316867,1483098.0006163302,695185.5852770898
0.5,1278896.5927957203,1468763.3563179276,695185.5852770898
0.6,1280609.1923198516,1474653.6374258578,695185.5852770898
0.7,1289427.0990035578,1468700.7479721596,695185.5852770898
0.8,1257148.023310434,1470567.094241179,695185.5852770898
0.9,1250864.550950867,1425012.0764195006,695185.5852770898
1,1265413.9597323597,1439082.7551393018,695185.5852770898
0.1,1260313.1327349946,1470127.5420603876,661964.7892956203
0.2,1254855.842554944,1409978.4567757507,661964.7892956203
0.3,1270848.0728277513,1423008.3271053517,661964.7892956203
0.4,1246147.4007709075,1473141.4365766414,661964.7892956203
