density,Paper,Min Time,Time opt
0.1,856027.3772211381,1039285.6798266431,680994.5757418879
0.2,842988.8036260748,1029519.3056025944,680994.5757418879
0.3,837342.8797303174,1006478.5915437035,680994.5757418879
0.4,847128.5067118206,985740.9874873366,680994.5757418879
0.5,850531.6388274794,972370.7951465258,680994.5757418879
0.6,847450.7172945744,981808.5656813701,680994.5757418879
0.7,859333.0740807768,1006256.7100138017,680994.5757418879
0.8,843576.7694789085,982283.6372924482,680994.5757418879
0.9,845654.9985814361,951825.828222807,680994.5757418879
1,849208.3728600309,1023475.1194041636,680994.5757418879
0.1,853418.7381673037,926516.5277786875,665668.3560278681
0.2,853053.146304593,949668.1238906337,665668.3560278681
0.3,853935.689889286,920988.6962867053,665668.3560278681
0.4,849757.6938394307,939855.93962403,665668.3560278681
0.5,853973.9195249908,916687.9755219617,665668.3560278681
0.6,849606.5399301018,930881.8821208195,665668.3560278681
0.7,858553.5660846048,919901.8772873032,665668.3560278681
0.8,851760.9473580274,924589.3423787475,665668.3560278681
0.9,846977.7491391532,932995.1900908196,665668.3560278681
1,847216.708789944,907412.8684854523,665668.3560278681
0.1,826871.441804915,922820.2089164193,651305.3816708076
0.2,819380.1556355403,909814.846124137,651305.3816708076
0.3,838019.5920464752,903563.5384288733,651305.3816708076
0.4,831627.8210227517,919026.7811730931,651305.3816708076
0.5,826169.1604618962,881752.753634132,651305.3816708076
0.6,823796.3975696568,881827.4884414158,651305.3816708076
0.7,836174.5462196971,927133.8262377068,651305.3816708076
0.8,826712.619480903,890111.1774869084,651305.3816708076
0.9,828449.5446480537,846132.6366332518,651305.3816708076
1,835303.6417791976,918953.6894658706,651305.3816708076
0.1,845496.2111165663,1072988.346272707,695183.7690020413
0.2,851283.5508870641,1063767.8440724262,695183.7690020413
0.3,845392.6663964787,1064120.6869884671,695183.7690020413
0.4,858908.3740184654,1066655.2863200952,695183.7690020413
0.5,855659.1549790411,1043392.0288003134,695183.7690020413
0.6,853997.4399755226,1024369.1434452719,695183.7690020413
0.7,861087.7096547867,1031274.1132420832,695183.7690020413
0.8,861691.2411746496,1035581.875170194,695183.7690020413
0.9,854508.1799722762,1033214.1118582418,695183.7690020413
1,866319.1578022519,1014872.4226484208,695183.7690020413
0.1,827068.9214518702,993341.8201697432,661962.9561917708
0.2,817711.2818866431,955410.5413465294,661962.9561917708
0.3,829486.5618297117,974107.8968326013,661962.9561917708
0.4,826835.9561580371,965646.1910886362,661962.9561917708
0.5,834267.5539910822,963292.4775006401,661962.9561917708
0.6,821979.0593231228,982596.9915399215,661962.9561917708
0.7,827496.7485369283,938544.7521035438,661962.9561917708
0.8,824023.367376409,926398.5011753635,661962.9561917708
0.9,839300.648990816,951309.3642442919,661962.9561917708
1,832625.2527514863,920299.721332938,661962.9561917708
0.1,820950.0781862638,951204.6885199442,656760.4495093515
0.2,828532.7371509183,948616.0912997619,656760.4495093515
0.3,835164.1508546285,961657.7511068737,656760.4495093515
0.4,827715.8454357026,916527.209549056,656760.4495093515
0.5,825286.5477985664,911762.492943525,656760.4495093515
0.6,817962.3631585885,895360.7031860998,656760.4495093515
0.7,822623.1970407176,899638.4493979365,656760.4495093515
0.8,817059.544846901,884685.9233526627,656760.4495093515
0.9,817977.0702093049,894795.1682055441,656760.4495093515
1,833928.5976434132,867444.6681883835,656760.4495093515
0.1,866359.3709876353,975985.1216781621,688680.4760887198
0.2,868853.5360550896,925342.2558240542,688680.4760887198
0.3,867838.2550148927,1024321.4967334272,688680.4760887198
0.4,876072.9243140076,999042.3148056109,688680.4760887198
0.5,873173.3240523612,961681.8082476615,688680.4760887198
0.6,865217.4257623326,965180.9453235428,688680.4760887198
0.7,861943.5441546655,970062.6364548414,688680.4760887198
0.8,867429.2053810154,992014.5401268206,688680.4760887198
0.9,881462.6636536481,913470.2276247493,688680.4760887198
1,877304.2320074354,945068.7347736312,688680.4760887198
0.1,865482.5980096682,932718.4914607719,682388.2379183229
0.2,861200.507348862,969638.1760614463,682388.2379183229
0.3,854429.6839042072,954423.5941868299,682388.2379183229
0.4,859058.9614024619,935668.2000396928,682388.2379183229
0.5,857885.888294975,966531.0044838408,682388.2379183229
0.6,863765.4916949979,949668.3105884668,682388.2379183229
0.7,857653.618939428,933218.9100584595,682388.2379183229
0.8,858120.3363589486,955990.823001936,682388.2379183229
0.9,862312.4422864369,892030.7521272826,682388.2379183229
1,851892.4080064168,920973.3452693478,682388.2379183229
0.1,831272.3277914039,981181.5022238385,654464.7830271883
0.2,818965.6213515522,1014314.4554106932,654464.7830271883
0.3,827584.9886705853,990453.4113972435,654464.7830271883
0.4,813575.1468649236,961278.911504921,654464.7830271883
0.5,832164.77275957,972485.7340986303,654464.7830271883
0.6,814487.0225651813,964381.7139683588,654464.7830271883
0.7,821576.6399515781,915362.7460093031,654464.7830271883
0.8,824576.7440903594,957880.446428546,654464.7830271883
0.9,823643.4873462709,911240.5982356598,654464.7830271883
1,832181.7727390522,946264.9750592517,654464.7830271883
0.1,829817.6586601473,1051301.07610361,671094.6253296195
0.2,834803.9429067876,1138165.202133794,671094.6253296195
0.3,847221.1033353718,1083015.4356598405,671094.6253296195
0.4,842232.845629234,1107907.8716407048,671094.6253296195
0.5,826884.3804728949,1044478.6081113024,671094.6253296195
0.6,847493.0341459885,1085472.3151094783,671094.6253296195
0.7,839478.9347915798,1058880.5587999008,671094.6253296195
0.8,851507.8211844028,1092766.928710082,671094.6253296195
0.9,840821.4865254768,1077317.8774059722,671094.6253296195
1,854340.1200026456,1025292.1317423504,671094.6253296195
