Fat,Paper,Min Time,Time opt
0.1,3469897.1626555463,3259948.767499382,3259948.767499382
0.2,1727845.7559970305,1944447.8014037018,1448967.059155269
0.3,1304707.7372840785,1671313.5767523693,821548.1306845587
0.4,1183490.878233309,1619903.0856652579,680996.5163027159
0.5,1146284.6465676816,1558102.3596686497,680996.5163027159
0.6,1140453.0092228595,1509290.5228310334,680996.5163027159
0.7,1136213.6655098803,1480482.1996558707,680996.5163027159
0.8,1086144.6449514537,1435228.0251403505,680996.5163027159
0.9,1071784.526800326,1436216.9056308018,680996.5163027159
1,1009484.313723238,1324838.3456248455,680996.5163027159
0.1,3356808.3989752606,3141985.54205204,3141985.54205204
0.2,1645279.0161018402,1865950.9047837819,1390499.5624914637
0.3,1312881.8764909753,1715285.294930742,801493.323227581
0.4,1187624.2442193464,1614931.4414844683,665670.2079130015
0.5,1150794.3107928818,1570235.0101345468,665670.2079130015
0.6,1106607.5076221821,1527147.2368207448,665670.2079130015
0.7,1093828.3741685248,1464750.9231575418,665670.2079130015
0.8,1063265.1445969816,1457071.8729630131,665670.2079130015
0.9,1026958.828362318,1389183.3229632073,665670.2079130015
1,1027169.670490213,1350107.0863192843,665670.2079130015
0.1,3304225.320347266,3100587.4871582747,3100587.4871582747
0.2,1549936.0017243957,1799929.7980095432,1297721.918361061
0.3,1216598.8287168813,1614731.7196020111,805136.8098601229
0.4,1141805.267600001,1543393.9273769364,651307.2591571598
0.5,1129652.909868967,1514083.833182348,651307.2591571598
0.6,1101616.4720234587,1412103.9185801263,651307.2591571598
0.7,1035474.8128244003,1411383.4023756413,651307.2591571598
0.8,1034218.8547249231,1387280.7796984734,651307.2591571598
0.9,1018807.8534097126,1347415.7605904115,651307.2591571598
1,995870.6868086234,1317405.0054025245,651307.2591571598
0.1,3502489.2643469325,3305677.447084119,3305677.447084119
0.2,1695131.0941143539,1842773.445040723,1375858.8598494395
0.3,1314143.0614455272,1705903.8429472516,820974.9844285682
0.4,1228778.4706492696,1634182.5475847719,695185.5852770898
0.5,1176587.463485065,1604807.5730446517,695185.5852770898
0.6,1158855.1215258343,1544356.9353465699,695185.5852770898
0.7,1140122.184964783,1478641.7978162693,695185.5852770898
0.8,1121704.6058518104,1444077.2175209702,695185.5852770898
0.9,1088599.089234805,1394945.4221411997,695185.5852770898
1,1072623.119925401,1343378.2375638352,695185.5852770898
0.1,3336654.6400191453,3132089.1150635015,3132089.1150635015
0.2,1625302.1741739041,1923071.116103687,1385042.7027705435
0.3,1237144.4536522941,1663057.3591453298,829073.059244559
