Fat,Paper,Min Time,Time opt
0.1,2042717.6303107748,1164529.3228276926,1164529.3228276926
0.2,1041012.1769671008,1090505.7815799443,680994.5757418879
0.3,920392.0033665141,1071771.6330767744,680994.5757418879
0.4,872858.9425796039,1024161.8600151518,680994.5757418879
0.5,846315.6901324582,975032.3208238181,680994.5757418879
0.6,850750.8668495575,960501.3374598522,680994.5757418879
0.7,842305.6289709323,867413.5383196404,680994.5757418879
0.8,850561.140056541,773316.9287578819,680994.5757418879
0.9,832473.5671860847,795028.8445808295,680994.5757418879
1,839263.5243798923,713090.4881527864,680994.5757418879
0.1,1937688.4222283189,1031285.639299475,1031285.639299475
0.2,1001282.9406508427,967661.2590186115,665668.3560278681
0.3,882502.3237576267,970649.588326426,665668.3560278681
0.4,877857.9225490108,918473.5659356355,665668.3560278681
0.5,851602.5201617301,925345.5166944858,665668.3560278681
0.6,845737.679099993,904877.5563527835,665668.3560278681
0.7,854139.1409481603,845741.1673816425,665668.3560278681
0.8,830867.8919722575,801566.774879648,665668.3560278681
0.9,847502.5606619451,770246.6955158806,665668.3560278681
1,848247.1599359523,730361.2414904884,665668.3560278681
0.1,1899749.016364611,1058849.9961097452,1058849.9961097452
0.2,1005061.3495369471,983957.7894217621,651305.3816708076
0.3,879540.4891990165,969406.0041262927,651305.3816708076
0.4,823636.4363400353,931602.2181577047,651305.3816708076
0.5,828823.3431754662,897917.9930437773,651305.3816708076
0.6,822552.8473704132,893729.7352072906,651305.3816708076
0.7,812664.4893716731,813930.0279810692,651305.3816708076
0.8,817971.401306064,763489.0058070055,651305.3816708076
0.9,809982.5574477654,730580.6704779105,651305.3816708076
1,807168.9111651005,728858.6481117093,651305.3816708076
0.1,2187063.0393624664,1322257.0347346144,1322257.0347346144
0.2,1080488.743577559,1199831.4462678933,695183.7690020413
0.3,929859.9438266787,1131224.380867097,695183.7690020413
0.4,867982.6989484483,1068560.1123580092,695183.7690020413
0.5,853559.8761561821,1059081.7603635932,695183.7690020413
0.6,831019.8226075792,994172.5457635538,695183.7690020413
0.7,851081.0139814907,913599.635019853,695183.7690020413
0.8,856352.8903367085,852774.8731055036,695183.7690020413
0.9,868225.1656120586,772532.4743037914,695183.7690020413
1,850495.0273414528,721677.7133331749,695183.7690020413
0.1,1993518.437712453,1131994.2453439527,1131994.2453439527
0.2,1044961.3758119304,1065532.7828003892,661962.9561917708
0.3,900643.5849007955,1022801.4548297079,661962.9561917708
0.4,861390.0761522065,1026959.6740668028,661962.9561917708
0.5,829311.7565563712,977785.4924305264,661962.9561917708
0.6,820809.0540270095,915910.0351424377,661962.9561917708
0.7,818004.7966425216,845673.8765307367,661962.9561917708
0.8,810568.7288998833,796769.2243657636,661962.9561917708
0.9,821771.1689296386,812492.0448411134,661962.9561917708
1,834239.3773207399,704024.9021515924,661962.9561917708
0.1,1939435.894630915,1097469.5832831147,1097469.5832831147
0.2,1014810.98376348,1020307.5584012851,656760.4495093515
0.3,866384.0405574393,1012991.1078331138,656760.4495093515
0.4,846494.8858924787,946052.1834522907,656760.4495093515
0.5,827842.4347129003,915969.9775098803,656760.4495093515
0.6,827104.0314773993,890146.899929827,656760.4495093515
0.7,820711.3644656384,827637.5648272175,656760.4495093515
0.8,816888.1278929105,829500.5440829524,656760.4495093515
0.9,815466.070241266,761763.4847730738,656760.4495093515
1,814044.6934512052,732714.0820848667,656760.4495093515
0.1,2041402.8674801332,1174107.5051234285,1174107.5051234285
0.2,1037319.6645749288,1056206.922566802,688680.4760887198
0.3,907132.7285613006,1047819.6279963185,688680.4760887198
0.4,872655.1719216512,979425.3207546243,688680.4760887198
0.5,864546.4489390271,973150.1733625391,688680.4760887198
0.6,864597.7864773481,947735.8193060999,688680.4760887198
0.7,855760.0244964802,868419.9653818335,688680.4760887198
0.8,856768.9830203501,829367.6429737213,688680.4760887198
0.9,865566.8753910698,763595.9570428376,688680.4760887198
1,859049.4964843445,755739.9556691713,688680.4760887198
0.1,2007577.0124359017,1088869.1789077362,1088869.1789077362
0.2,1017226.7781659983,1006749.7623080252,682388.2379183229
0.3,918642.3829797095,1011293.907547853,682388.2379183229
0.4,858713.7883266069,999294.6941922493,682388.2379183229
0.5,851699.1536028258,925905.1645821056,682388.2379183229
0.6,855397.7930003385,922842.2607400583,682388.2379183229
0.7,852778.0975757324,884190.1614114197,682388.2379183229
0.8,849216.1042834013,789728.0032201246,682388.2379183229
0.9,861173.0830546119,721931.7867959253,682388.2379183229
1,830279.584078222,709123.6333341408,682388.2379183229
0.1,1976806.136976969,1144684.3916978522,1144684.3916978522
0.2,1073633.5618580729,1077344.2324063366,654464.7830271883
0.3,903351.5710787461,1047362.4952403677,654464.7830271883
0.4,825588.1172695097,970190.9849156531,654464.7830271883
0.5,813147.8991454953,957570.601951792,654464.7830271883
0.6,810590.8152931093,920164.8567377647,654464.7830271883
0.7,806874.7256600537,839964.3212638155,654464.7830271883
0.8,810216.3415855977,782928.0459343422,654464.7830271883
0.9,809404.3513501456,737432.1998039982,654464.7830271883
1,820519.0322884292,694413.0151912059,654464.7830271883
0.1,2141765.292043454,1320833.9012269292,1320833.9012269292
0.2,1069192.6407972968,1214905.5406321094,671094.6253296195
0.3,948712.3374403853,1210647.2440108594,671094.6253296195
0.4,850040.6926114033,1115528.4957096132,671094.6253296195
0.5,854024.5966742219,1123258.6541696277,671094.6253296195
0.6,848117.0189670776,965201.5756686468,671094.6253296195
0.7,837642.8738416,1002614.576300206,671094.6253296195
0.8,836476.3726125605,829921.158217654,671094.6253296195
0.9,828513.668135912,764040.2830414042,671094.6253296195
1,836394.9323088619,702426.4542932702,671094.6253296195
