jump,Paper,Min Time,Time opt
1,989737.1798875215,989725.5324956108,680996.5163027159
2,967072.7255153306,967088.0106297727,680996.5163027159
3,997056.2314749339,997048.8212856179,680996.5163027159
4,984035.4271828771,984053.8334076713,680996.5163027159
5,942438.7619236287,942427.114531718,680996.5163027159
6,956344.0076072438,956358.1766294433,680996.5163027159
7,979105.9130079999,979021.2108518215,680996.5163027159
8,954192.4313083319,954180.7839164211,680996.5163027159
9,956735.5749109542,956728.1647216382,680996.5163027159
10,983961.869055321,983976.0380775204,680996.5163027159
1,896495.1863153978,896494.0216690059,665670.2079130015
2,944189.7680809709,944188.6034345789,665670.2079130015
3,943217.2617875157,943216.0971411237,665670.2079130015
4,920342.4835062778,920341.3188598858,665670.2079130015
5,893689.585788999,893693.0624917778,665670.2079130015
6,895301.6720943495,895305.1487971283,665670.2079130015
7,941145.0525673575,941143.8879209656,665670.2079130015
8,926725.5513791982,926724.3867328062,665670.2079130015
9,878272.2211627018,879232.8129787849,665670.2079130015
10,917586.3795697421,917585.2149233501,665670.2079130015
1,886794.3043981068,886799.4512974777,651307.2591571598
2,932865.6896282969,932870.8365276678,651307.2591571598
3,921556.2021919494,918852.6126361191,651307.2591571598
4,878438.1484389093,878435.5274047616,651307.2591571598
5,908708.0906934099,908687.1175314415,651307.2591571598
6,866241.4412607792,866238.8202266315,651307.2591571598
7,892162.0213916192,887531.3181170154,651307.2591571598
8,903657.7137140809,900688.0340211373,651307.2591571598
9,894960.2822345275,894957.66120038,651307.2591571598
10,893443.3783859478,895123.7997861297,651307.2591571598
1,1076839.6640262997,1076835.9179323746,695185.5852770898
2,1089827.2177057797,1089827.2177057797,695185.5852770898
3,1064991.9978077232,1064991.9978077232,695185.5852770898
4,1061675.8356185495,1061675.8356185495,695185.5852770898
5,992524.944126604,992524.944126604,695185.5852770898
6,1053076.5244402252,1053076.5244402252,695185.5852770898
7,1048699.086909012,1048699.086909012,695185.5852770898
8,1050337.2408443242,1050333.4947503991,695185.5852770898
9,1029633.0129820677,1029633.0129820677,695185.5852770898
10,1077384.20245701,1077384.20245701,695185.5852770898
1,968194.4820775819,969648.1034978094,661964.7892956203
2,1004559.1133912537,1004574.8362484042,661964.7892956203
3,944235.361136834,944251.0839939845,661964.7892956203
4,934188.7787152393,934184.1775931722,661964.7892956203
5,952339.1808599796,964396.5065902894,661964.7892956203
6,954968.6450822374,954984.3679393879,661964.7892956203
7,984702.1511362437,984697.5500141768,661964.7892956203
8,930460.7733520442,930476.4962091948,661964.7892956203
9,934558.3130842018,934553.7119621348,661964.7892956203
10,939980.1507544692,944149.5240865869,661964.7892956203
1,917684.6489893312,917684.6489893312,656762.2775112868
2,894997.2039243163,895280.9978794033,656762.2775112868
3,875473.2165708154,875487.9648953197,656762.2775112868
4,931321.1138356229,930634.894051449,656762.2775112868
5,898039.1511113314,898039.1511113314,656762.2775112868
6,875242.029760113,875256.7780846172,656762.2775112868
7,936950.7682521562,936937.9707732126,656762.2775112868
8,905923.4837072373,905923.4837072373,656762.2775112868
9,901666.8502704852,901666.8502704852,656762.2775112868
10,904776.2147020339,904790.9630265381,656762.2775112868
1,963261.5145042727,963255.785152922,688682.2888688851
2,1019475.9593420648,1019475.9593420648,688682.2888688851
3,967918.9079064486,967918.9079064486,688682.2888688851
4,992774.7079076936,992774.7079076936,688682.2888688851
5,975278.6271114462,975278.6271114462,688682.2888688851
6,969549.1353600905,969556.4673115072,688682.2888688851
7,946949.4638219385,946949.4638219385,688682.2888688851
8,954877.1304205231,954257.5949966267,688682.2888688851
9,1008541.0716229379,1008535.3422715871,688682.2888688851
10,992482.0542080968,992482.0542080968,688682.2888688851
1,940225.5068676475,940220.3246584454,682390.0572946991
2,958283.5550476823,958278.3728384802,682390.0572946991
3,926204.7812313862,926225.3942043768,682390.0572946991
4,934714.1711799154,934708.9889707133,682390.0572946991
5,974475.7271591926,974496.3401321832,682390.0572946991
6,936523.0753305042,942546.6883630049,682390.0572946991
7,972590.9170093018,972611.5299822924,682390.0572946991
8,936503.2052803393,936862.6113047504,682390.0572946991
9,944135.8326862379,944156.4456592285,682390.0572946991
10,965921.840945288,955088.873309926,682390.0572946991
1,952654.2357092007,952664.7887975833,654466.7297662625
2,955579.4937071031,955620.2996733399,654466.7297662625
3,959360.6830270147,959923.4853742233,654466.7297662625
4,930746.2625119962,930756.8156003788,654466.7297662625
5,949548.2577665012,949534.5487278763,654466.7297662625
6,973835.2515216296,974069.1380247188,654466.7297662625
7,925469.4915340409,925491.3826760936,654466.7297662625
8,908126.3286140648,908148.2197561176,654466.7297662625
9,918632.1088799543,918642.661968337,654466.7297662625
10,956303.0930937224,956294.2350825544,654466.7297662625
1,1087637.5015415854,1087637.5015415854,671096.4806446494
2,1131562.6833584066,1131562.6833584066,671096.4806446494
3,1065230.5859130567,1065230.5859130567,671096.4806446494
4,1042038.3745421298,1042038.3745421298,671096.4806446494
5,1081566.7139413313,1081566.7139413313,671096.4806446494
6,1094889.395388084,1094889.395388084,671096.4806446494
7,1099752.0995244943,1099752.0995244943,671096.4806446494
8,1099704.7893299535,1099704.7893299535,671096.4806446494
9,1069078.340721901,1069078.340721901,671096.4806446494
10,1013404.5908129164,1013404.5908129164,671096.4806446494
