jump,Paper,Min Time,Time opt
1,853343.0274969675,1007725.0635878543,680994.5757418879
2,848942.9621347631,955979.225203106,680994.5757418879
3,859323.9630963233,980938.8492987598,680994.5757418879
4,846765.5176772182,969939.2593584904,680994.5757418879
5,840868.4871707784,949566.6601091434,680994.5757418879
6,832435.8680827785,955865.830449571,680994.5757418879
7,859891.7492315213,991492.945168948,680994.5757418879
8,859010.0525704626,982013.554334284,680994.5757418879
9,856950.1795295851,979772.2348228899,680994.5757418879
10,854115.6611555064,954825.7477717904,680994.5757418879
1,861134.425994937,899557.0182028343,665668.3560278681
2,851723.6673673143,914761.0437778399,665668.3560278681
3,840676.9705592162,926694.7609061152,665668.3560278681
4,850044.4862750615,932873.3552247485,665668.3560278681
5,847468.6805735155,929213.2960288397,665668.3560278681
6,855503.3783485824,918738.7228329722,665668.3560278681
7,845156.13843947,926561.2332191096,665668.3560278681
8,846349.9670887081,917941.261806022,665668.3560278681
9,846955.5241959472,922816.1664834744,665668.3560278681
10,848300.7229342193,920877.4177618199,665668.3560278681
1,827333.3772878913,915985.5010185896,651305.3816708076
2,832982.9814724786,903252.6105653514,651305.3816708076
3,813269.1739733856,906621.2463660885,651305.3816708076
4,831912.1348281391,867918.0514481989,651305.3816708076
5,819225.5301518163,889127.7538591864,651305.3816708076
6,826132.1061646995,861531.1675731748,651305.3816708076
7,815639.4502359825,908468.4942584109,651305.3816708076
8,816310.9621908985,945357.0860572363,651305.3816708076
9,825996.754972814,881271.832735064,651305.3816708076
10,820101.3871986978,889119.3611363072,651305.3816708076
1,850603.2395458174,1050626.4782230814,695183.7690020413
2,859623.2141641352,1030156.0628999909,695183.7690020413
3,847563.7082419443,1071418.728202506,695183.7690020413
4,863107.7795061205,1029375.9567486953,695183.7690020413
5,841505.9534942752,1043763.1906022307,695183.7690020413
6,851893.6776511811,1033717.3614049589,695183.7690020413
7,844136.2401919542,1013065.8063698111,695183.7690020413
8,844072.6787903258,1100968.628668019,695183.7690020413
9,847806.2070544643,1082058.587381347,695183.7690020413
10,862555.2358954705,1050993.752524298,695183.7690020413
1,822207.7655242742,979868.1960033551,661962.9561917708
2,831211.442210391,935027.0273156323,661962.9561917708
3,830594.1924511308,940933.633968964,661962.9561917708
4,823265.7947290726,966280.1790706358,661962.9561917708
5,824256.0782973628,922054.7504339005,661962.9561917708
6,827938.3621920252,963933.8711748926,661962.9561917708
7,821955.2483638687,963022.5458532686,661962.9561917708
8,840291.1899275528,900340.5332530034,661962.9561917708
9,817279.5029900151,944660.1862136094,661962.9561917708
10,831071.9763139659,953752.1320699772,661962.9561917708
1,815878.8043033013,896330.6889791072,656760.4495093515
2,826088.9045195509,943306.967457171,656760.4495093515
3,828619.8662375505,907713.3465240046,656760.4495093515
4,825837.5705618643,912212.3675790023,656760.4495093515
5,824727.2883963217,931420.5122476545,656760.4495093515
6,820613.123139393,931827.3928964286,656760.4495093515
7,823583.241874383,914520.9492538407,656760.4495093515
8,819840.679203019,939493.8491731798,656760.4495093515
9,824499.8523232047,934562.0478104434,656760.4495093515
10,815082.3951942674,901144.4713581691,656760.4495093515
1,860428.6333895023,965334.7132373818,688680.4760887198
2,870315.4090886632,981462.8179436382,688680.4760887198
3,867184.6154440019,989558.6811536809,688680.4760887198
4,854300.8398049147,978138.3194973434,688680.4760887198
5,855212.8688735109,937568.4455865229,688680.4760887198
6,862767.8476207004,982382.4229912956,688680.4760887198
7,861471.6419951407,953267.6508307862,688680.4760887198
8,859640.9670455324,925973.9553679329,688680.4760887198
9,858672.5630049589,997466.476896723,688680.4760887198
10,861843.5338818498,996287.6611036219,688680.4760887198
1,866423.310822594,966915.0975286216,682388.2379183229
2,857267.4440287689,965880.3919861246,682388.2379183229
3,854565.6953021325,941889.4070348082,682388.2379183229
4,856631.5580578698,945771.2878394251,682388.2379183229
5,854654.9873539496,900982.6005891181,682388.2379183229
6,856078.0564868014,929399.0490759526,682388.2379183229
7,858048.7787509536,947982.8980996977,682388.2379183229
8,852238.9937406473,944980.5932706437,682388.2379183229
9,858822.0320134967,918734.1377932287,682388.2379183229
10,847900.8498494301,904727.7690678664,682388.2379183229
1,830416.5137326964,978092.295166668,654464.7830271883
2,810758.283138912,971883.9636001119,654464.7830271883
3,819475.7066190058,957956.8763585329,654464.7830271883
4,819652.6409667683,950217.6663668029,654464.7830271883
5,827184.241064026,907362.9870411786,654464.7830271883
6,809353.2339667692,981188.8676567129,654464.7830271883
7,800923.2348926722,906480.080220613,654464.7830271883
8,818765.1602070834,976319.3981170626,654464.7830271883
9,809443.7013435389,972393.6826821961,654464.7830271883
10,829486.7132799089,946407.2072359133,654464.7830271883
1,822030.184778566,1093470.1842726585,671094.6253296195
2,833666.2768098483,1137985.6843356495,671094.6253296195
3,832472.5215192821,1085597.6683325463,671094.6253296195
4,841560.8058285462,1123510.0997312684,671094.6253296195
5,823369.6507095905,1073505.0717564046,671094.6253296195
6,832454.8664984419,1095584.0597950164,671094.6253296195
7,830028.5751465964,1063559.1247474446,671094.6253296195
8,818728.9847023493,1006905.8616992555,671094.6253296195
9,854164.9690984455,1027882.6898179835,671094.6253296195
10,836327.8763458366,1075943.58215934,671094.6253296195
