regular,Paper,Min Time,Time opt
0.1,4023529.415306677,6588033.627128327,2207417.9607509864
0.2,4157260.8777938597,6557011.367839461,2279740.1649958384
0.3,4891610.070681935,6612932.071291819,2708709.254063642
0.4,4363011.431004045,6969579.276404018,2407116.91428776
0.5,4851556.202061698,6836492.542115715,2679676.0713980612
0.6,4644621.127890373,6666656.464092787,2576758.1250808514
0.7,4428669.0444650175,7202573.0391173065,2432275.95012682
0.8,4265925.471807405,6853775.8089157,2407809.510702763
0.9,4613521.105170734,7204766.9697917355,2577668.247503139
1,4417431.063053783,6689629.601548574,2444059.119628628
0.1,5331651.136919032,7499165.885500217,2972295.546628759
0.2,4274742.052865274,7106285.580394076,2358302.500279064
0.3,5006634.5325195575,7619710.339262139,2806180.9795949436
0.4,5390742.2996911565,7726572.107625482,2977602.78830921
0.5,5755086.429012557,8294476.264849584,3180354.8637814973
0.6,5121288.0899641365,7862132.263158584,2853342.221467562
0.7,5050454.573603614,7731837.471779057,2809590.8464991013
0.8,5203177.370897081,7324924.221586696,2903276.9548633727
0.9,4993934.023529909,7764068.820661041,2789019.082945191
1,5342616.807098952,7829368.949414613,2976026.682417605
0.1,4440331.4407279845,7564236.6120472355,2490744.999180799
0.2,5023451.115804816,7666309.504298026,2751312.667642269
0.3,5534022.793261495,7830270.695433856,3035172.556161955
0.4,5822955.571264637,7849885.632451346,3244186.6405331613
0.5,5730538.569858429,7839316.741172813,3139336.0593927805
0.6,4856236.058128155,7786198.825053465,2684790.6173606333
0.7,5812553.158710348,7550790.0288918875,3212667.2350113764
0.8,5548451.026046569,7618750.525526749,3061730.2605838133
0.9,5208909.925418005,7819604.28322836,2878439.5044957185
1,5485398.573034933,7527328.5175675,3030953.825728279
0.1,5264342.117239898,8596848.619530944,2885636.8017198727
0.2,6409171.182752445,8765474.004166028,3568109.4458980146
0.3,7083896.757613333,8586398.932722265,3906187.0465005874
0.4,5511542.139751506,8928904.07665162,3030266.5953323985
0.5,6799397.6195240365,8627612.987887051,3737324.4103376744
0.6,5822845.025385494,8544845.415585142,3205394.345962152
0.7,5519247.309525482,8649115.390534926,3032342.5103289513
0.8,6136838.2415774455,8266635.50384318,3396705.1189741176
0.9,7198352.212502919,9017079.851396395,3941748.77248306
1,5971888.898717582,8315470.545077373,3297519.168316519
0.1,4774125.112790823,7860488.657647893,2635325.56951759
0.2,4857152.577217627,7906938.911677651,2679317.5638776952
0.3,5259881.342678907,8069710.193185574,2930432.3333408996
0.4,4897508.173920967,7690061.449159704,2712108.0631365506
0.5,5107982.897706444,7931709.983980898,2828747.7625493025
0.6,5735866.147362554,8044468.021705025,3177590.394795266
0.7,5563562.876625078,7774810.198383008,3090037.704268515
0.8,5420045.474555021,8063264.762863057,3016622.1016078517
0.9,5006176.703834185,8228656.279372913,2769292.4902865435
1,5316872.6396076735,8062717.694004964,2937664.828328386
0.1,5826475.193904672,7687630.505203224,3159278.3087372975
0.2,5971175.21370393,7082538.398045328,3277187.484085157
0.3,5820689.092390388,7519657.979586595,3195059.2165802796
0.4,6034181.786285257,7184665.117815841,3266654.4566859133
0.5,6085689.639276804,7476907.5985606015,3292608.077196825
0.6,5801346.616005827,7280853.112068681,3172597.948099086
0.7,6323437.737023395,7379816.681224978,3470355.7142130337
0.8,5594919.993047416,7147027.600344448,3057525.295996673
0.9,5796862.267329168,7395504.229432509,3169817.462997504
1,5668986.202465029,7525600.124458197,3117904.3486178415
0.1,5012342.393581502,7881113.814520448,2733691.8395335744
0.2,5247312.6367819905,7979802.52314178,2884381.3870771835
0.3,6077125.390729942,7961465.955640037,3347263.8898169566
0.4,5477959.844379291,8660633.681285532,3023724.9103708775
0.5,6874641.776059746,8180359.4268763615,3796596.943956327
0.6,5565964.353307779,8153734.261282733,3047846.9238726203
0.7,5644892.554591903,8206274.535756357,3137565.069798121
0.8,6157123.914456246,8357954.077047775,3392872.089746583
0.9,5222425.23635235,8531205.527143043,2896749.0374262733
1,5601499.997944073,8099193.861952457,3092973.348839525
0.1,4765679.83667128,8919298.311528051,2625763.834045397
0.2,5684135.621669812,9183213.530951567,3125397.2267391887
0.3,6359096.267887054,9086605.261791322,3501508.2903265655
0.4,4722896.792461606,8922581.126077276,2607215.5010629157
