regular,Paper,Min Time,Time opt
0.1,989215.085475573,989207.6752862569,680996.5163027159
0.2,1013607.7728773684,1013621.9418995678,680996.5163027159
0.3,1010803.2458003332,1010817.4148225327,680996.5163027159
0.4,961548.2874884759,961540.8772991599,680996.5163027159
0.5,995755.072861013,995770.3579754551,680996.5163027159
0.6,940953.1388112061,940967.3078334056,680996.5163027159
0.7,1030915.0262097542,1030929.1952319536,680996.5163027159
0.8,985205.2966791157,985194.7653794476,680996.5163027159
0.9,1007250.4194556351,1007264.5884778346,680996.5163027159
1,972619.3919968527,972637.7982216469,680996.5163027159
0.1,890386.7346063403,890390.2113091191,665670.2079130015
0.2,918445.2989088217,918444.1342624297,665670.2079130015
0.3,917556.9989213826,917560.4756241614,665670.2079130015
0.4,928935.9567358686,928934.7920894766,665670.2079130015
0.5,931253.8962523452,931257.3729551241,665670.2079130015
0.6,923537.9287844184,923536.7641380264,665670.2079130015
0.7,937092.2830762385,937091.1184298465,665670.2079130015
0.8,918737.7729855127,918741.2496882916,665670.2079130015
0.9,923879.5867076698,923883.0634104486,665670.2079130015
1,900514.4173213267,900517.8940241055,665670.2079130015
0.1,884748.5899836418,884745.9689494942,651307.2591571598
0.2,876700.3340237155,876705.4809230864,651307.2591571598
0.3,896125.5520131368,896122.9309789891,651307.2591571598
0.4,926422.1435957705,926419.5225616229,651307.2591571598
0.5,909623.9204187719,909621.2993846242,651307.2591571598
0.6,908109.442698785,908106.8216646374,651307.2591571598
0.7,916183.9063416376,919125.8312918879,651307.2591571598
0.8,886083.8394037235,886088.9863030944,651307.2591571598
0.9,904553.9097151624,901850.3201593321,651307.2591571598
1,905054.1392098402,905051.5181756925,651307.2591571598
0.1,1019433.9938001184,1019433.9938001184,695185.5852770898
0.2,1094754.1778384913,1089699.3836043875,695185.5852770898
0.3,1037240.5369456285,1037240.5369456285,695185.5852770898
0.4,1060857.0269934472,1060857.0269934472,695185.5852770898
0.5,1060594.8421725375,1060594.8421725375,695185.5852770898
0.6,1070815.3924773776,1063835.132481491,695185.5852770898
0.7,1076439.4128575833,1076445.1479306512,695185.5852770898
0.8,1081865.3657224455,1081861.6196285204,695185.5852770898
0.9,1074634.4336392633,1074634.4336392633,695185.5852770898
1,1101792.5054978738,1101792.5054978738,695185.5852770898
0.1,963261.2238497656,968774.1410092771,661964.7892956203
0.2,939936.4454809811,937871.2880388611,661964.7892956203
0.3,930547.493938014,930542.892815947,661964.7892956203
0.4,945046.30137523,945041.7002531629,661964.7892956203
0.5,969070.3676415512,962383.3043769785,661964.7892956203
