density,Paper,Min Time,Time opt
0.1,815504.4083068565,1616874.6894874729,680994.575741888
0.2,811782.5050242762,1627130.533335063,680994.575741888
0.3,839448.7577035184,1603614.320078961,680994.575741888
0.4,817946.2226259584,1578483.3164062523,680994.575741888
0.5,866541.9030188893,1653539.4345859208,680994.575741888
0.6,844169.7756341598,1571826.7122931269,680994.575741888
0.7,852755.2057188506,1624367.259693667,680994.575741888
0.8,868618.2748855966,1586188.8000490542,680994.575741888
0.9,902692.7273316714,1616788.0400262757,680994.575741888
1,922025.4600637072,1578106.9393596426,680994.575741888
0.1,774967.0857155682,1594019.8414636813,665668.3560278681
0.2,822144.4128226046,1603900.1948863433,665668.3560278681
0.3,797188.1429711799,1623651.4354839881,665668.3560278681
0.4,826584.5957911706,1650040.5292094813,665668.3560278681
0.5,795666.996563122,1633990.4723878,665668.3560278681
0.6,874626.2803070047,1629456.9303625086,665668.3560278681
0.7,865485.8319342997,1631887.022119361,665668.3560278681
0.8,858986.9375795953,1612024.102412938,665668.3560278681
0.9,871159.7811410199,1611065.7799452457,665668.3560278681
1,843933.8902875124,1616685.1120316323,665668.3560278681
0.1,787794.2952628799,1474818.053714187,651305.3816708077
0.2,784988.770716348,1564973.2686218636,651305.3816708077
0.3,808675.5191084208,1565799.4131963418,651305.3816708077
0.4,787879.0701950155,1541685.2600633202,651305.3816708077
0.5,801344.3661080253,1588028.971972911,651305.3816708077
0.6,812216.044955217,1537500.1987965275,651305.3816708077
0.7,830181.5872653777,1571253.6253948698,651305.3816708077
0.8,803229.860410144,1538657.259366724,651305.3816708077
0.9,830066.0939712703,1507035.6215581733,651305.3816708077
1,837873.2301170201,1537083.7292901797,651305.3816708077
0.1,839004.719354619,1629378.7706466939,695183.7690020413
0.2,855622.4686088702,1637326.732437632,695183.7690020413
0.3,845139.2263939383,1676382.9167211482,695183.7690020413
0.4,842373.9472258184,1673177.964926651,695183.7690020413
0.5,860425.7177800831,1629755.162354763,695183.7690020413
0.6,878654.9021818183,1608839.7858832676,695183.7690020413
0.7,890539.8966095481,1592791.5798817489,695183.7690020413
0.8,912873.5496975046,1604150.0756576324,695183.7690020413
0.9,863987.337380221,1597315.184620869,695183.7690020413
1,918900.3860665953,1611743.266816225,695183.7690020413
0.1,797793.5924741379,1579161.686148726,661962.9561917708
0.2,789372.8010758987,1574583.744043088,661962.9561917708
0.3,796565.514075938,1611415.1281317174,661962.9561917708
0.4,811197.1057809673,1583314.8784122616,661962.9561917708
0.5,834451.4890408184,1584241.4658669785,661962.9561917708
0.6,818314.1295058306,1570618.6884060502,661962.9561917708
0.7,792502.293361859,1605183.5109026046,661962.9561917708
0.8,803366.5315461198,1603521.0805520974,661962.9561917708
0.9,875724.0449808643,1576247.173393446,661962.9561917708
1,847471.8683710226,1594397.2418936305,661962.9561917708
0.1,831183.8125247345,1579289.142966039,656760.4495093515
0.2,772774.9255959474,1560261.8684349537,656760.4495093515
0.3,789046.4380789412,1576946.538749815,656760.4495093515
0.4,825181.6127673117,1566105.0993528797,656760.4495093515
0.5,795511.5380013136,1597496.2824785905,656760.4495093515
0.6,815326.0612791654,1538496.2006801236,656760.4495093515
0.7,857568.2943660117,1573380.0523397387,656760.4495093515
0.8,815835.7363298849,1562562.884744415,656760.4495093515
0.9,796023.3035686152,1517868.950566073,656760.4495093515
1,841981.475321264,1540345.4689036733,656760.4495093515
0.1,812722.9942876882,1652469.8603438023,688680.4760887198
0.2,807073.6558496689,1638489.3934561466,688680.4760887198
0.3,808083.6805264953,1666035.0686843353,688680.4760887198
0.4,826268.2963607255,1628848.146816312,688680.4760887198
0.5,864293.7014673809,1614995.47501243,688680.4760887198
0.6,825090.4909874015,1607914.9212424785,688680.4760887198
0.7,844105.8843465657,1597827.121685164,688680.4760887198
0.8,849801.1628825364,1645790.929227747,688680.4760887198
0.9,918624.9574937179,1617983.2315959812,688680.4760887198
1,894568.1002573441,1613205.0289732635,688680.4760887198
0.1,794218.8475042764,1672489.1335465324,682388.2379183229
0.2,789006.6102474575,1625974.5388811103,682388.2379183229
0.3,843593.8376851431,1656189.244031677,682388.2379183229
0.4,808803.0400839297,1619768.7353951558,682388.2379183229
0.5,824879.2593636041,1672179.3883656743,682388.2379183229
0.6,837495.8780448312,1667193.680117686,682388.2379183229
0.7,877370.4188859724,1643890.2316860424,682388.2379183229
0.8,830920.4047615242,1623738.0722566429,682388.2379183229
0.9,865335.8078355152,1606110.6392865253,682388.2379183229
1,840423.5587628027,1598869.6453442147,682388.2379183229
0.1,798134.3381828979,1483188.2676355818,654464.7830271883
0.2,799456.2614691042,1538319.2917594102,654464.7830271883
0.3,810354.6181163245,1540236.3524641255,654464.7830271883
0.4,782162.7835700307,1557340.164027026,654464.7830271883
0.5,842952.6255206139,1556646.6873205293,654464.7830271883
