Fat,Paper,Min Time,Time opt
0.1,27737270.280348133,8732607.263446499,8732607.263446499
0.2,14361282.09677755,8732607.263446497,4565103.3105278695
0.3,12917180.004437935,8732607.263446497,4127304.159061
0.4,10942573.14796607,8732607.263446497,3531293.337244801
0.5,7440885.755053137,8732607.263446497,2425280.548435411
0.6,4461446.16996091,8732607.263446504,1437456.6641774694
0.7,4075318.745337484,8732607.263446504,1285037.3006960263
0.8,2455728.336780229,8732607.263446497,770617.0417028224
0.9,2020058.6670073716,8732607.263446499,680994.575741888
1,1052197.8311441033,8732607.2634465,680994.575741888
0.1,29174218.55680236,9308057.7540304,9308057.7540304
0.2,14836023.277998256,9308057.754030405,4749090.432025297
0.3,13337711.465719685,9308057.754030406,4343719.260605913
0.4,11029308.058659349,9308057.754030405,3646017.3357262146
0.5,9071235.734323539,9308057.75403041,2997522.495563436
0.6,4792678.086537965,9308057.754030403,1583306.9972135597
0.7,3931669.3500771634,9308057.75403041,1310963.9288538226
0.8,2131237.931420696,9308057.754030414,719103.529335719
0.9,1953027.4921304248,9308057.754030403,665668.3560278681
1,1987424.8552849232,9308057.754030408,665668.3560278681
0.1,28026569.617234,8886801.010959618,8886801.010959618
0.2,13865995.201296017,8886801.010959616,4388432.890178475
0.3,13465667.50920159,8886801.010959618,4376690.354095588
0.4,12492264.016370876,8886801.010959618,4044245.513574129
0.5,7563566.25005899,8886801.01095962,2453089.146122103
0.6,6712025.89257819,8886801.010959616,2161369.061226958
0.7,4279615.166012346,8886801.010959622,1381091.0815783078
0.8,2608593.886543431,8886801.010959618,850924.5551177259
0.9,1996670.1638656561,8886801.010959616,681560.6480145513
1,1579630.7976327564,8886801.010959616,651305.3816708077
0.1,33102874.396930967,10542286.164486926,10542286.164486926
0.2,18012888.464563075,10542286.164486924,5786871.9088727785
0.3,16785847.28104803,10542286.164486922,5466569.444241657
0.4,14048722.099082595,10542286.16448692,4587996.309565542
0.5,9715345.955345562,10542286.164486922,3181660.603885416
0.6,7251543.4129268285,10542286.16448692,2403323.7039423697
0.7,3992001.0111518493,10542286.16448692,1307447.3703259288
0.8,2513902.1135306098,10542286.164486917,820098.5255544082
0.9,1951995.7878136802,10542286.164486915,695183.7690020413
1,1041508.6343406464,10542286.164486911,695183.7690020413
0.1,29485135.016899,9382846.433924496,9382846.433924496
0.2,16257528.018911181,9382846.433924498,5196189.025034764
0.3,13585885.836991303,9382846.433924494,4436076.882685004
0.4,12221097.832532326,9382846.433924498,3999936.5442832885
0.5,8428658.992741676,9382846.433924496,2784866.340403349
0.6,5805708.854553302,9382846.433924498,1941221.3202935993
0.7,4533553.733215676,9382846.433924496,1502542.1162031253
0.8,3175261.384572651,9382846.433924496,1068978.4477030237
0.9,2364779.5054440033,9382846.433924487,804809.1267701911
1,1182583.53201405,9382846.433924496,661962.9561917708
0.1,26415951.1955956,8332293.115632522,8332293.115632522
0.2,14545624.853443364,8332293.115632522,4627706.406307378
0.3,13661619.388723679,8332293.115632524,4395069.606401435
0.4,12091696.73479333,8332293.11563252,3909757.4684174946
0.5,8858961.106783025,8332293.115632524,2884996.3224685835
0.6,6406462.596805271,8332293.115632522,2114320.411203043
0.7,5123823.297915839,8332293.115632526,1661746.7440345408
0.8,3974214.7434889404,8332293.115632524,1328387.65718064
0.9,1814636.232476182,8332293.115632521,656760.4495093515
1,1950852.854760046,8332293.115632524,656760.4495093515
0.1,30211124.23349071,9560333.529117024,9560333.529117024
0.2,14145512.427446524,9560333.529117027,4466134.730697571
0.3,12525025.115238896,9560333.529117024,4075217.8999653244
0.4,12624043.514101632,9560333.52911702,4151977.5884709684
0.5,9473129.48602349,9560333.529117024,3122809.1033193143
0.6,6792463.459899224,9560333.529117022,2229240.849787243
0.7,4852490.166929244,9560333.52911703,1585995.838049847
0.8,2491358.158883183,9560333.529117003,834522.1942139068
0.9,1919752.5174781864,9560333.529117005,688680.4760887198
1,1962385.9751481502,9560333.529117025,688680.4760887198
0.1,33043368.946107123,10476954.120251453,10476954.120251453
0.2,17437024.687510747,10476954.12025145,5538801.420283115
0.3,15433398.33475314,10476954.120251454,4958293.499939895
0.4,11714673.333624268,10476954.120251453,3761632.8245518687
0.5,9459663.04125591,10476954.12025145,3033628.495375763
0.6,7756793.798016669,10476954.120251453,2499520.603289179
0.7,4338440.44424425,10476954.120251453,1396246.1490286265
0.8,2341273.124346884,10476954.120251454,740867.6783856449
0.9,1895597.603715858,10476954.120251449,682388.2379183229
1,962012.8112190505,10476954.120251454,682388.2379183229
0.1,30334011.448671244,9458654.096560894,9458654.096560894
0.2,12752472.21767175,9458654.096560894,3984897.51836946
0.3,13368696.26033047,9458654.096560894,4231774.602375729
0.4,10987427.400616534,9458654.096560894,3471796.2162801516
0.5,7915170.031710532,9458654.09656089,2505719.0926306243
0.6,5472822.416043697,9458654.096560892,1720014.341915108
0.7,5006707.340771526,9458654.096560897,1591419.4152633497
0.8,3609669.749228479,9458654.09656089,1145008.9389490322
0.9,2037686.2709035021,9458654.096560895,654464.7830271883
1,1161534.9889642585,9458654.096560901,654464.7830271883
0.1,33524543.599301755,10705774.79721238,10705774.79721238
0.2,19217817.225975014,10705774.797212383,6173877.925091953
0.3,18083043.689882793,10705774.797212383,5889942.24206798
0.4,12459984.150565194,10705774.797212383,4092140.523404604
0.5,10077073.246493207,10705774.797212377,3296917.4194094455
0.6,5938732.351539135,10705774.797212383,1956606.8574498754
0.7,5502579.525088176,10705774.797212385,1807279.5436212257
0.8,3354175.204277914,10705774.79721238,1061128.592845121
0.9,2072348.831074766,10705774.797212373,684994.7565661398
1,1126521.3840243532,10705774.797212366,671094.6253296196
