Fat,Paper,Min Time,Time opt
0.1,36541321.24841276,11290316.523258448,11290316.523258448
0.2,18327351.70139142,8268564.137306598,5636686.9859526185
0.3,14917881.303904254,7837754.136867255,4671932.284888832
0.4,12036230.492465403,7396138.404859771,3793737.3664368554
0.5,8204491.413268971,6753447.678743886,2581739.504260413
0.6,4855622.101334204,6794823.994833461,1535616.4781887885
0.7,4272439.092853537,6480832.97678721,1337660.537787677
0.8,2477050.559947187,6090748.994990511,800288.529562872
0.9,2160018.3539973926,5960684.83753649,680994.575741888
1,1064717.9647831507,5512206.889608366,680994.575741888
0.1,38089643.18479611,11764797.22071265,11764797.22071265
0.2,18708287.012374416,9136951.192878975,5789667.600190528
0.3,15578228.833255686,8307996.134148887,4865695.755445727
0.4,12291464.640455872,7541989.78890345,3869332.915852119
0.5,9935562.066194193,7732685.782373792,3142649.4933561287
0.6,5235320.914736283,7393909.338882519,1665027.7810596854
0.7,4407484.067994801,7228222.0271332,1363453.843796614
0.8,2427601.5776367234,6719777.298045668,745314.4604738071
0.9,2205391.4261002713,6356239.867373068,674071.605301415
1,2099828.6572703915,6306976.881714105,670916.7688598617
0.1,36405486.314093605,11317819.131732143,11317819.131732143
0.2,17199297.42436803,8553478.940578273,5376623.390457623
0.3,15500400.966435907,8330366.032206306,4879308.275154981
0.4,13510084.372301647,7838912.602694967,4298764.367092779
0.5,8147581.55291617,8074640.855340454,2612834.0297466796
0.6,6937271.154474653,7124143.725061733,2249821.3440790256
0.7,4608746.401714888,7060760.833269565,1430042.7241591983
0.8,2704412.579187324,6463950.724842508,870756.9496513397
0.9,2290456.162720098,6375152.299217064,690075.3041228554
1,1541013.5290333466,6441324.018106913,651305.3816708077
0.1,41898142.10273304,13130145.165828705,13130145.165828705
0.2,21617260.16480151,10318451.839669224,6779340.2726295395
0.3,18864082.633594465,9841518.805288969,6001154.586765936
0.4,15269481.740874136,8832344.205010792,4847649.440944121
0.5,10500760.483738802,9476971.13927322,3341941.194925884
0.6,7790302.309031745,8529051.193589322,2498130.7884007962
0.7,4134395.690692634,7540260.614184244,1333315.4629840802
0.8,2507332.1381032956,6979909.580990649,827674.7807781283
0.9,2237331.472080881,7081378.740150641,695183.7690020413
1,1229083.1182421453,6583788.223789384,695183.7690020413
0.1,38292246.177570924,11835342.197187247,11835342.197187247
0.2,19910196.50621622,9166048.01202565,6216614.941602578
0.3,15834034.442232901,8538912.516048279,4964801.201884946
0.4,13476028.97420703,8416916.49793507,4262944.914268235
0.5,9398947.581816636,8323225.585011956,2923921.690556501
0.6,6468976.345381478,7829608.168671479,2012020.106074844
0.7,4839059.444890618,7943289.117830179,1548299.139498753
0.8,3341768.79926023,7442045.539142958,1087991.8186209113
0.9,2580394.04745017,7282510.006527218,823759.0768715963
1,1277450.4900416997,6723572.032478821,661962.9561917708
0.1,34395861.50436973,10746879.251895301,10746879.251895301
0.2,17936601.79932026,8175769.898637885,5591846.030681451
0.3,15494429.727490187,7850762.736087304,4894496.805880016
0.4,13060586.652541738,7823698.320069549,4172390.893630789
0.5,9301589.243990928,7270625.625017319,3016541.343298261
0.6,6755515.338539608,7094402.430380044,2179235.9639629223
0.7,5330710.837118048,6767759.030910119,1702121.2537081244
0.8,4153524.841667044,6715073.912553786,1351866.0629643027
0.9,1809650.4181072898,6513262.140385832,656760.4495093515
1,2065613.2226339735,6426470.585935947,656760.4495093515
0.1,38888619.52104871,12020804.872765739,12020804.872765739
0.2,17668261.782824453,9858075.71657629,5465562.102200994
0.3,14631118.133038556,8918326.652752364,4560239.529311659
0.4,14150118.733125024,8689623.081370153,4424365.9212454995
0.5,10430513.375738101,8162981.022497889,3251757.05439846
0.6,7447558.494986094,7811269.612970927,2317200.3957648203
0.7,5235984.369599508,7829941.021405771,1620427.0550207433
0.8,2712144.9876246247,7573961.843656593,851678.6710617981
0.9,2095709.751720309,7411447.917237473,688680.4760887198
1,2095526.838341381,6990733.332865584,688680.4760887198
0.1,41263060.845266946,12907630.429595362,12907630.429595362
0.2,20676624.403777465,10228142.611675259,6497735.980462958
0.3,17152511.825091083,9618704.474817798,5430390.392337964
0.4,12615134.718027178,9819333.76159679,4001413.7347469446
0.5,9954753.087358886,8794787.019221108,3173489.4613413615
0.6,8113311.834120237,8772631.234441014,2570359.596677721
0.7,4479011.161748469,8675268.572807664,1430838.0208448863
0.8,2396794.69531359,8121892.497771441,763142.4443630157
0.9,1831048.013286266,7699227.810560014,682388.2379183229
1,1009530.5698382001,7629774.965156007,682388.2379183229
0.1,38475152.79705942,11987611.682141874,11987611.682141874
0.2,16319743.90679966,8921349.294010567,5072225.9946331205
0.3,15103081.793890635,8439491.74857174,4754077.200063029
0.4,11822021.436185855,7732103.044437023,3718352.924329575
0.5,8253632.84640957,7660078.814885684,2637991.099899391
0.6,5831053.948637729,7644551.823790161,1847502.4042240728
0.7,5076564.012468924,7547461.970912715,1638575.7260117773
0.8,3607794.6799214752,7127600.51056469,1166984.196059994
0.9,2027504.3500748016,6488938.869331127,654464.7830271883
1,1089801.5109819148,6376817.032570944,654464.7830271883
0.1,42659951.91990872,13276983.954452658,13276983.954452658
0.2,22927539.89349801,10303281.796599211,7127408.337199495
0.3,20227954.265615378,9699693.391842145,6388614.857020573
0.4,13687135.364350915,9207241.059611224,4341506.163460603
0.5,10786056.159374006,8710418.75144078,3411381.123836032
0.6,6375902.90667955,8514837.495971285,1997329.4224319605
0.7,6002330.682984714,8330535.452729578,1845635.839972363
0.8,3402254.6349609056,7818601.505480236,1092411.9082908249
0.9,2253382.095288692,7777958.781407144,694243.5007374336
1,1327338.7061525634,7185557.210919982,671094.6253296196
