Fat,Paper,Min Time,Time opt
0.1,2042717.6303107748,1164529.3228276926,1164529.3228276926
0.2,1043475.8158156695,1089863.5821075416,680994.5757418879
0.3,904302.2317092309,1053245.1041987513,680994.5757418879
0.4,864168.0414709494,1041790.1788534727,680994.5757418879
0.5,847116.5447365241,983998.9712007184,680994.5757418879
0.6,846956.8903894516,968919.0414432996,680994.5757418879
0.7,838142.0987886571,917287.3590379116,680994.5757418879
0.8,842812.9138676558,795342.6305768951,680994.5757418879
0.9,829928.7505123618,765443.3074251891,680994.5757418879
1,839232.8693146966,718229.5335888771,680994.5757418879
0.1,1937688.4222283189,1031285.639299475,1031285.639299475
0.2,999139.5842282793,975959.1738868695,665668.3560278681
0.3,884347.8262735076,975141.0164623965,665668.3560278681
0.4,868777.1279136189,929779.8069535993,665668.3560278681
0.5,852866.2702588034,944014.6808470814,665668.3560278681
0.6,854161.1754064031,888097.4423282443,665668.3560278681
0.7,847095.976811006,825383.447799988,665668.3560278681
0.8,838166.6421071058,818867.394692309,665668.3560278681
0.9,848069.427929215,760701.5263205979,665668.3560278681
1,848352.8520989615,712082.5743810207,665668.3560278681
0.1,1899749.016364611,1058849.9961097452,1058849.9961097452
0.2,994204.0012079782,979396.9090901145,651305.3816708076
0.3,863385.0038378019,966903.4913345788,651305.3816708076
0.4,813703.2738099892,950775.8809814206,651305.3816708076
0.5,818527.3432781658,905000.7119692563,651305.3816708076
0.6,824606.602489552,837007.0896434286,651305.3816708076
0.7,812424.5850210141,830185.4747681234,651305.3816708076
0.8,824680.9761101988,785655.5807383996,651305.3816708076
0.9,823790.9317500207,720738.8757642214,651305.3816708076
1,799814.4518294793,714431.9768481038,651305.3816708076
0.1,2187063.0393624664,1322257.0347346144,1322257.0347346144
0.2,1088584.3719545235,1183494.1922741605,695183.7690020413
0.3,923583.6441020726,1182569.2181214846,695183.7690020413
0.4,880037.9462460068,1096057.7560717356,695183.7690020413
0.5,857973.9698565148,1067890.8980721135,695183.7690020413
0.6,834023.1656624328,1018542.9634371046,695183.7690020413
0.7,850248.3590886928,913957.2101566924,695183.7690020413
0.8,860385.8898053046,835397.4552895073,695183.7690020413
0.9,855677.8298108251,805276.5982432229,695183.7690020413
1,857284.493926571,724318.1979330924,695183.7690020413
0.1,1993518.437712453,1131994.2453439527,1131994.2453439527
0.2,1078728.7033257664,1071820.4268955712,661962.9561917708
0.3,889753.4332149646,1044833.7617802025,661962.9561917708
0.4,859344.5990500731,994275.8990963564,661962.9561917708
0.5,824493.4170823685,976227.164126269,661962.9561917708
0.6,836472.2120713579,946186.7741060741,661962.9561917708
0.7,820933.0024196971,845511.4476639518,661962.9561917708
0.8,809296.0495644738,823984.172619337,661962.9561917708
0.9,814150.3180827904,767028.5018645413,661962.9561917708
1,830640.0499163368,705491.5822733444,661962.9561917708
0.1,1939435.894630915,1097469.5832831147,1097469.5832831147
0.2,1000115.3373714586,1023099.6195395419,656760.4495093515
0.3,879614.1518878624,1004687.589481051,656760.4495093515
0.4,835941.1330658117,944434.0830563935,656760.4495093515
0.5,825812.7431705026,918538.3765067679,656760.4495093515
0.6,824278.5930492661,868163.2081106822,656760.4495093515
0.7,812455.8623412679,792834.4921130125,656760.4495093515
0.8,804928.3272119547,772492.0807355046,656760.4495093515
0.9,806861.4443697109,751625.2049852434,656760.4495093515
1,806900.5869947176,752955.315356219,656760.4495093515
0.1,2041402.8674801332,1174107.5051234285,1174107.5051234285
0.2,1070806.7484721742,1061387.6969485276,688680.4760887198
0.3,915232.3064725604,1068801.4087696013,688680.4760887198
0.4,883922.1455807202,1008848.2244100748,688680.4760887198
