jump,Paper,Min Time,Time opt
1,7012890.241559939,8732607.263446497,2210580.188521305
2,5647488.435911711,8732607.263446495,1774672.3939645789
3,4471817.409682239,8732607.263446499,1364907.3306194537
4,5425488.354580882,8732607.263446495,1372399.2462222462
5,4850464.94173897,8732607.263446495,1258420.2030851415
6,3988883.0919813276,8732607.2634465,866764.4347631935
7,4516463.854107828,8732607.263446499,1307849.0132103963
8,3242005.64668498,8732607.2634465,912049.6425139238
9,4277093.434727569,8732607.263446497,1063443.0878537965
10,3632750.5819141674,8732607.263446499,1146023.9096210941
1,7844176.298902084,9308057.754030406,2588827.427985437
2,7422080.437059084,9308057.754030405,2363042.5427927757
3,5442728.93070602,9308057.754030406,1775708.5165245873
4,5602102.389147481,9308057.75403041,1492279.2268965838
5,4625957.077057725,9308057.754030408,1490103.954220979
6,4669568.74094611,9308057.7540304,1231345.2555628095
7,4094406.148715075,9308057.754030403,1055852.1803308972
8,4195187.352451507,9308057.754030412,1101562.0129612747
9,4110748.247430434,9308057.75403041,1158546.6465118357
10,3525072.3199697165,9308057.754030412,874800.8140398411
1,8848694.159366785,8886801.010959618,2927781.1433675494
2,7921052.174258202,8886801.01095962,2425729.658779487
3,5508967.425526175,8886801.01095962,1816477.978944237
4,5974026.482878015,8886801.01095962,1731764.0050670744
5,5703169.988838427,8886801.01095962,1513372.4502432733
6,4628797.01672319,8886801.010959618,1509450.358704174
7,3803793.3741765306,8886801.010959625,1146627.942254639
8,4428212.628608739,8886801.010959627,1238353.6600680924
9,4165760.757455856,8886801.01095962,1132686.6168511815
10,5138014.044726371,8886801.010959625,1395012.8853820604
1,9894205.343291746,10542286.164486917,3246985.940030298
2,8236777.788050774,10542286.164486919,2435519.486204878
3,7179815.075763734,10542286.16448692,1913186.5337328434
4,5907192.696622995,10542286.164486911,1682377.080518423
5,6008402.722280436,10542286.164486919,1642992.4803400768
6,5792296.393963516,10542286.164486915,1563231.2289610594
7,5505357.397472974,10542286.164486924,1192350.184374646
8,4417644.344566536,10542286.164486911,1216070.1919480308
9,4065502.928934211,10542286.164486919,1145718.1761230151
10,4005014.3408253263,10542286.164486919,1298408.2209052437
1,8308461.577240166,9382846.433924496,2727060.909137558
2,6523147.406941791,9382846.4339245,2148326.3780411426
3,4780356.835433225,9382846.433924494,1566515.6431013087
4,5627265.093136951,9382846.433924496,1696068.0172537558
5,5442997.764689436,9382846.433924498,1665446.3755249823
6,4494067.599152422,9382846.433924494,1298736.36112145
7,4494922.359195553,9382846.43392449,1227050.2790320704
8,3817544.824963932,9382846.433924492,980432.1417708391
9,4234991.661014465,9382846.433924494,1371969.8309296167
10,4127202.126972706,9382846.433924489,1155006.3690221403
1,8778232.703571688,8332293.115632521,2883109.576729342
2,6432166.749106798,8332293.115632519,2077496.3617326636
3,6999747.41838556,8332293.115632524,1883192.453687979
4,5383512.19652815,8332293.115632518,1569829.3795885574
5,4970149.87566166,8332293.115632523,1544950.9948778972
6,4897194.066849373,8332293.115632526,1399302.6149579054
7,4491262.96332891,8332293.115632524,1479095.6449795775
8,3674819.939781189,8332293.115632522,1028707.5966017948
9,4765503.024934675,8332293.11563252,1212653.136974479
10,5044611.128304766,8332293.115632523,1045846.2382791182
1,8080751.406401025,9560333.529117025,2631711.989954019
2,8026207.796814173,9560333.529117027,2621872.328250843
3,5701774.2853517,9560333.529117016,1863151.9537736957
4,6457477.957671375,9560333.529117024,2020637.7338725717
5,4479568.383477587,9560333.529117024,1404549.6873138673
6,4895459.445041256,9560333.529117018,1499663.5843843813
7,4541975.703814882,9560333.52911703,1113814.1959605599
8,3718179.8889235435,9560333.529117024,1154566.990299802
9,3729287.4537569433,9560333.529117018,996256.4356644041
10,3899010.2663505306,9560333.529117024,1184947.0273649136
1,10209441.08659953,10476954.120251449,3322412.666298089
2,8284662.8676726045,10476954.12025145,2617008.2836273527
3,7692773.8295507515,10476954.120251449,2266413.788541044
4,5232315.4808539795,10476954.120251449,1454920.6772461392
5,4874071.184509768,10476954.120251454,1235984.7810654608
6,3795373.8687706958,10476954.120251456,1145752.4983845036
7,4697313.075869035,10476954.120251454,1505199.1731675586
8,4241559.109410182,10476954.120251441,1153536.2915940306
9,3119704.9474430797,10476954.120251454,882444.2302507734
10,3556208.789911918,10476954.120251454,983719.5023634272
1,9510602.100931704,9458654.096560894,3002579.384506991
2,7404896.917577271,9458654.09656089,2251238.494198599
3,6351888.46667106,9458654.096560895,1943946.8433745452
4,6300622.2029569335,9458654.096560897,1812563.023855024
5,5390614.940209938,9458654.096560892,1670369.4292407644
6,6809585.172804036,9458654.09656089,1947036.3853565278
7,3719009.198319064,9458654.09656089,1120509.891269925
8,3814503.3558185725,9458654.096560892,862391.0414739581
9,4049878.655311259,9458654.096560892,1235615.0518349323
10,4743790.545694826,9458654.096560894,1078174.0391953324
1,10383089.125206215,10705774.79721238,3416071.278349194
2,7913300.600096986,10705774.79721238,2544988.1318253423
3,8242027.605085688,10705774.797212385,2714352.4588998365
4,5574782.964092071,10705774.797212379,1736173.7703672817
5,5057339.447903938,10705774.797212377,1308014.0143965422
6,5171955.348457952,10705774.797212385,1378704.9330670054
7,5071692.788155961,10705774.797212385,1455273.8361857599
8,4401565.266828932,10705774.79721238,1104725.3237534764
9,4087613.8100405643,10705774.797212375,895207.2180949124
10,3770822.218569881,10705774.797212372,1031245.7031890985
