jump,Paper,Min Time,Time opt
1,1295879.4914464427,1514968.1930621762,680996.5163027159
2,1270738.4315261038,1460053.4021360434,680996.5163027159
3,1275264.5163316587,1447074.6762450389,680996.5163027159
4,1277595.5138147601,1495082.9645080657,680996.5163027159
5,1247574.2001951467,1447757.2451883166,680996.5163027159
6,1246920.3190887012,1440091.2959642336,680996.5163027159
7,1239057.0758741829,1459816.5618613404,680996.5163027159
8,1225870.148291146,1450206.5264547523,680996.5163027159
9,1214153.1411465765,1402558.154764117,680996.5163027159
10,1221987.8328795927,1502069.1523476099,680996.5163027159
