n,Paper,Min Time,Time opt
100,226578.92265785526,247183.33800262286,135265.29081264586
200,422737.73021238024,447055.3469184256,269116.1630651557
300,706869.6264114643,769300.3676036472,418787.46853357356
400,884683.5915687238,944668.1071561298,527021.1010989047
500,1103373.9691618162,1256384.1689330766,680996.5163027159
600,1280122.787531869,1384538.4435300939,810754.8085519011
700,1521198.6754734027,1701264.3913137505,950163.5534493667
800,1744765.870645842,1949557.7565626279,1089104.445171647
900,1888611.6856837864,2073797.4933671267,1200423.6992387213
1000,2095716.695382568,2316454.8018674795,1364619.9643280825
100,225351.4237980312,259620.9907700492,132074.989704219
200,488611.1165137182,530637.7153756582,286300.63034636714
300,666595.8760576702,748844.0473259178,397627.7838515522
400,803804.3421001177,903721.436948159,507523.35085060494
500,1091324.1602782311,1185760.7674307725,665670.2079130015
600,1305036.5632369486,1508736.2803232328,815431.7444397591
700,1501789.0710172725,1626526.6164883734,942671.6432391971
800,1703337.0123552217,1928781.7950747989,1095099.5263733587
900,1976933.9780999105,2255229.229392307,1234370.7532900288
1000,2152841.0943106255,2414907.193050031,1310240.3597236935
100,241012.29354884822,282894.98775861633,135658.01263896248
200,476305.7812853104,524524.6705827387,270786.78148973774
300,683782.3075201057,726308.5641239828,421389.488612118
400,861146.4166418363,940203.4593119915,527187.772134673
500,1032837.844848791,1159715.2374465594,651307.2591571598
600,1293735.4729849338,1459042.0588433247,772067.1869807383
700,1487108.483793326,1655186.3511955019,943133.0399483171
800,1759326.0064870666,1968185.675076769,1091465.3616880602
900,1861184.6525898173,2107857.637900113,1211852.363587291
1000,2094994.27077012,2379621.161472581,1315746.4593939313
100,244949.44283873128,272001.0608388556,135705.1697686514
200,510305.28163051576,577640.919697539,273914.3536612017
300,676130.4423148865,761206.9754051206,396806.42035697633
400,813216.6540442957,939991.1162963572,520494.5536820677
500,1168780.7758682924,1318896.4384265568,695185.5852770898
600,1367316.8369567818,1552368.9092432796,835805.1314059657
700,1458848.007506449,1620444.5767760177,918676.5189244791
800,1668362.4665661866,1866372.4448978347,1036908.9392987158
